ticker,name,covered_periods,first_period,last_period
1101,台泥,45,2015Q1,2026Q1
1102,亞泥,45,2015Q1,2026Q1
1103,嘉泥,45,2015Q1,2026Q1
1104,環泥,45,2015Q1,2026Q1
1108,幸福,45,2015Q1,2026Q1
1109,信大,45,2015Q1,2026Q1
1110,東泥,45,2015Q1,2026Q1
1201,味全,45,2015Q1,2026Q1
1203,味王,45,2015Q1,2026Q1
1210,大成,45,2015Q1,2026Q1
1213,大飲,45,2015Q1,2026Q1
1215,卜蜂,45,2015Q1,2026Q1
1216,統一,45,2015Q1,2026Q1
1217,愛之味,45,2015Q1,2026Q1
1218,泰山,45,2015Q1,2026Q1
1219,福壽,45,2015Q1,2026Q1
1220,台榮,45,2015Q1,2026Q1
1225,福懋油,45,2015Q1,2026Q1
1227,佳格,45,2015Q1,2026Q1
1229,聯華,45,2015Q1,2026Q1
1231,聯華食,45,2015Q1,2026Q1
1232,大統益,45,2015Q1,2026Q1
1233,天仁,45,2015Q1,2026Q1
1234,黑松,45,2015Q1,2026Q1
1235,興泰,45,2015Q1,2026Q1
1236,宏亞,45,2015Q1,2026Q1
1256,鮮活果汁-KY,45,2015Q1,2026Q1
1301,台塑,45,2015Q1,2026Q1
1303,南亞,45,2015Q1,2026Q1
1304,台聚,45,2015Q1,2026Q1
1305,華夏,45,2015Q1,2026Q1
1307,三芳,45,2015Q1,2026Q1
1308,亞聚,45,2015Q1,2026Q1
1309,台達化,45,2015Q1,2026Q1
1310,台苯,45,2015Q1,2026Q1
1312,國喬,45,2015Q1,2026Q1
1313,聯成,45,2015Q1,2026Q1
1314,中石化,45,2015Q1,2026Q1
1315,達新,45,2015Q1,2026Q1
1316,上曜,45,2015Q1,2026Q1
1319,東陽,45,2015Q1,2026Q1
1321,大洋,45,2015Q1,2026Q1
1323,永裕,45,2015Q1,2026Q1
1324,地球,45,2015Q1,2026Q1
1325,恆大,45,2015Q1,2026Q1
1326,台化,45,2015Q1,2026Q1
1337,再生-KY,45,2015Q1,2026Q1
1338,廣華-KY,45,2015Q1,2026Q1
1339,昭輝,45,2015Q1,2026Q1
1340,勝悅-KY,45,2015Q1,2026Q1
1341,富林-KY,33,2016Q4,2026Q1
1342,八貫,28,2018Q4,2026Q1
1402,遠東新,45,2015Q1,2026Q1
1409,新纖,45,2015Q1,2026Q1
1410,南染,45,2015Q1,2026Q1
1413,宏洲,45,2015Q1,2026Q1
1414,東和,45,2015Q1,2026Q1
1416,廣豐,45,2015Q1,2026Q1
1417,嘉裕,45,2015Q1,2026Q1
1418,東華,45,2015Q1,2026Q1
1419,新紡,45,2015Q1,2026Q1
1423,利華,45,2015Q1,2026Q1
1432,大魯閣,45,2015Q1,2026Q1
1434,福懋,45,2015Q1,2026Q1
1435,中福,45,2015Q1,2026Q1
1436,華友聯,45,2015Q1,2026Q1
1437,勤益控,45,2015Q1,2026Q1
1438,三地開發,45,2015Q1,2026Q1
1439,雋揚,45,2015Q1,2026Q1
1440,南紡,45,2015Q1,2026Q1
1441,大東,45,2015Q1,2026Q1
1442,名軒,45,2015Q1,2026Q1
1443,立益物流,45,2015Q1,2026Q1
1444,力麗,45,2015Q1,2026Q1
1445,大宇,45,2015Q1,2026Q1
1446,宏和,45,2015Q1,2026Q1
1447,力鵬,45,2015Q1,2026Q1
1449,佳和,45,2015Q1,2026Q1
1451,年興,45,2015Q1,2026Q1
1452,宏益,45,2015Q1,2026Q1
1453,大將,45,2015Q1,2026Q1
1454,台富,45,2015Q1,2026Q1
1455,集盛,45,2015Q1,2026Q1
1456,怡華,45,2015Q1,2026Q1
1457,宜進,45,2015Q1,2026Q1
1459,聯發,45,2015Q1,2026Q1
1460,宏遠,45,2015Q1,2026Q1
1463,強盛新,45,2015Q1,2026Q1
1464,得力,45,2015Q1,2026Q1
1465,偉全,45,2015Q1,2026Q1
1466,聚隆,45,2015Q1,2026Q1
1467,南緯,45,2015Q1,2026Q1
1468,昶和,45,2015Q1,2026Q1
1470,大統新創,45,2015Q1,2026Q1
1471,首利,45,2015Q1,2026Q1
1472,三洋實業,45,2015Q1,2026Q1
1473,台南,45,2015Q1,2026Q1
1474,弘裕,45,2015Q1,2026Q1
1475,業旺,45,2015Q1,2026Q1
1476,儒鴻,45,2015Q1,2026Q1
1477,聚陽,45,2015Q1,2026Q1
1503,士電,45,2015Q1,2026Q1
1504,東元,45,2015Q1,2026Q1
1506,正道,45,2015Q1,2026Q1
1512,瑞利,45,2015Q1,2026Q1
1513,中興電,45,2015Q1,2026Q1
1514,亞力,45,2015Q1,2026Q1
1515,力山,45,2015Q1,2026Q1
1516,川飛,45,2015Q1,2026Q1
1517,利奇,45,2015Q1,2026Q1
1519,華城,45,2015Q1,2026Q1
1521,大億,45,2015Q1,2026Q1
1522,堤維西,45,2015Q1,2026Q1
1524,耿鼎,45,2015Q1,2026Q1
1525,江申,45,2015Q1,2026Q1
1526,日馳,45,2015Q1,2026Q1
1527,鑽全,45,2015Q1,2026Q1
1528,恩德,45,2015Q1,2026Q1
1529,樂事綠能,45,2015Q1,2026Q1
1530,亞崴,45,2015Q1,2026Q1
1531,高林股,45,2015Q1,2026Q1
1532,勤美,45,2015Q1,2026Q1
1533,車王電,45,2015Q1,2026Q1
1535,中宇,45,2015Q1,2026Q1
1536,和大,45,2015Q1,2026Q1
1537,廣隆,45,2015Q1,2026Q1
1538,正峰,45,2015Q1,2026Q1
1539,巨庭,45,2015Q1,2026Q1
1540,喬福,45,2015Q1,2026Q1
1541,錩泰,45,2015Q1,2026Q1
1558,伸興,45,2015Q1,2026Q1
1560,中砂,45,2015Q1,2026Q1
1563,巧新,28,2015Q2,2026Q1
1568,倉佑,45,2015Q1,2026Q1
1582,信錦,45,2015Q1,2026Q1
1583,程泰,45,2015Q1,2026Q1
1587,吉茂,40,2015Q2,2026Q1
1589,永冠-KY,43,2015Q1,2025Q3
1590,亞德客-KY,45,2015Q1,2026Q1
1597,直得,45,2015Q1,2026Q1
1598,岱宇,43,2015Q2,2026Q1
1603,華電,45,2015Q1,2026Q1
1604,聲寶,45,2015Q1,2026Q1
1605,華新,45,2015Q1,2026Q1
1608,華榮,45,2015Q1,2026Q1
1609,大亞,45,2015Q1,2026Q1
1611,中電,45,2015Q1,2026Q1
1612,宏泰,45,2015Q1,2026Q1
1614,三洋電,45,2015Q1,2026Q1
1615,大山,45,2015Q1,2026Q1
1616,億泰,45,2015Q1,2026Q1
1617,榮星,45,2015Q1,2026Q1
1618,合機,45,2015Q1,2026Q1
1623,大東電,8,2023Q4,2026Q1
1626,艾美特-KY,45,2015Q1,2026Q1
1702,南僑,45,2015Q1,2026Q1
1707,葡萄王,45,2015Q1,2026Q1
1708,東鹼,45,2015Q1,2026Q1
1709,和益,45,2015Q1,2026Q1
