timestamp,step,status,notes
2026-07-03T21:45:00+08:00,skeleton,created,Starting TWSE t163sb05 full quarter sweep and proxy contract package
2026-07-03T21:55:40.206372+08:00,build_package,completed_twse_capital_stock_full_sweep_proxy_contract_ready,rows=43705 periods=45/45
2026-07-03T21:57:13.291363+08:00,build_package,completed_twse_capital_stock_full_sweep_proxy_contract_ready,rows=43705 periods=45/45
