ticker,post_last_rows,unique_decision_dates,decision_date_min,decision_date_max,variant_count,last_official_raw_close_date
3474,5932,1483,2016-12-07,2022-12-29,4,2016-11-29
4739,18186,1299,2017-09-11,2022-12-29,14,2017-09-08
