date,market,blocked_reason,row_count
2015-01-05,TPEx,non_common_stock_security_code,3289
2015-01-05,TPEx,zero_or_missing_trade_fields,17
2015-01-05,TWSE,non_common_stock_security_code,52
2015-01-05,TWSE,zero_or_missing_trade_fields,3
2016-01-04,TPEx,non_common_stock_security_code,3148
2016-01-04,TPEx,zero_or_missing_trade_fields,29
2016-01-04,TWSE,non_common_stock_security_code,59
2016-01-04,TWSE,zero_or_missing_trade_fields,9
2017-01-03,TPEx,non_common_stock_security_code,3377
2017-01-03,TPEx,zero_or_missing_trade_fields,26
2017-01-03,TWSE,non_common_stock_security_code,84
2017-01-03,TWSE,zero_or_missing_trade_fields,3
2018-01-02,TPEx,non_common_stock_security_code,4480
2018-01-02,TPEx,zero_or_missing_trade_fields,27
2018-01-02,TWSE,non_common_stock_security_code,125
2018-01-02,TWSE,zero_or_missing_trade_fields,2
2019-01-02,TPEx,non_common_stock_security_code,4620
2019-01-02,TPEx,zero_or_missing_trade_fields,43
2019-01-02,TWSE,non_common_stock_security_code,143
2019-01-02,TWSE,zero_or_missing_trade_fields,7
2020-01-02,TPEx,non_common_stock_security_code,4760
2020-01-02,TPEx,zero_or_missing_trade_fields,20
2020-01-02,TWSE,non_common_stock_security_code,168
2020-01-02,TWSE,zero_or_missing_trade_fields,1
2021-01-04,TPEx,non_common_stock_security_code,5806
2021-01-04,TPEx,zero_or_missing_trade_fields,17
2021-01-04,TWSE,non_common_stock_security_code,174
2022-01-03,TPEx,non_common_stock_security_code,7306
2022-01-03,TPEx,zero_or_missing_trade_fields,12
2022-01-03,TWSE,non_common_stock_security_code,190
2022-01-03,TWSE,zero_or_missing_trade_fields,6
2023-01-03,TPEx,non_common_stock_security_code,6578
2023-01-03,TPEx,zero_or_missing_trade_fields,32
2023-01-03,TWSE,non_common_stock_security_code,209
2023-01-03,TWSE,zero_or_missing_trade_fields,5
2024-01-02,TPEx,non_common_stock_security_code,10090
2024-01-02,TPEx,zero_or_missing_trade_fields,14
2024-01-02,TWSE,non_common_stock_security_code,221
2025-01-02,TPEx,non_common_stock_security_code,10634
2025-01-02,TPEx,zero_or_missing_trade_fields,10
2025-01-02,TWSE,non_common_stock_security_code,239
2026-07-02,TPEx,non_common_stock_security_code,9138
2026-07-02,TPEx,zero_or_missing_trade_fields,19
2026-07-02,TWSE,non_common_stock_security_code,286
2026-07-02,TWSE,zero_or_missing_trade_fields,3
