month,calendar_days_swept,request_attempts,http_ok,accepted_days,validated_rows,rejected_rows,quarantined_days,row_count_anomaly_days,last_accepted_holdings_date,monthly_anchor_row_count,coverage_status,formal_exact,source_type,notes
2014-11,37,37,37,20,1000,17,0,0,2014-11-28,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2014-12,38,38,38,24,1200,14,0,0,2014-12-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-01,38,38,38,20,1000,18,0,0,2015-01-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-02,35,35,35,13,750,20,0,0,2015-02-26,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-03,38,38,38,22,1100,16,0,0,2015-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-04,37,37,37,20,1000,17,0,0,2015-04-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-05,38,38,38,20,1000,18,0,0,2015-05-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-06,37,37,37,21,1050,16,0,0,2015-06-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-07,38,38,38,22,1100,16,0,0,2015-07-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-08,38,38,38,21,1050,17,0,0,2015-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-09,37,37,37,20,1000,17,0,0,2015-09-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-10,38,38,38,21,1050,17,0,0,2015-10-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-11,37,37,37,21,1050,16,0,0,2015-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2015-12,38,38,38,23,1150,15,0,0,2015-12-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-01,38,38,38,21,1050,17,0,0,2016-01-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-02,36,36,36,13,750,21,0,0,2016-02-26,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-03,38,38,38,23,1150,15,0,0,2016-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-04,37,37,37,19,950,18,0,0,2016-04-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-05,38,38,38,21,1050,17,0,0,2016-05-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-06,37,37,37,21,1050,16,0,0,2016-06-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-07,38,38,38,20,1000,18,0,0,2016-07-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-08,38,38,38,23,1150,15,0,0,2016-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
