month,request_date,holdings_date,source_url,raw_source_id,ticker,name,row_count,validation_decision,rejection_reason,http_code,error
2014-11,2014-10-25,2026-06-30,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141025,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141025_ace42727f1.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-10-26,2026-06-30,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141026,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141026_bb2d8d8e92.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-10-27,2014-10-28,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141027,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141027_81d3dc3cdf.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-10-28,2014-10-29,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141028,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141028_2bdb3b41df.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-10-29,2014-10-30,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141029,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141029_d3044654ba.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-10-30,2014-10-31,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141030,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141030_661bcc31bf.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-11-01,2026-06-30,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141101,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141101_31f40c9ac8.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-11-02,2026-06-30,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141102,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141102_a575ce302e.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-11-08,2026-06-30,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141108,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141108_43fcde0eb4.json,,,0,rejected,date_missing_or_mismatch,200,
2014-11,2014-11-09,2026-06-30,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20141109,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629\raw_sources\pcf_daily_2014-11_20141109_27d6b7c9d3.json,,,0,rejected,date_missing_or_mismatch,200,
