ticker,name,market,segment_id,first_decision_date,last_decision_date,decision_dates,ready_decision_dates,pre_segment_adjusted_observations,required_warmup_observations,warmup_252td_ready,status,future_data_violation_count,diagnostic_subproblem,supports_sequential_lifecycle_rank1_timing,representative_of_full_all80_layer5,may_be_used_to_reject_full_layer5,broad_additive_formula_followup,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2492,華新科,TWSE,1,2023-09-25,2023-10-06,9,9,301,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2497,怡利電,TWSE,1,2024-10-14,2024-10-18,5,5,554,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2880,華南金,TWSE,1,2025-01-06,2025-01-10,5,5,612,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2881,富邦金,TWSE,1,2025-03-31,2025-04-11,8,8,664,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2881,富邦金,TWSE,2,2025-11-24,2025-12-05,10,10,825,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2883,凱基金,TWSE,1,2023-12-04,2023-12-08,5,5,348,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2887,台新新光金,TWSE,1,2025-11-10,2025-11-14,5,5,815,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2887,台新新光金,TWSE,2,2026-01-05,2026-01-09,5,5,853,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2888,新光金,TWSE,1,2024-07-29,2024-08-02,5,0,0,252,False,blocked_source_gap,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2891,中信金,TWSE,1,2024-05-27,2024-05-31,5,5,461,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2891,中信金,TWSE,2,2024-09-30,2024-10-04,3,3,547,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2912,統一超,TWSE,1,2024-08-26,2024-09-06,10,10,523,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3008,大立光,TWSE,1,2023-07-17,2023-07-21,5,5,252,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3008,大立光,TWSE,2,2024-08-05,2024-08-09,5,5,508,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3008,大立光,TWSE,3,2026-06-15,2026-06-18,4,4,957,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3023,信邦,TWSE,1,2025-03-17,2025-03-28,10,10,654,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3030,德律,TWSE,1,2026-01-12,2026-01-16,5,5,858,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3032,偉訓,TWSE,1,2024-01-29,2024-02-02,5,5,387,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3034,聯詠,TWSE,1,2023-11-27,2023-12-01,5,5,343,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3034,聯詠,TWSE,2,2024-03-18,2024-03-29,10,10,414,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3036,文曄,TWSE,1,2024-12-02,2024-12-06,5,5,588,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3036,文曄,TWSE,2,2026-06-08,2026-06-12,5,5,952,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3037,欣興,TWSE,1,2025-06-16,2025-06-20,5,5,715,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3042,晶技,TWSE,1,2024-04-01,2024-04-03,3,3,424,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3045,台灣大,TWSE,1,2024-05-06,2024-05-10,5,5,446,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3078,僑威,TPEx,1,2025-02-24,2025-02-27,4,4,640,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3090,日電貿,TWSE,1,2024-12-16,2024-12-20,5,5,598,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3131,弘塑,TPEx,1,2026-01-26,2026-01-30,5,5,868,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3227,原相,TPEx,1,2025-10-20,2025-10-23,4,4,801,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3231,緯創,TWSE,1,2025-07-07,2025-07-11,5,5,730,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
