ticker,name,market,family,status,symbol,source_url,source_hash,response_bytes,retrieved_at,attempt_evidence,blocked_reason,diagnostic_subproblem,supports_sequential_lifecycle_rank1_timing,representative_of_full_all80_layer5,may_be_used_to_reject_full_layer5,broad_additive_formula_followup,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1101,台泥,TWSE,trusted_adjusted_analysis_hlc,accepted,1101.TW,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,84f272814af6eff9ff2e7b9a3a2ee45b518121ea858fcb4367db0f0f30a934ba,101245,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1101.TW"", ""http_status"": 200, ""bytes"": 101245}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1216,統一,TWSE,trusted_adjusted_analysis_hlc,accepted,1216.TW,https://query1.finance.yahoo.com/v8/finance/chart/1216.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,8f6b5fd5a651bf4947261a791b6362a68cabaece640eb529a582c87d03b16286,92918,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1216.TW"", ""http_status"": 200, ""bytes"": 92918}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1319,東陽,TWSE,trusted_adjusted_analysis_hlc,accepted,1319.TW,https://query1.finance.yahoo.com/v8/finance/chart/1319.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,4185ec88956346ab6341e57f5cefc3a56c4323dabb32bb3605b669392913b71a,83328,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1319.TW"", ""http_status"": 200, ""bytes"": 83328}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1519,華城,TWSE,trusted_adjusted_analysis_hlc,accepted,1519.TW,https://query1.finance.yahoo.com/v8/finance/chart/1519.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,01f980443806aff6e7b9cdc885ab8de4200049814b45c6fdb4cc6c95e4c3a172,93646,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1519.TW"", ""http_status"": 200, ""bytes"": 93646}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1524,耿鼎,TWSE,trusted_adjusted_analysis_hlc,accepted,1524.TW,https://query1.finance.yahoo.com/v8/finance/chart/1524.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,e65b0f0d1cf8c53af4508969ace21bbc5fc38131d2a952408ad89858dcb02444,100125,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1524.TW"", ""http_status"": 200, ""bytes"": 100125}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1582,信錦,TWSE,trusted_adjusted_analysis_hlc,accepted,1582.TW,https://query1.finance.yahoo.com/v8/finance/chart/1582.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,5edd0256d8f4b24aba146f6975e13d8cb01a9a17fd0494cb59cdc138e1b6c800,87549,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1582.TW"", ""http_status"": 200, ""bytes"": 87549}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1584,精剛,TPEx,trusted_adjusted_analysis_hlc,accepted,1584.TWO,https://query1.finance.yahoo.com/v8/finance/chart/1584.TWO?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,684ee06a0b6d1942ae84c950217237322b2c8b3e39f9232b25d8553e5741f0e6,102717,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1584.TWO"", ""http_status"": 200, ""bytes"": 102717}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1597,直得,TWSE,trusted_adjusted_analysis_hlc,accepted,1597.TW,https://query1.finance.yahoo.com/v8/finance/chart/1597.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,02d8d8b0ccb3a1241a307cac88a8f1e00731bca94b876823e7102eadd904395e,86376,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1597.TW"", ""http_status"": 200, ""bytes"": 86376}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1605,華新,TWSE,trusted_adjusted_analysis_hlc,accepted,1605.TW,https://query1.finance.yahoo.com/v8/finance/chart/1605.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,3e5a63e00c7d48fbc42d42cbbd2a8fb8d806555a9574175b30b80bb6c851768d,100098,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1605.TW"", ""http_status"": 200, ""bytes"": 100098}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1815,富喬,TPEx,trusted_adjusted_analysis_hlc,accepted,1815.TWO,https://query1.finance.yahoo.com/v8/finance/chart/1815.TWO?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,0e930f4d49acce9d2f2c7bc3f7879dd99b8ff41645ac651e4a68ffb586d8988e,96831,2026-07-13T11:33:57+08:00,"[{""symbol"": ""1815.TWO"", ""http_status"": 200, ""bytes"": 96831}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
