ticker,name,market,family,status,symbol,source_url,source_hash,response_bytes,retrieved_at,attempt_evidence,blocked_reason,diagnostic_subproblem,supports_sequential_lifecycle_rank1_timing,representative_of_full_all80_layer5,may_be_used_to_reject_full_layer5,broad_additive_formula_followup,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2049,上銀,TWSE,trusted_adjusted_analysis_hlc,accepted,2049.TW,https://query1.finance.yahoo.com/v8/finance/chart/2049.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,cbc392c505fae7df42cfb2f512909a721a335a3f80da48210f7df809b89ca672,61582,2026-07-13T11:33:57+08:00,"[{""symbol"": ""2049.TW"", ""http_status"": 200, ""bytes"": 61582}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2301,光寶科,TWSE,trusted_adjusted_analysis_hlc,accepted,2301.TW,https://query1.finance.yahoo.com/v8/finance/chart/2301.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,854b5cfe4812bc0aebe5dc4453f07245f6676411df0fb56119ac492ee7eda377,70819,2026-07-13T11:33:57+08:00,"[{""symbol"": ""2301.TW"", ""http_status"": 200, ""bytes"": 70819}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2308,台達電,TWSE,trusted_adjusted_analysis_hlc,accepted,2308.TW,https://query1.finance.yahoo.com/v8/finance/chart/2308.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,c4d99c2fd686396e9d270ae37f5878e0804cf58a81bfb9d671b36eeb3917c57e,61526,2026-07-13T11:33:57+08:00,"[{""symbol"": ""2308.TW"", ""http_status"": 200, ""bytes"": 61526}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,trusted_adjusted_analysis_hlc,accepted,2317.TW,https://query1.finance.yahoo.com/v8/finance/chart/2317.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,280ae3ed45361addf2e4415735f64c50d5676aa9206a188402eff7e3e419e3a0,63267,2026-07-13T11:33:57+08:00,"[{""symbol"": ""2317.TW"", ""http_status"": 200, ""bytes"": 63267}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2327,國巨*,TWSE,trusted_adjusted_analysis_hlc,accepted,2327.TW,https://query1.finance.yahoo.com/v8/finance/chart/2327.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,0cee97681626c68b4fe5d0181560c75055f4c8e0feba33e928d25aa9edc5c58d,88227,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2327.TW"", ""http_status"": 200, ""bytes"": 88227}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2330,台積電,TWSE,trusted_adjusted_analysis_hlc,accepted,2330.TW,https://query1.finance.yahoo.com/v8/finance/chart/2330.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,888e2376b6bf83142c2e4a3a6bf875395c091b829d7308c4126aa1f6c3260289,63514,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2330.TW"", ""http_status"": 200, ""bytes"": 63514}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2332,友訊,TWSE,trusted_adjusted_analysis_hlc,accepted,2332.TW,https://query1.finance.yahoo.com/v8/finance/chart/2332.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,731cabf7570c5452469a22855a908bb8bb08548b1a45224088b2b75e2d5bc0c3,101088,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2332.TW"", ""http_status"": 200, ""bytes"": 101088}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2345,智邦,TWSE,trusted_adjusted_analysis_hlc,accepted,2345.TW,https://query1.finance.yahoo.com/v8/finance/chart/2345.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,dd2a2f60135bed752132c8633ecf6c2d06cb7c924cdeb5a7a2c48e653a53e99d,58996,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2345.TW"", ""http_status"": 200, ""bytes"": 58996}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2347,聯強,TWSE,trusted_adjusted_analysis_hlc,accepted,2347.TW,https://query1.finance.yahoo.com/v8/finance/chart/2347.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,ac88d641808ef8a305b4b602bd2189105309b305c4028376aca5481bd08ab5fb,95276,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2347.TW"", ""http_status"": 200, ""bytes"": 95276}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2353,宏碁,TWSE,trusted_adjusted_analysis_hlc,accepted,2353.TW,https://query1.finance.yahoo.com/v8/finance/chart/2353.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,c2b5bb1a974be0950eea4fd02e7cc81913e1f75d6a6695ce097ef194d820a32a,100170,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2353.TW"", ""http_status"": 200, ""bytes"": 100170}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2360,致茂,TWSE,trusted_adjusted_analysis_hlc,accepted,2360.TW,https://query1.finance.yahoo.com/v8/finance/chart/2360.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,04939427aacf13d85a7b5fa3fc99bb7f416a7f0b056a2a2ccc199e3fb8155fe2,61188,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2360.TW"", ""http_status"": 200, ""bytes"": 61188}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2376,技嘉,TWSE,trusted_adjusted_analysis_hlc,accepted,2376.TW,https://query1.finance.yahoo.com/v8/finance/chart/2376.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,d2def22a832eacaae7c4cd819ae64b3bade0e90de1577d81cdd2624a6c1a41d2,61542,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2376.TW"", ""http_status"": 200, ""bytes"": 61542}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2377,微星,TWSE,trusted_adjusted_analysis_hlc,accepted,2377.TW,https://query1.finance.yahoo.com/v8/finance/chart/2377.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,bc30d2d6ec128d21ff85a4fe730d0607f50764a789d28959b391b4a48cf6ca5c,61895,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2377.TW"", ""http_status"": 200, ""bytes"": 61895}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2379,瑞昱,TWSE,trusted_adjusted_analysis_hlc,accepted,2379.TW,https://query1.finance.yahoo.com/v8/finance/chart/2379.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,052ef635326d5aa6adc39fe13f6f14c7cddc310f9039a77d0977c518450d0a68,58274,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2379.TW"", ""http_status"": 200, ""bytes"": 58274}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2382,廣達,TWSE,trusted_adjusted_analysis_hlc,accepted,2382.TW,https://query1.finance.yahoo.com/v8/finance/chart/2382.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,23b2409c5528b97cbef1d6792855fcb7bc4728c49a26f9827ced29b0f19e1b78,65784,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2382.TW"", ""http_status"": 200, ""bytes"": 65784}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2383,台光電,TWSE,trusted_adjusted_analysis_hlc,accepted,2383.TW,https://query1.finance.yahoo.com/v8/finance/chart/2383.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,6c7ec07acf3d5a229ea4a6eeafc61736ed1f0af03be46467961c9a46efdfaa4d,59598,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2383.TW"", ""http_status"": 200, ""bytes"": 59598}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2402,毅嘉,TWSE,trusted_adjusted_analysis_hlc,accepted,2402.TW,https://query1.finance.yahoo.com/v8/finance/chart/2402.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,6ea662f6e4be4526e93a9a5b72fe8e61de15375cf84e47c4f48689b797f83be6,98135,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2402.TW"", ""http_status"": 200, ""bytes"": 98135}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2412,中華電,TWSE,trusted_adjusted_analysis_hlc,accepted,2412.TW,https://query1.finance.yahoo.com/v8/finance/chart/2412.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,b9f639f83df978d165673b5391b9e3ecd3f4250eb71f4750fa7eee1427970d27,61702,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2412.TW"", ""http_status"": 200, ""bytes"": 61702}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2421,建準,TWSE,trusted_adjusted_analysis_hlc,accepted,2421.TW,https://query1.finance.yahoo.com/v8/finance/chart/2421.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,1c6c04ef501411c6869804a28b12e722dfd121ac72ac091e765519fffb147933,76783,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2421.TW"", ""http_status"": 200, ""bytes"": 76783}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2439,美律,TWSE,trusted_adjusted_analysis_hlc,accepted,2439.TW,https://query1.finance.yahoo.com/v8/finance/chart/2439.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,49e212a685c9ca625771a9335d5d4fe03c1178518a1abded1a261ebbc84b7a24,74991,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2439.TW"", ""http_status"": 200, ""bytes"": 74991}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2454,聯發科,TWSE,trusted_adjusted_analysis_hlc,accepted,2454.TW,https://query1.finance.yahoo.com/v8/finance/chart/2454.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,183be9c3bfdedabf7b5712648563347ae0188f857511596b7b9333764cdacc24,63168,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2454.TW"", ""http_status"": 200, ""bytes"": 63168}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2458,義隆,TWSE,trusted_adjusted_analysis_hlc,accepted,2458.TW,https://query1.finance.yahoo.com/v8/finance/chart/2458.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,aaa2f08cd3f671967cf2f6f22c63892e4bc150f2af2e8cbb4c5f0ce03f344952,65055,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2458.TW"", ""http_status"": 200, ""bytes"": 65055}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2481,強茂,TWSE,trusted_adjusted_analysis_hlc,accepted,2481.TW,https://query1.finance.yahoo.com/v8/finance/chart/2481.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,5b150745e7df255d8dfd8adbf2c845128cfd0154d6415481c2ff0f9ccf0d3ca2,92670,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2481.TW"", ""http_status"": 200, ""bytes"": 92670}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2492,華新科,TWSE,trusted_adjusted_analysis_hlc,accepted,2492.TW,https://query1.finance.yahoo.com/v8/finance/chart/2492.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,5ad0027ae09e4768c90905eff0cfcf265d843b998408f03ccc0a54c252063238,76253,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2492.TW"", ""http_status"": 200, ""bytes"": 76253}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2497,怡利電,TWSE,trusted_adjusted_analysis_hlc,accepted,2497.TW,https://query1.finance.yahoo.com/v8/finance/chart/2497.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,d18caf9f7c35c63b09c9f7bd019545788e2b75b33705bf5bf9c9572775e53df6,94650,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2497.TW"", ""http_status"": 200, ""bytes"": 94650}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2880,華南金,TWSE,trusted_adjusted_analysis_hlc,accepted,2880.TW,https://query1.finance.yahoo.com/v8/finance/chart/2880.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,6ce73ccea4431b3ff0cf762fd7c0cdbe193bf3b57882ac27f9bbdb1f65f2ad1c,107778,2026-07-13T11:33:58+08:00,"[{""symbol"": ""2880.TW"", ""http_status"": 200, ""bytes"": 107778}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2881,富邦金,TWSE,trusted_adjusted_analysis_hlc,accepted,2881.TW,https://query1.finance.yahoo.com/v8/finance/chart/2881.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,73cd9e02b1d669607ed19597f6edddf97d78374529925c6db63a597e54c70dc5,104685,2026-07-13T11:33:59+08:00,"[{""symbol"": ""2881.TW"", ""http_status"": 200, ""bytes"": 104685}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2883,凱基金,TWSE,trusted_adjusted_analysis_hlc,accepted,2883.TW,https://query1.finance.yahoo.com/v8/finance/chart/2883.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,70c254aadff366f5f8c0a51234a345ddaa02086c06258ffaa06833a2c44cdacb,110424,2026-07-13T11:33:59+08:00,"[{""symbol"": ""2883.TW"", ""http_status"": 200, ""bytes"": 110424}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2887,台新新光金,TWSE,trusted_adjusted_analysis_hlc,accepted,2887.TW,https://query1.finance.yahoo.com/v8/finance/chart/2887.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,38a1288d3b78d25eff15e7362c1827f29acc11c04c75ffe565aac5aa0eb64901,106643,2026-07-13T11:33:59+08:00,"[{""symbol"": ""2887.TW"", ""http_status"": 200, ""bytes"": 106643}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2888,新光金,TWSE,trusted_adjusted_analysis_hlc,blocked,,,,0,2026-07-13T11:34:13+08:00,"[{""symbol"": ""2888.TW"", ""http_status"": 404, ""bytes"": 108}, {""symbol"": ""2888.TW"", ""http_status"": 404, ""bytes"": 108}, {""symbol"": ""2888.TW"", ""http_status"": 404, ""bytes"": 108}, {""symbol"": ""2888.TWO"", ""http_status"": 404, ""bytes"": 108}, {""symbol"": ""2888.TWO"", ""http_status"": 404, ""bytes"": 108}, {""symbol"": ""2888.TWO"", ""http_status"": 404, ""bytes"": 108}]",HTTPError('404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/2888.TWO?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true'),True,True,False,False,False,False,False,False,False,False,False,False,True,False
2891,中信金,TWSE,trusted_adjusted_analysis_hlc,accepted,2891.TW,https://query1.finance.yahoo.com/v8/finance/chart/2891.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,7cb8d85e37813a4b84ac4722a6f827e922d5f129aca4008abd61806786d67095,100479,2026-07-13T11:33:59+08:00,"[{""symbol"": ""2891.TW"", ""http_status"": 200, ""bytes"": 100479}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2912,統一超,TWSE,trusted_adjusted_analysis_hlc,accepted,2912.TW,https://query1.finance.yahoo.com/v8/finance/chart/2912.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,0832a1f24e9fa7596e4a2dd41ea0bd9d1657f44b6e0183a708c2d0418844af1b,57889,2026-07-13T11:33:59+08:00,"[{""symbol"": ""2912.TW"", ""http_status"": 200, ""bytes"": 57889}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3008,大立光,TWSE,trusted_adjusted_analysis_hlc,accepted,3008.TW,https://query1.finance.yahoo.com/v8/finance/chart/3008.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,dd2b87085235df4b2d099d029b6acf9c182b6db3dcb39f2f7cea19363e64abd8,62769,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3008.TW"", ""http_status"": 200, ""bytes"": 62769}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3023,信邦,TWSE,trusted_adjusted_analysis_hlc,accepted,3023.TW,https://query1.finance.yahoo.com/v8/finance/chart/3023.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,1a1419403c4b5e38d6e0b9da6ff71f61bb248136fce2d0a2e2a2476e27bd37ec,57966,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3023.TW"", ""http_status"": 200, ""bytes"": 57966}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3030,德律,TWSE,trusted_adjusted_analysis_hlc,accepted,3030.TW,https://query1.finance.yahoo.com/v8/finance/chart/3030.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,07465882475b268c356ca454f756b2ed5623e2493a1cdc881d7afd890dbc7e82,76936,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3030.TW"", ""http_status"": 200, ""bytes"": 76936}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3032,偉訓,TWSE,trusted_adjusted_analysis_hlc,accepted,3032.TW,https://query1.finance.yahoo.com/v8/finance/chart/3032.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,51accaef4070f62d57e75bac5d5972ddd1d5957af22f405853d29f26aba735c1,91427,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3032.TW"", ""http_status"": 200, ""bytes"": 91427}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3034,聯詠,TWSE,trusted_adjusted_analysis_hlc,accepted,3034.TW,https://query1.finance.yahoo.com/v8/finance/chart/3034.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,8217e93555c43806b327d558a7bc85da59c5295200d094d3bf66a1312a66da62,60936,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3034.TW"", ""http_status"": 200, ""bytes"": 60936}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3036,文曄,TWSE,trusted_adjusted_analysis_hlc,accepted,3036.TW,https://query1.finance.yahoo.com/v8/finance/chart/3036.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,b25539b4c1f25d6d1b1ed475cb4a9143fc00a8cf3473f734c948d850acfed580,77701,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3036.TW"", ""http_status"": 200, ""bytes"": 77701}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3037,欣興,TWSE,trusted_adjusted_analysis_hlc,accepted,3037.TW,https://query1.finance.yahoo.com/v8/finance/chart/3037.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,da1884bb2b6e3ae3bebd9bbbb10132c0e038be4ab3374f6de289e52020a1bb43,63547,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3037.TW"", ""http_status"": 200, ""bytes"": 63547}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3042,晶技,TWSE,trusted_adjusted_analysis_hlc,accepted,3042.TW,https://query1.finance.yahoo.com/v8/finance/chart/3042.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,4cb120d7cca17d5f16edf2f2d3eb7651c697f226d52b4f901b28d6362efd82ad,80921,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3042.TW"", ""http_status"": 200, ""bytes"": 80921}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3045,台灣大,TWSE,trusted_adjusted_analysis_hlc,accepted,3045.TW,https://query1.finance.yahoo.com/v8/finance/chart/3045.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,54009339a62ac101a9bf2c04cea605c3a71f1161dbe264ec5124d1cd66568452,72421,2026-07-13T11:33:59+08:00,"[{""symbol"": ""3045.TW"", ""http_status"": 200, ""bytes"": 72421}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3078,僑威,TPEx,trusted_adjusted_analysis_hlc,accepted,3078.TWO,https://query1.finance.yahoo.com/v8/finance/chart/3078.TWO?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,eac547e971275a117bf87ba01c543f3b16755b5870beb2e7a05864b7bc5fd39e,93629,2026-07-13T11:34:00+08:00,"[{""symbol"": ""3078.TWO"", ""http_status"": 200, ""bytes"": 93629}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3090,日電貿,TWSE,trusted_adjusted_analysis_hlc,accepted,3090.TW,https://query1.finance.yahoo.com/v8/finance/chart/3090.TW?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,861344d9501140a37e83741f0639683ae73957aa142d1638f96fc82b89225046,92108,2026-07-13T11:34:00+08:00,"[{""symbol"": ""3090.TW"", ""http_status"": 200, ""bytes"": 92108}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3131,弘塑,TPEx,trusted_adjusted_analysis_hlc,accepted,3131.TWO,https://query1.finance.yahoo.com/v8/finance/chart/3131.TWO?period1=1656604800&period2=1783699200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,85d2d8b3803a62b5e19f3fc1112357db3b9f001705add8f8e322e826f4da3baf,59574,2026-07-13T11:34:00+08:00,"[{""symbol"": ""3131.TWO"", ""http_status"": 200, ""bytes"": 59574}]",,True,True,False,False,False,False,False,False,False,False,False,False,True,False
