ticker,company_name,market,source_id,source_url,source_quality,record_kind,dividend_year_roc,period,board_resolution_date,shareholder_meeting_date,official_available_date_policy,ex_date,payment_date,cash_dividend_earnings_per_share,cash_dividend_capital_reserve_per_share,cash_dividend_total_per_share_candidate,stock_dividend_earnings_per_share,stock_dividend_capital_reserve_per_share,stock_dividend_total_per_share_candidate,raw_record_json,accepted_for_core_total_return_ledger,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,cash_distribution_status
1301,台塑,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,107,1,2019-03-25,2019-06-11,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,5.8,0.0,5.8,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""1301"", ""公司名稱"": ""台塑"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""35433602677"", ""可分配盈餘(元)"": ""72354899207"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司年度總決算如有盈餘應先提繳稅款，彌補累積虧損，再提百分之十為法定盈餘公積，並於必要時酌提特別盈餘公積，次提股息，當年度如尚有盈餘，併同以前年度累積未分配盈餘，由董事會擬具股東紅利分配案，提請股東常會決議分派之。\r\n前項特別盈餘公積包含：\r\n一、因特殊用途所提列之盈餘公積。\r\n二、依權益法認列之投資收益及未使用之所得稅抵減額。\r\n三、其他依法令規定提列之特別盈餘公積。\r\n本公司所營事業屬成熟期產業，每年獲利相當穩定，股利政策採現金股利、盈餘轉增資與資本公積轉增資三種方式搭配發放，就當年度可分配盈餘扣除法定盈餘公積及特別盈餘公積後，至少分配百分之五十以上，並以發放現金股利為優先，盈餘轉增資及資本公積轉增資合計之比例，不得超過當年全部股利之百分之五十。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""29983126882"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""49549539564"", ""股利年度"": ""107"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1080611"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""5.80000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""36921296530"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1080325"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
1301,台塑,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,108,1,2020-03-17,2020-06-10,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,4.4,0.0,4.4,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""1301"", ""公司名稱"": ""台塑"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""35668118388"", ""可分配盈餘(元)"": ""63677377824"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司年度總決算如有盈餘應先提繳稅款，彌補累積虧損，再提百分之十為法定盈餘公積，並於必要時酌提特別盈餘公積，次提股息，當年度如尚有盈餘，併同以前年度累積未分配盈餘，由董事會擬具股東紅利分配案，提請股東常會決議分派之。\r\n前項特別盈餘公積包含：\r\n一、因特殊用途所提列之盈餘公積。\r\n二、依權益法認列之投資收益及未使用之所得稅抵減額。\r\n三、其他依法令規定提列之特別盈餘公積。\r\n本公司所營事業屬成熟期產業，每年獲利相當穩定，股利政策採現金股利、盈餘轉增資與資本公積轉增資三種方式搭配發放，就當年度可分配盈餘扣除法定盈餘公積及特別盈餘公積後，至少分配百分之五十以上，並以發放現金股利為優先，盈餘轉增資及資本公積轉增資合計之比例，不得超過當年全部股利之百分之五十。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""35433602677"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""37324162012"", ""股利年度"": ""108"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1090610"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""4.40000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""28009259436"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1090317"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
1301,台塑,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,109,1,2021-03-17,2021-06-23,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,2.4,0.0,2.4,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""1301"", ""公司名稱"": ""台塑"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""35819897455"", ""可分配盈餘(元)"": ""51097675329"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司年度總決算如有盈餘應先提繳稅款，彌補累積虧損，再提百分之十為法定盈餘公積，並於必要時酌提特別盈餘公積，次提股息，當年度如尚有盈餘，併同以前年度累積未分配盈餘，由董事會擬具股東紅利分配案，提請股東常會決議分派之。\r\n前項特別盈餘公積包含：\r\n一、因特殊用途所提列之盈餘公積。\r\n二、依權益法認列之投資收益及未使用之所得稅抵減額。\r\n三、其他依法令規定提列之特別盈餘公積。\r\n本公司所營事業屬成熟期產業，每年獲利相當穩定，股利政策採現金股利、盈餘轉增資與資本公積轉增資三種方式搭配發放，就當年度可分配盈餘扣除法定盈餘公積及特別盈餘公積後，至少分配百分之五十以上，並以發放現金股利為優先，盈餘轉增資及資本公積轉增資合計之比例，不得超過當年全部股利之百分之五十。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""35668118388"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""20036199064"", ""股利年度"": ""109"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1100623"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""2.40000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""15277777874"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1100317"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
2316,楠梓電,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,107,1,2019-03-25,2019-06-18,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,1.0,0.0,1.0,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""2316"", ""公司名稱"": ""楠梓電"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""2333854838"", ""可分配盈餘(元)"": ""2559460438"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司每年決算後如有盈餘應先提繳稅款後，依下列順序分派之：\r\n一、彌補以往虧損。\r\n二、提存百分之十為法定盈餘公積；但法定盈餘已達本公司資本時，不在此限。\r\n三、依公司營運需要或法令規定提列或迴轉特別盈餘公積。\r\n四、如尚有盈餘，併同以前年度累積未分配盈餘，由董事會擬定盈餘分派案，按股份總額比例分派之。\r\n本公司產業發展成熟，為因應目前及未來業務擴展之資金需求，並滿足股東對現金流入之需求，本公司之股利政策係採取剩餘股利政策分派股利，其中現金股利發放之比例以不低於當年度股利總額百分之二十。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""2494366414"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""300562844"", ""股利年度"": ""107"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1080618"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""1.00000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""225605600"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1080325"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
2316,楠梓電,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,108,1,2020-03-25,2020-06-16,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,0.5,0.0,0.5,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""2316"", ""公司名稱"": ""楠梓電"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""2772808179"", ""可分配盈餘(元)"": ""2874330699"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司每年決算後如有盈餘應先提繳稅款後，依下列順序分派之：\r\n一、彌補以往虧損。\r\n二、提存百分之十為法定盈餘公積；但法定盈餘已達本公司資本時，不在此限。\r\n三、依公司營運需要或法令規定提列或迴轉特別盈餘公積。\r\n四、如尚有盈餘，併同以前年度累積未分配盈餘，由董事會擬定盈餘分派案，按股份總額比例分派之。\r\n本公司產業發展成熟，為因應目前及未來業務擴展之資金需求，並滿足股東對現金流入之需求，本公司之股利政策係採取剩餘股利政策分派股利，其中現金股利發放之比例以不低於當年度股利總額百分之二十。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""2333854838"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""550431360"", ""股利年度"": ""108"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1090616"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""0.50000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""101522520"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1090325"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
2316,楠梓電,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,109,1,2021-03-25,2021-06-16,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,1.5,0.0,1.5,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""2316"", ""公司名稱"": ""楠梓電"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""2868995705"", ""可分配盈餘(元)"": ""3143106509"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司每年決算後如有盈餘應先提繳稅款後，依下列順序分派之：\r\n一、彌補以往虧損。\r\n二、提存百分之十為法定盈餘公積；但法定盈餘已達本公司資本時，不在此限。\r\n三、依公司營運需要或法令規定提列或迴轉特別盈餘公積。\r\n四、如尚有盈餘，併同以前年度累積未分配盈餘，由董事會擬定盈餘分派案，按股份總額比例分派之。\r\n本公司產業發展成熟，為因應目前及未來業務擴展之資金需求，並滿足股東對現金流入之需求，本公司之股利政策係採取剩餘股利政策分派股利，其中現金股利發放之比例以不低於當年度股利總額百分之二十。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""2772808179"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""414058637"", ""股利年度"": ""109"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1100616"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""1.50000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""274110804"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1100325"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
2317,鴻海,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,107,1,2019-05-10,2019-06-21,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,4.0,0.0,4.0,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""2317"", ""公司名稱"": ""鴻海"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""678280464272"", ""可分配盈餘(元)"": ""733732426708"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司年度總決算如有本期稅後淨利，依下列順序辦理： \r\n(一)彌補虧損 \r\n(二)提列10%為法定盈餘公積 \r\n(三)依其他法令規定提列或迴轉特別盈餘公積\r\n其餘併同期初未分配盈餘為累積可分配盈餘，由董事會依本條第三項股利政策，擬定盈餘分配案提請股東會決議分配之。 \r\n本公司目前屬成長階段，本公司分配股東紅利之政策，須視公司目前及未來之投資環境、資金需求、國內外競爭狀況及資本預算等因素，兼顧股東利益及公司長期財務規劃，股東紅利就累積可分配盈餘提撥，其中應不低於當年度可分配盈餘之15%，股東紅利中現金紅利不少於10%。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""641815608551"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""129065104562"", ""股利年度"": ""107"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1080621"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""4.00000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""55451962436"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1080510"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
2317,鴻海,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,108,1,2020-05-12,2020-06-23,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,4.2,0.0,4.2,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""2317"", ""公司名稱"": ""鴻海"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""682717955077"", ""可分配盈餘(元)"": ""740942515635"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司年度總決算如有本期稅後淨利，依下列順序辦理： \r\n(一)彌補虧損。\r\n(二)提列10%為法定盈餘公積，但法定盈餘公積，已達實收資本額時，不在此限。\r\n(三)依其他法令規定提列或迴轉特別盈餘公積\r\n其餘額併同期初未分配盈餘為累積可分配盈餘，由董事會依本條第四項股利政策，擬定盈餘分配案提請股東會決議分配之。 \r\n本公司授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，將應分派之股息及紅利、資本公積或法定盈餘公積之全部或一部以發放現金之方式為之，不適用前項應經股東會決議之規定。\r\n本公司目前屬成長階段，本公司分配股東紅利之政策，須視公司目前及未來之投資環境、資金需求、國內外競爭狀況及資本預算等因素，兼顧股東利益及公司長期財務規劃，股東紅利就累積可分配盈餘提撥，其中應不低於當年度可分配盈餘之15%，股東紅利中現金紅利不少於10%。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""678280464272"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""115308736224"", ""股利年度"": ""108"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1090623"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""4.20000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""58224560558"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1090512"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
2317,鴻海,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,109,1,2021-03-30,,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,4.0,0.0,4.0,0.0,0.0,0.0,"{""備註"": ""無"", ""公司代號"": ""2317"", ""公司名稱"": ""鴻海"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""729809168984"", ""可分配盈餘(元)"": ""785261131420"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""本公司年度總決算如有本期稅後淨利，依下列順序辦理： \r\n(一)彌補虧損。\r\n(二)提列10%為法定盈餘公積，但法定盈餘公積，已達實收資本額時，不在此限。\r\n(三)依其他法令規定提列或迴轉特別盈餘公積\r\n其餘額併同期初未分配盈餘為累積可分配盈餘，由董事會依本條第四項股利政策，擬定盈餘分配案提請股東會決議分配之。 \r\n本公司授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，將應分派之股息及紅利、資本公積或法定盈餘公積之全部或一部以發放現金之方式為之，不適用前項應經股東會決議之規定。\r\n本公司目前屬成長階段，本公司分配股東紅利之政策，須視公司目前及未來之投資環境、資金需求、國內外競爭狀況及資本預算等因素，兼顧股東利益及公司長期財務規劃，股東紅利就累積可分配盈餘提撥，其中應不低於當年度可分配盈餘之15%，股東紅利中現金紅利不少於10%。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""682717955077"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""101794807191"", ""股利年度"": ""109"", ""股東會日期配盈餘/待彌補虧損(元)"": """", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""4.00000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""55451962436"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1100330"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
2330,台積電,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,dividend_distribution_or_resolution,107,1,2019-02-19,2019-06-05,board_or_shareholder_date_candidate_only_market_available_timestamp_not_exact,,,8.0,0.0,8.0,0.0,0.0,0.0,"{""備註"": ""無。"", ""公司代號"": ""2330"", ""公司名稱"": ""台積電"", ""出表日期"": ""1100804"", ""分配後期末未分配盈餘(元)"": ""842609828900"", ""可分配盈餘(元)"": ""1050052872564"", ""員工紅利-現金紅利金額(元)H"": ""0"", ""員工紅利-股票紅利金額(元)I"": ""0"", ""摘錄公司章程-股利分派部分"": ""第三十三條\t\r\n公司無盈餘時，不得分派股息及紅利。本公司分派每一營業年度盈餘時，應先彌補歷年之虧損以及提撥十分之一（10%）為法定盈餘公積；但法定盈餘公積累積已達本公司資本總額時，不在此限。次依法令或主管機關規定提撥特別盈餘公積。\r\n\r\n公司分派盈餘前，應提撥年度獲利不高於百分之零點三作為董事酬勞，及不低於百分之一作為員工酬勞，但公司尚有累積虧損時，應預先保留彌補數額。董事酬勞依董事會訂定之相關辦法決定，其給付之對象，不包括兼任經理人之董事。員工酬勞由董事會以董事三分之二以上出席及出席董事過半數同意之決議行之，並報告股東會，其分配之對象，得包括符合董事會或其授權之人所訂條件之從屬公司員工。\r\n\r\n公司依本條第一項提撥盈餘公積後，嗣餘盈餘應依下列原則經股東會決議後分派之：公司得依財務、業務及經營面等因素之考量將當年度可分配盈餘全數分派。盈餘之分派得以現金股利或股票股利之方式為之，因本公司屬資金密集之產業，目前進入營運穩定成長期，盈餘之分派以現金股利為優先，亦得以股票股利之方式分派，惟股票股利分派之比例以不高於股利總額之百分之五十（50%）為原則。\r\n\r\n於當年度公司無盈餘可分派，或雖有盈餘但盈餘數額遠低於公司前一年度實際分派之盈餘，或依公司財務、業務及經營面等因素之考量，得將公積全部或一部依法令或主管機關規定分派。"", ""普通股每股面額"": ""新台幣                 10.0000元"", ""有無全數分派員工股票紅利而股東未配發股票股利之情事"": """", ""期初未分配盈餘/待彌補虧損(元)"": ""722977627806"", ""期別"": ""1"", ""本期淨利(淨損)(元)"": ""351130884146"", ""股利年度"": ""107"", ""股東會日期配盈餘/待彌補虧損(元)"": ""1080605"", ""股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)"": ""0.0"", ""股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)"": ""0.0"", ""股東配發內容-盈餘分配之現金股利(元/股)"": ""8.00000000"", ""股東配發內容-盈餘轉增資配股(元/股)"": ""0.0"", ""股東配發內容-股東配發之現金(股利)總金額(元)"": ""207443043664"", ""股東配發內容-股東配股總股數(股)"": ""0"", ""董事會決議通過股利分派日"": ""1080219"", ""董監酬勞(元)"": ""0""}",source_candidate_only_missing_exact_exdate_or_payment_date,0,False,False,False,False,False,False,False,True,False,cash_distribution_candidate_missing_exact_exdate_payment_date_if_not_in_official_record
