ticker,company_name,market,source_id,source_url,source_quality,event_type,dividend_year_roc,board_resolution_date,shareholder_meeting_date,ex_date,stock_dividend_earnings_per_share,stock_dividend_capital_reserve_per_share,adjustment_factor_formula_ready,accepted_for_adjustment_factor_contract,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2615,萬海,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,stock_dividend_or_exright_candidate,109,2021-03-22,2021-06-28,,1.0,0.0,False,partial_candidate_missing_exact_exright_trading_date_and_core_factor_policy,0,False,False,False,False,False,False,False,True,False
6573,虹揚-KY,TWSE,twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,official_twse_openapi_dividend_distribution_historical_partial,stock_dividend_or_exright_candidate,107,2019-03-22,2019-06-10,,0.25,0.0,False,partial_candidate_missing_exact_exright_trading_date_and_core_factor_policy,0,False,False,False,False,False,False,False,True,False
2615,萬海,TWSE,twse_t187ap40_L_dividend_resolution,https://openapi.twse.com.tw/v1/opendata/t187ap40_L,official_twse_openapi_dividend_resolution_historical_partial,stock_dividend_or_exright_candidate,109,,2021-06-28,,1.0,0.0,False,partial_candidate_missing_exact_exright_trading_date_and_core_factor_policy,0,False,False,False,False,False,False,False,True,False
