ticker,company_name,source_contracts,roles,contract_coverage_start,contract_coverage_end,event_candidate_rows,cash_distribution_candidate_rows,adjustment_factor_candidate_rows,cash_distribution_source_status,adjustment_event_source_status,exact_exdate_source_status,capital_reduction_split_merger_source_status,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1301,台塑,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2017-05-12,2017-05-19,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2316,楠梓電,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2015-04-30,2015-05-08,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2317,鴻海,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,2017-01-17,2017-01-20,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2330,台積電,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2015-01-27,2026-06-05,10,10,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2351,順德,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2021-07-09,2021-07-16,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2374,佳能,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,2024-05-13,2024-05-17,3,2,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2388,威盛,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,2023-11-17,2023-11-24,4,2,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2412,中華電,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,2016-09-05,2016-09-09,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2453,凌群,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,2023-03-24,2023-03-31,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2468,華經,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,2025-05-14,2025-05-19,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2603,長榮,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2015-01-30,2017-09-01,4,2,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
