source_id,source_url,market,source_quality,route_status,route_error,raw_cache_path,raw_sha256,retrieved_at_utc,response_bytes,records_total,selected_ticker_candidate_records,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
twse_t187ap39_L_dividend_distribution,https://openapi.twse.com.tw/v1/opendata/t187ap39_L,TWSE,official_twse_openapi_dividend_distribution_historical_partial,fetched,,raw_sources\twse_t187ap39_L_dividend_distribution.json,4de730c7b301b1ba2bfd751c2814a1c2a06b71e47d3990e6953f8da5fb37899c,2026-07-10T07:50:22+00:00,6519101,3098,73,0,False,False,False,False,False,False,False,True,False
twse_t187ap40_L_dividend_resolution,https://openapi.twse.com.tw/v1/opendata/t187ap40_L,TWSE,official_twse_openapi_dividend_resolution_historical_partial,fetched,,raw_sources\twse_t187ap40_L_dividend_resolution.json,6d968356868cdfa909b0c6b20874425f9104db8a4eb7d5c95c7e9fb6e6e9fd35,2026-07-10T07:50:23+00:00,1014297,470,11,0,False,False,False,False,False,False,False,True,False
tpex_t187ap39_O_dividend_distribution,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap39_O,TPEx,official_tpex_openapi_dividend_distribution_historical_partial,fetched,,raw_sources\tpex_t187ap39_O_dividend_distribution.json,f218d653b939612a0d18511036a5bba8a6d48c88979d42f84468e861dfa5bc8d,2026-07-10T07:50:24+00:00,5126249,2483,27,0,False,False,False,False,False,False,False,True,False
tpex_t187ap40_O_dividend_resolution,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap40_O,TPEx,official_tpex_openapi_dividend_resolution_historical_partial,fetched,,raw_sources\tpex_t187ap40_O_dividend_resolution.json,67931b12805c0a49784cff4b6392eda51fea129598fe566ea4752ca3e53f9aba,2026-07-10T07:50:25+00:00,719251,339,3,0,False,False,False,False,False,False,False,True,False
