ticker,name,instrument_type,source_contracts,roles,state_rows,coverage_start,coverage_end,period_labels,coverage_policy,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1301,台塑,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2017-05-12,2017-05-19,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2316,楠梓電,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2015-04-30,2015-05-08,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2317,鴻海,ordinary_stock,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,36,2017-01-17,2017-01-20,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2330,台積電,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,224,2015-01-27,2026-06-05,P1|P2|P2|2024_latest|2026YTD,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2351,順德,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2021-07-09,2021-07-16,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2374,佳能,ordinary_stock,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,48,2024-05-13,2024-05-17,P2|2024_latest,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2388,威盛,ordinary_stock,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,10,2023-11-17,2023-11-24,,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2412,中華電,ordinary_stock,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,48,2016-09-05,2016-09-09,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2453,凌群,ordinary_stock,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,10,2023-03-24,2023-03-31,,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2468,華經,ordinary_stock,daily_incumbent_challenger,daily_f_incumbent_held|daily_f_selected_after,28,2025-05-14,2025-05-19,P2|2024_latest,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2603,長榮,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,138,2015-01-30,2017-09-01,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
2615,萬海,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,30,2025-05-16,2025-05-23,P2|2024_latest,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
