date,symbol,ticker,name,foreign_net_buy_shares,foreign_net_buy_twd,investment_trust_net_buy_shares,investment_trust_net_buy_twd,dealer_net_buy_shares,dealer_net_buy_twd,total_institutional_net_buy_twd,foreign_consecutive_buy_days,foreign_consecutive_sell_days,trust_consecutive_buy_days,trust_consecutive_sell_days,data_source,source_url,data_quality_status
2021-12-01,0050,0050.TW,元大台灣50,-45454,,17000,,387162,,,0,1,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,00631L,00631L.TW,元大台灣50正2,544000,,0,,-224166,,,1,0,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,2308,2308.TW,台達電,41669,,-13000,,72632,,,1,0,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,2317,2317.TW,鴻海,4719905,,-58000,,856992,,,1,0,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,2330,2330.TW,台積電,3960190,,212000,,1008275,,,1,0,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,2382,2382.TW,廣達,2099778,,-256000,,146854,,,1,0,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,2454,2454.TW,聯發科,1919515,,13000,,71969,,,1,0,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,3231,3231.TW,緯創,264021,,1259000,,-59142,,,1,0,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-01,6669,6669.TW,緯穎,-140900,,23000,,55792,,,0,1,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211201&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2021-12-02,0050,0050.TW,元大台灣50,5750190,,72000,,570134,,,1,0,2,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20211202&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
