ticker,name,market,fiscal_year,quarter,source_date,available_date,source_url,source_route,source_type,formal_exact,raw_source_id,table_index,operating_revenue,gross_profit,operating_income,pretax_income,net_income
2855,統一證,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,2,13029981,,3661438,4929526,4386792
6005,群益證,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,2,17149090,,3799219,6572371,5402075
6024,群益期,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,2,2639658,,-844,1463185,1192126
1101,台泥,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,154606511,32728025,17126617,22832759,15629497
1102,亞泥,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,76297459,11107134,7963736,16004995,12653279
1103,嘉泥,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,2985357,434967,-151949,385784,337411
1104,環泥,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,7953734,1598056,1057461,1807096,1530338
1108,幸福,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,4867094,927704,639270,606523,493937
1109,信大,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,4656290,991648,651364,711718,524281
1110,東泥,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,2872958,523039,336016,434184,377223
1201,味全,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,23473804,6423241,585722,620957,443702
1203,味王,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,6287463,2124268,1074811,1191323,864201
1210,大成,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,102749063,14800066,5336706,5619658,4416069
1213,大飲,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,190548,-42471,-85318,518930,493229
1215,卜蜂,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,27957258,4596678,2293129,2355087,1896242
1216,統一,sii,2024,4,2026-07-03,2025-03-31,https://mopsov.twse.com.tw/mops/web/ajax_t163sb04?parameters=0eb65210d5bdc34ea16e295ccdbad1090f047490e2301f1ba68b34164525fa5065faf210140df5242aa5cd204feb0145b364626a8ce95b2818b6edbe6a3b17fcb4afa81caedbae6ad2b2cc9fb052c058ac227a1154318f40f7d39b245c666992af8fd30850b595f9984f08bcb26a48272a317cbd30cfd6183c2450b532cf3c86,mops_spa_redirectToOld/ajax_t163sb04,source_candidate_no_exact_filing_date,false,raw_sources\t163sb04_sii_113q04_response.html,3,657636534,215129466,33826773,42227172,32332275
