factor_id,status,symbol,ticker,date,gap_reason,source_file,notes
institutional_flows,ready,0050,0050.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,00631L,00631L.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,2308,2308.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,2317,2317.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,2330,2330.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,2382,2382.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,2454,2454.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,3231,3231.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,6669,6669.TW,2024-10-08,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,0050,0050.TW,2025-06-11,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,0050,0050.TW,2025-06-12,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,0050,0050.TW,2025-06-13,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,0050,0050.TW,2025-06-16,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,0050,0050.TW,2025-06-17,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,2317,2317.TW,2025-07-30,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,00631L,00631L.TW,2026-03-25,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,00631L,00631L.TW,2026-03-26,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,00631L,00631L.TW,2026-03-27,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
institutional_flows,ready,00631L,00631L.TW,2026-03-30,missing_twse_t86_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/institutional_flows_daily_20240102_20260526_gap.csv,
day_trading,ready,0050,0050.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,00631L,00631L.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2308,2308.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2317,2317.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2330,2330.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2382,2382.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2454,2454.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,3231,3231.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,6669,6669.TW,2024-01-23,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,0050,0050.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,00631L,00631L.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2308,2308.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2317,2317.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2330,2330.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2382,2382.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2454,2454.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,3231,3231.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,6669,6669.TW,2024-10-22,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,0050,0050.TW,2025-06-11,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,0050,0050.TW,2025-06-12,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,0050,0050.TW,2025-06-13,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,0050,0050.TW,2025-06-16,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,0050,0050.TW,2025-06-17,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,00631L,00631L.TW,2026-03-25,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,00631L,00631L.TW,2026-03-26,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,00631L,00631L.TW,2026-03-27,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,00631L,00631L.TW,2026-03-30,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2454,2454.TW,2026-05-07,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2454,2454.TW,2026-05-08,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
day_trading,ready,2454,2454.TW,2026-05-11,missing_twse_twtb4u_target_symbol_row,data/formal_sources/backtest_factor_2024_2026/day_trading_daily_20240102_20260526_gap.csv,
