date,symbol,ticker,name,foreign_net_buy_shares,foreign_net_buy_twd,investment_trust_net_buy_shares,investment_trust_net_buy_twd,dealer_net_buy_shares,dealer_net_buy_twd,total_institutional_net_buy_twd,foreign_consecutive_buy_days,foreign_consecutive_sell_days,trust_consecutive_buy_days,trust_consecutive_sell_days,data_source,source_url,data_quality_status
2024-01-02,0050,0050.TW,元大台灣50,1475468,,0,,-899623,,,1,0,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,00631L,00631L.TW,元大台灣50正2,-10000,,0,,-483440,,,0,1,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,2308,2308.TW,台達電,-777102,,21000,,-69188,,,0,1,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,2317,2317.TW,鴻海,5615921,,3206000,,70030,,,1,0,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,2330,2330.TW,台積電,7831725,,759315,,-1007971,,,1,0,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,2382,2382.TW,廣達,-8694400,,-72732,,-774912,,,0,1,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,2454,2454.TW,聯發科,-3523359,,-690612,,602023,,,0,1,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,3231,3231.TW,緯創,-47686886,,-4304000,,369791,,,0,1,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-02,6669,6669.TW,緯穎,-131149,,-184000,,-30832,,,0,1,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240102&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,0050,0050.TW,元大台灣50,-8033755,,0,,1147325,,,0,1,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,00631L,00631L.TW,元大台灣50正2,-1826000,,0,,-787792,,,0,2,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,2308,2308.TW,台達電,-1639720,,-24922,,-130941,,,0,2,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,2317,2317.TW,鴻海,1920698,,869061,,-339342,,,2,0,2,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,2330,2330.TW,台積電,-7591549,,592130,,-249720,,,0,1,2,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,2382,2382.TW,廣達,-4645408,,674207,,-547102,,,0,2,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,2454,2454.TW,聯發科,-1776310,,435094,,32948,,,0,2,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,3231,3231.TW,緯創,-6806313,,-297073,,304911,,,0,2,0,2,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-03,6669,6669.TW,緯穎,-464626,,-141166,,-12658,,,0,2,0,2,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240103&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,0050,0050.TW,元大台灣50,-646163,,0,,887257,,,0,2,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,00631L,00631L.TW,元大台灣50正2,-79000,,0,,773838,,,0,3,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,2308,2308.TW,台達電,-759797,,-8254,,43572,,,0,3,0,2,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,2317,2317.TW,鴻海,19912,,147884,,109000,,,3,0,3,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,2330,2330.TW,台積電,78970,,246000,,55385,,,1,0,3,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,2382,2382.TW,廣達,5627792,,583000,,-107464,,,1,0,2,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,2454,2454.TW,聯發科,226477,,-270275,,-873938,,,1,0,0,1,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,3231,3231.TW,緯創,-416647,,3574700,,-4142976,,,0,3,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-04,6669,6669.TW,緯穎,-331741,,-10,,12425,,,0,3,0,3,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240104&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,0050,0050.TW,元大台灣50,-1383412,,0,,-1081151,,,0,3,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,00631L,00631L.TW,元大台灣50正2,-420000,,0,,465262,,,0,4,0,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,2308,2308.TW,台達電,-472898,,69900,,291951,,,0,4,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,2317,2317.TW,鴻海,-1886616,,53687,,-86000,,,0,1,4,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,2330,2330.TW,台積電,-7850458,,27919,,74132,,,0,1,4,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,2382,2382.TW,廣達,-1627543,,948986,,-249091,,,0,1,3,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,2454,2454.TW,聯發科,-1235118,,23209,,-130706,,,0,1,1,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
2024-01-05,3231,3231.TW,緯創,-6040336,,63247,,-329330,,,0,4,2,0,twse_t86_shares_only,https://www.twse.com.tw/rwd/zh/fund/T86?date=20240105&selectType=ALLBUT0999&response=json,official_twse_t86_shares_only_twd_unavailable
