date,symbol,ticker,name,margin_buy,margin_sell,margin_balance,margin_balance_change,short_sell,short_cover,short_balance,short_balance_change,securities_lending_balance,securities_lending_balance_change,margin_balance_5d_change_pct,margin_balance_20d_change_pct,short_balance_5d_change_pct,short_balance_20d_change_pct,lending_balance_5d_change_pct,lending_balance_20d_change_pct,margin_overheat_flag,short_lending_pressure_flag,data_source,source_url,data_quality_status
2024-01-02,0050,0050.TW,元大台灣50,27,19,476,8,0,1,107,-1,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,00631L,00631L.TW,元大台灣50正2,360,215,3005,145,12,53,1428,-41,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,2308,2308.TW,台達電,85,65,3978,20,5,8,69,-3,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,2317,2317.TW,鴻海,105,604,36937,-518,1,12,703,-11,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,2330,2330.TW,台積電,310,513,12844,-213,21,2,208,19,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,2382,2382.TW,廣達,3257,5722,50655,-2467,57,372,3411,-315,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,2454,2454.TW,聯發科,592,342,6230,248,0,0,0,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,3231,3231.TW,緯創,12043,10306,125013,1734,148,896,2309,-748,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-02,6669,6669.TW,緯穎,111,72,2287,39,0,16,85,-16,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240102&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2024-01-03,0050,0050.TW,元大台灣50,67,33,510,34,2,8,101,-6,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20240103&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
