source_id,market,dataset,url,method,status,http_code,content_type,raw_row_count,accepted_listing_rows,accepted_suspension_rows,proxy_rows,date_field_detected,min_event_date,max_event_date,retrieved_path,error
twse_swagger,TWSE,endpoint_catalog,https://openapi.twse.com.tw/v1/swagger.json,GET,retrieved,200,application/json,0,0,0,0,,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\twse_swagger.json,
twse_company_newlisting,TWSE,listing_metadata,https://openapi.twse.com.tw/v1/company/newlisting,GET,retrieved,200,application/json,786,294,0,0,ListingDate|ApprovedListingDate,2015-01-23,2026-05-29,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\twse_company_newlisting.json,
twse_company_suspend_listing,TWSE,delisting_metadata,https://openapi.twse.com.tw/v1/company/suspendListingCsvAndHtml,GET,retrieved,200,application/json,264,85,0,0,DelistingDate,2015-01-02,2026-06-23,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\twse_company_suspend_listing.json,
twse_current_company_profile,TWSE,current_company_profile,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,GET,retrieved,200,application/json,1089,0,0,1089,current_snapshot_fields,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\twse_current_company_profile.json,
twse_daily_material_information_current,TWSE,material_information_current,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,GET,retrieved,200,application/json,105,0,0,105,current_or_special_case_fields,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\twse_daily_material_information_current.json,
tpex_swagger,TPEx,endpoint_catalog,https://www.tpex.org.tw/openapi/swagger.json,GET,retrieved,200,application/json,0,0,0,0,,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\tpex_swagger.json,
tpex_spendi_history,TPEx,suspension_resumption_events,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,GET,retrieved,200,application/json,178,0,178,0,DateOfSuspendedTrading|DateOfResumedTrading,2026-01-09,2026-06-22,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\tpex_spendi_history.json,
tpex_spendi_today,TPEx,suspension_resumption_events,https://www.tpex.org.tw/openapi/v1/tpex_spendi_today,GET,retrieved,200,application/json,1,0,0,0,Date|暫停交易|恢復交易,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\tpex_spendi_today.json,
tpex_cmode_current,TPEx,current_trading_status,https://www.tpex.org.tw/openapi/v1/tpex_cmode,GET,retrieved,200,application/json,20,0,0,20,current_or_special_case_fields,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\tpex_cmode_current.json,
tpex_current_company_profile,TPEx,current_company_profile,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,GET,retrieved,200,application/json,891,0,0,891,current_snapshot_fields,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\tpex_current_company_profile.json,
tpex_daily_material_information_current,TPEx,material_information_current,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,GET,retrieved,200,application/json,48,0,0,48,current_or_special_case_fields,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\tpex_daily_material_information_current.json,
tpex_operation_scope_stop_trading,TPEx,stop_trading_special_case,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap26_O,GET,retrieved,200,application/json,0,0,0,0,current_or_special_case_fields,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_delisting_suspension_master_20260703\raw_sources\tpex_operation_scope_stop_trading.json,
