證券代號,占集保庫存數比例%,人數,﻿資料日期,股數,持股分級
000218,0.00,0,20260703,0,1
000218,0.00,0,20260703,0,2
000218,0.00,0,20260703,0,3
000218,0.00,0,20260703,0,4
000218,0.00,0,20260703,0,5
000218,0.00,0,20260703,0,6
000218,0.00,0,20260703,0,7
000218,0.00,0,20260703,0,8
000218,0.00,0,20260703,0,9
000218,0.00,0,20260703,0,10
000218,0.00,0,20260703,0,11
000218,0.00,0,20260703,0,12
000218,0.00,0,20260703,0,13
000218,0.00,0,20260703,0,14
000218,100.00,1,20260703,422278902,15
000218,0.00,0,20260703,0,16
000218,100.00,1,20260703,422278902,17
000560,0.00,0,20260703,0,1
000560,0.00,0,20260703,0,2
000560,0.00,0,20260703,0,3
000560,0.00,0,20260703,0,4
000560,0.00,0,20260703,0,5
000560,0.00,0,20260703,0,6
000560,0.00,0,20260703,0,7
000560,0.00,0,20260703,0,8
000560,0.00,0,20260703,0,9
000560,0.00,0,20260703,0,10
000560,0.00,0,20260703,0,11
000560,0.00,0,20260703,0,12
000560,0.00,0,20260703,0,13
000560,0.00,0,20260703,0,14
000560,100.00,1,20260703,29700000,15
000560,0.00,0,20260703,0,16
000560,100.00,1,20260703,29700000,17
000708,0.00,0,20260703,0,1
000708,0.00,0,20260703,0,2
000708,0.00,0,20260703,0,3
000708,0.00,0,20260703,0,4
000708,0.00,0,20260703,0,5
000708,0.00,0,20260703,0,6
000708,0.00,0,20260703,0,7
000708,0.00,0,20260703,0,8
000708,0.00,0,20260703,0,9
000708,0.00,0,20260703,0,10
000708,0.00,0,20260703,0,11
000708,0.00,0,20260703,0,12
000708,0.00,0,20260703,0,13
000708,0.00,0,20260703,0,14
000708,100.00,1,20260703,20200000,15
000708,0.00,0,20260703,0,16
000708,100.00,1,20260703,20200000,17
000779,0.00,0,20260703,0,1
000779,0.00,0,20260703,0,2
000779,0.00,0,20260703,0,3
000779,0.00,0,20260703,0,4
000779,0.00,0,20260703,0,5
000779,0.00,0,20260703,0,6
000779,0.00,0,20260703,0,7
000779,0.00,0,20260703,0,8
000779,0.00,0,20260703,0,9
000779,0.00,0,20260703,0,10
000779,0.00,0,20260703,0,11
000779,0.00,0,20260703,0,12
000779,0.00,0,20260703,0,13
000779,0.00,0,20260703,0,14
000779,100.00,1,20260703,1150000000,15
000779,0.00,0,20260703,0,16
000779,100.00,1,20260703,1150000000,17
000815,0.00,0,20260703,0,1
000815,0.00,0,20260703,0,2
000815,0.00,0,20260703,0,3
000815,0.00,0,20260703,0,4
000815,0.00,0,20260703,0,5
000815,0.00,0,20260703,0,6
000815,0.00,0,20260703,0,7
000815,0.00,0,20260703,0,8
000815,0.00,0,20260703,0,9
000815,0.00,0,20260703,0,10
000815,0.00,0,20260703,0,11
000815,0.00,0,20260703,0,12
000815,0.00,0,20260703,0,13
000815,0.00,0,20260703,0,14
000815,100.00,1,20260703,2505407068,15
000815,0.00,0,20260703,0,16
000815,100.00,1,20260703,2505407068,17
000856,0.00,0,20260703,0,1
000856,0.00,0,20260703,0,2
000856,0.00,0,20260703,0,3
000856,0.00,0,20260703,0,4
000856,0.00,0,20260703,0,5
000856,0.00,0,20260703,0,6
000856,0.00,0,20260703,0,7
000856,0.00,0,20260703,0,8
000856,0.00,0,20260703,0,9
000856,0.00,0,20260703,0,10
000856,0.00,0,20260703,0,11
000856,0.00,0,20260703,0,12
000856,0.00,0,20260703,0,13
000856,0.00,0,20260703,0,14
000856,100.00,1,20260703,231800000,15
