ticker,name,market,sample_policy,source_universe_quality,prior_t164_seed_status,target_periods,planned_routes,expected_route_budget_per_ticker_period,accepted_for_formal,human_review_required,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
1777,生泰,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
2073,雄順,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
2745,五福,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3078,僑威,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3158,嘉實,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3224,三顧,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3287,廣寰科,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3349,寶德,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3455,由田,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
