ticker,name,market,universe_source,source_id,source_date,universe_quality,usable_for_sampling,usable_for_historical_membership,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1259,安心,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1264,德麥,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1268,漢來美食,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1294,漢田生技,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1295,生合,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1336,台翰,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1565,精華,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1569,濱川,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1570,力肯,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1580,新麥,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1584,精剛,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1586,和勤,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
1591,駿吉-KY,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_cmode_current,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False
