family,date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted,source_url,source_hash
institutional,2023-08-04,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-08-04,TWSE,reused_existing_compact,106,106,0,False,local_compact,
institutional,2023-08-07,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-08-07,TWSE,reused_existing_compact,106,106,0,False,local_compact,
institutional,2023-08-08,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-08-08,TWSE,reused_existing_compact,106,106,0,False,local_compact,
institutional,2023-08-09,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-08-09,TWSE,reused_existing_compact,106,106,0,False,local_compact,
institutional,2023-08-10,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-08-10,TWSE,accepted,106,96,10,True,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,4cdc385a7983a893c46129bacbbe7885340cddb5a90241aa957ae85af7cb4bfb
institutional,2023-08-11,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-11,TWSE,reused_existing_compact,89,89,0,False,local_compact,
institutional,2023-08-14,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-14,TWSE,reused_existing_compact,89,89,0,False,local_compact,
institutional,2023-08-15,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-15,TWSE,reused_existing_compact,89,89,0,False,local_compact,
institutional,2023-08-16,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-16,TWSE,reused_existing_compact,89,89,0,False,local_compact,
institutional,2023-08-17,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-17,TWSE,reused_existing_compact,89,89,0,False,local_compact,
institutional,2023-08-18,TPEx,reused_existing_compact,41,41,0,False,local_compact,
institutional,2023-08-18,TWSE,reused_existing_compact,107,107,0,False,local_compact,
institutional,2023-08-21,TPEx,reused_existing_compact,41,41,0,False,local_compact,
institutional,2023-08-21,TWSE,reused_existing_compact,107,107,0,False,local_compact,
institutional,2023-08-22,TPEx,reused_existing_compact,41,41,0,False,local_compact,
institutional,2023-08-22,TWSE,reused_existing_compact,107,107,0,False,local_compact,
institutional,2023-08-23,TPEx,reused_existing_compact,41,41,0,False,local_compact,
institutional,2023-08-23,TWSE,reused_existing_compact,107,107,0,False,local_compact,
institutional,2023-08-24,TPEx,reused_existing_compact,41,41,0,False,local_compact,
institutional,2023-08-24,TWSE,reused_existing_compact,107,107,0,False,local_compact,
institutional,2023-08-25,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-25,TWSE,reused_existing_compact,105,105,0,False,local_compact,
institutional,2023-08-28,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-28,TWSE,reused_existing_compact,105,105,0,False,local_compact,
institutional,2023-08-29,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-29,TWSE,reused_existing_compact,105,105,0,False,local_compact,
institutional,2023-08-30,TPEx,reused_existing_compact,35,35,0,False,local_compact,
institutional,2023-08-30,TWSE,reused_existing_compact,105,105,0,False,local_compact,
institutional,2023-08-31,TPEx,reused_existing_compact,39,39,0,False,local_compact,
institutional,2023-08-31,TWSE,reused_existing_compact,123,123,0,False,local_compact,
institutional,2023-09-01,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-01,TWSE,reused_existing_compact,114,114,0,False,local_compact,
institutional,2023-09-04,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-04,TWSE,reused_existing_compact,114,114,0,False,local_compact,
institutional,2023-09-05,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-05,TWSE,reused_existing_compact,114,114,0,False,local_compact,
institutional,2023-09-06,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-06,TWSE,reused_existing_compact,114,114,0,False,local_compact,
institutional,2023-09-07,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-09-07,TWSE,reused_existing_compact,133,133,0,False,local_compact,
institutional,2023-09-08,TPEx,reused_existing_compact,41,41,0,False,local_compact,
institutional,2023-09-08,TWSE,reused_existing_compact,119,119,0,False,local_compact,
institutional,2023-09-11,TPEx,reused_existing_compact,41,41,0,False,local_compact,
institutional,2023-09-11,TWSE,reused_existing_compact,119,119,0,False,local_compact,
institutional,2023-09-12,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-09-12,TWSE,reused_existing_compact,133,133,0,False,local_compact,
institutional,2023-09-13,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-09-13,TWSE,reused_existing_compact,133,133,0,False,local_compact,
institutional,2023-09-14,TPEx,reused_existing_compact,45,45,0,False,local_compact,
institutional,2023-09-14,TWSE,accepted,133,132,1,True,https://www.twse.com.tw/fund/T86?date=20230914&selectType=ALLBUT0999&response=json,5e1982621fdc3a836bd5793428ccddc5733dc603dad18853ab24ae5624821076
institutional,2023-09-15,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-09-15,TWSE,accepted,121,120,1,True,https://www.twse.com.tw/fund/T86?date=20230915&selectType=ALLBUT0999&response=json,179d6a762eeef238402ae70b401cc6c4dc4b97a4930880f740ccfa59c4e6cdd6
institutional,2023-09-18,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-09-18,TWSE,accepted,121,120,1,True,https://www.twse.com.tw/fund/T86?date=20230918&selectType=ALLBUT0999&response=json,73b1af431684e99ee82c4f9c1f47397b6a612efa66b0cec140e767ff79cf4a5c
institutional,2023-09-19,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-19,TWSE,accepted,134,124,10,True,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,7c04cf186b806f9886b1c997d8cb0f9e1d7f81ab9acde7a47e9cb1c72b70fedf
institutional,2023-09-20,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-20,TWSE,accepted,134,133,1,True,https://www.twse.com.tw/fund/T86?date=20230920&selectType=ALLBUT0999&response=json,96f5c37c3d21db20db97de10167248bc4e0f36d800f13e3aca0ec7917a2465d0
institutional,2023-09-21,TPEx,reused_existing_compact,36,36,0,False,local_compact,
