ticker,name,market,segment_start_snapshot,warmup_required_sessions,warmup_actual_sessions,warmup_start,warmup_end
3008,大立光,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3260,威剛,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
1609,大亞,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3665,貿聯-KY,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2388,威盛,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
1504,東元,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2308,台達電,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3680,家登,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
8478,東哥遊艇,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2330,台積電,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3293,鈊象,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2886,兆豐金,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2353,宏碁,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
1513,中興電,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
1477,聚陽,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3207,耀勝,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
5483,中美晶,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2206,三陽工業,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
5388,中磊,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2317,鴻海,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
4938,和碩,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2481,強茂,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
9958,世紀鋼,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
1514,亞力,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2881,富邦金,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
6285,啟碁,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2329,華泰,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2449,京元電子,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3587,閎康,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2377,微星,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3704,合勤控,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
8255,朋程,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
3289,宜特,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
5871,中租-KY,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2352,佳世達,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3707,漢磊,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2324,仁寶,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
6488,環球晶,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
3596,智易,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
1560,中砂,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
6182,合晶,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
3362,先進光,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2345,智邦,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
4967,十銓,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2885,元大金,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3529,力旺,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2610,華航,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
6531,愛普*,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2890,永豐金,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3088,艾訊,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
6470,宇智,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
8028,昇陽半導體,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3374,精材,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2356,英業達,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2328,廣宇,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3217,優群,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
6789,采鈺,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
6223,旺矽,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2645,長榮航太,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3163,波若威,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
1476,儒鴻,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
4746,台耀,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
5289,宜鼎,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2379,瑞昱,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
5425,台半,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2892,第一金,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3037,欣興,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
4916,事欣科,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3583,辛耘,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2888,新光金,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3558,神準,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
4906,正文,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3356,奇偶,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3687,歐買尬,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
8155,博智,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
3324,雙鴻,TPEx,2023-07-14,20,20,2023-06-14,2023-07-13
2887,台新新光金,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
4919,新唐,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
2312,金寶,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
9910,豐泰,TWSE,2023-07-14,20,20,2023-06-14,2023-07-13
3406,玉晶光,TWSE,2023-07-21,20,20,2023-06-21,2023-07-20
2313,華通,TWSE,2023-07-21,20,20,2023-06-21,2023-07-20
5258,虹堡,TWSE,2023-07-21,20,20,2023-06-21,2023-07-20
6446,藥華藥,TPEx,2023-07-21,20,20,2023-06-21,2023-07-20
2402,毅嘉,TWSE,2023-07-21,20,20,2023-06-21,2023-07-20
2891,中信金,TWSE,2023-07-21,20,20,2023-06-21,2023-07-20
4123,晟德,TPEx,2023-07-21,20,20,2023-06-21,2023-07-20
6150,撼訊,TPEx,2023-07-21,20,20,2023-06-21,2023-07-20
2027,大成鋼,TWSE,2023-07-21,20,20,2023-06-21,2023-07-20
