snapshot_date,routing_variant,selected_route_mode,ticker,name,recommendation_type,path_bucket,entry_date,exit_date,entry_open_available,entry_close_available,exit_close_available,next_day_unadjusted_path_ready,adjusted_close_available,adjusted_close_ready,source_quality,adjustment_policy,blocked_reason,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2024-01-05,conservative_hurdle_route,rs20_top3_risk_tiebreak,6546,正基,stock,ordinary_stock,2024-01-08,2024-01-15,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-05,dispersion_route,rs20_top3_risk_tiebreak,6546,正基,stock,ordinary_stock,2024-01-08,2024-01-15,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-05,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,6546,正基,stock,ordinary_stock,2024-01-08,2024-01-15,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-05,market_bias_pool_trend_route,stable_strength,5521,工信,stock,ordinary_stock,2024-01-08,2024-01-15,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-05,pool_breadth_route,stable_strength,5521,工信,stock,ordinary_stock,2024-01-08,2024-01-15,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-12,conservative_hurdle_route,rs20_top3_risk_tiebreak,2353,宏碁,stock,ordinary_stock,2024-01-15,2024-01-22,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-12,dispersion_route,rs20_top3_risk_tiebreak,2353,宏碁,stock,ordinary_stock,2024-01-15,2024-01-22,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-12,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2353,宏碁,stock,ordinary_stock,2024-01-15,2024-01-22,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-12,market_bias_pool_trend_route,stable_strength,2353,宏碁,stock,ordinary_stock,2024-01-15,2024-01-22,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-12,pool_breadth_route,stable_strength,2353,宏碁,stock,ordinary_stock,2024-01-15,2024-01-22,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-19,conservative_hurdle_route,hurdle_reference,6756,威鋒電子,00631L,00631L_reference,2024-01-22,2024-01-29,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-19,dispersion_route,rs20_top3_risk_tiebreak,3622,洋華,stock,ordinary_stock,2024-01-22,2024-01-29,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-19,hybrid_pullback_base_mega_override,pullback_repair,8210,勤誠,stock,ordinary_stock,2024-01-22,2024-01-29,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-19,market_bias_pool_trend_route,pullback_repair,8210,勤誠,stock,ordinary_stock,2024-01-22,2024-01-29,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-19,pool_breadth_route,low_risk_strength,6117,迎廣,stock,ordinary_stock,2024-01-22,2024-01-29,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-26,conservative_hurdle_route,hurdle_reference,3032,偉訓,00631L,00631L_reference,2024-01-29,2024-02-05,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-26,dispersion_route,rs20_top3_risk_tiebreak,9958,世紀鋼,stock,ordinary_stock,2024-01-29,2024-02-05,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-26,hybrid_pullback_base_mega_override,pullback_repair,3036,文曄,stock,ordinary_stock,2024-01-29,2024-02-05,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-26,market_bias_pool_trend_route,pullback_repair,3036,文曄,stock,ordinary_stock,2024-01-29,2024-02-05,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-01-26,pool_breadth_route,low_risk_strength,6531,愛普*,stock,ordinary_stock,2024-01-29,2024-02-05,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-02-02,conservative_hurdle_route,rs20_top3_risk_tiebreak,6442,光聖,stock,ordinary_stock,2024-02-05,2024-02-21,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-02-02,dispersion_route,rs20_top3_risk_tiebreak,6442,光聖,stock,ordinary_stock,2024-02-05,2024-02-21,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-02-02,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,6442,光聖,stock,ordinary_stock,2024-02-05,2024-02-21,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-02-02,market_bias_pool_trend_route,stable_strength,3376,新日興,stock,ordinary_stock,2024-02-05,2024-02-21,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-02-02,pool_breadth_route,stable_strength,3376,新日興,stock,ordinary_stock,2024-02-05,2024-02-21,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-02-05,conservative_hurdle_route,rs20_top3_risk_tiebreak,2376,技嘉,stock,ordinary_stock,2024-02-15,2024-02-22,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2024-02-05,dispersion_route,rs20_top3_risk_tiebreak,2376,技嘉,stock,ordinary_stock,2024-02-15,2024-02-22,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
