ticker,name,missing_route_rows_requested,first_signal_date,last_signal_date,required_price_start,required_price_end_with_exit_buffer,path_rows_audited,unadjusted_ready_rows,blocked_rows,adjusted_close_ready,source_quality
2330,台積電,10,2024-03-08,2025-12-05,2024-03-11,2025-12-15,11,11,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3037,欣興,6,2024-11-08,2026-01-23,2024-11-11,2026-02-02,6,6,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6290,良維,6,2024-02-23,2026-05-08,2024-02-26,2026-05-18,6,6,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
7750,新代,6,2026-02-26,2026-03-06,2026-03-02,2026-03-16,6,6,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3017,奇鋐,5,2025-07-04,2025-08-29,2025-07-07,2025-09-08,5,5,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3213,茂訊,5,2025-03-14,2025-03-14,2025-03-17,2025-03-24,5,5,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
4904,遠傳,5,2024-08-09,2025-04-18,2024-08-12,2025-04-28,7,7,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6640,均華,5,2024-08-16,2026-04-24,2024-08-19,2026-05-05,5,5,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6669,緯穎,5,2025-05-02,2025-10-03,2025-05-05,2025-10-15,5,5,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
1319,東陽,4,2024-03-22,2024-10-04,2024-03-25,2024-10-15,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2365,昆盈,4,2024-06-14,2024-06-21,2024-06-17,2024-07-01,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2367,燿華,4,2024-05-31,2026-02-26,2024-06-03,2026-03-09,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2472,立隆電,4,2024-12-27,2025-11-07,2024-12-30,2025-11-17,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3663,鑫科,4,2024-08-02,2024-08-23,2024-08-05,2024-09-02,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3689,湧德,4,2024-02-23,2026-01-16,2024-02-26,2026-01-26,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3705,永信,4,2025-05-02,2025-05-02,2025-05-05,2025-05-12,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6446,藥華藥,4,2024-06-28,2025-01-17,2024-07-01,2025-02-05,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6530,創威,4,2024-09-20,2024-11-01,2024-09-23,2024-11-11,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
8021,尖點,4,2025-08-08,2025-08-15,2025-08-11,2025-08-25,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2049,上銀,3,2024-10-25,2026-05-08,2024-10-28,2026-05-18,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2301,光寶科,3,2024-11-29,2025-10-09,2024-12-02,2025-10-20,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2308,台達電,3,2024-07-19,2025-10-31,2024-07-22,2025-11-10,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2345,智邦,3,2025-05-23,2025-05-23,2025-05-26,2025-06-03,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2360,致茂,3,2024-03-22,2024-10-11,2024-03-25,2024-10-21,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2375,凱美,3,2025-10-23,2025-10-31,2025-10-27,2025-11-10,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2382,廣達,3,2024-04-03,2024-06-21,2024-04-08,2024-07-01,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2412,中華電,3,2025-04-11,2025-04-25,2025-04-14,2025-05-06,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2454,聯發科,3,2024-11-01,2025-01-10,2024-11-04,2025-01-20,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2520,冠德,3,2024-04-26,2024-04-26,2024-04-29,2024-05-07,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2646,星宇航空,3,2024-11-22,2024-11-22,2024-11-25,2024-12-02,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3033,威健,3,2026-05-22,2026-05-22,2026-05-25,2026-06-01,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3312,弘憶股,3,2024-03-15,2024-03-15,2024-03-18,2024-03-25,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3450,聯鈞,3,2024-12-06,2025-07-04,2024-12-09,2025-07-14,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3673,TPK-KY,3,2026-04-17,2026-04-17,2026-04-20,2026-04-27,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
4931,新盛力,3,2025-04-02,2025-04-02,2025-04-07,2025-04-14,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
4958,臻鼎-KY,3,2026-05-15,2026-05-15,2026-05-18,2026-05-25,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
5314,世紀*,3,2025-08-01,2025-09-05,2025-08-04,2025-09-15,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
5508,永信建,3,2024-07-26,2024-07-26,2024-07-29,2024-08-05,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6104,創惟,3,2024-09-13,2024-09-13,2024-09-16,2024-09-24,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6449,鈺邦,3,2025-09-12,2025-09-12,2025-09-15,2025-09-22,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6546,正基,3,2024-01-05,2024-01-05,2024-01-08,2024-01-15,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
8033,雷虎,3,2025-01-03,2025-01-03,2025-01-06,2025-01-13,4,4,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
8070,長華*,3,2024-09-06,2024-09-06,2024-09-09,2024-09-16,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2059,川湖,2,2025-10-17,2025-10-17,2025-10-20,2025-10-28,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2070,精湛,2,2024-09-13,2024-09-13,2024-09-16,2024-09-24,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2492,華新科,2,2025-11-21,2025-11-21,2025-11-24,2025-12-01,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2495,普安,2,2024-06-07,2024-06-07,2024-06-11,2024-06-18,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2515,中工,2,2024-04-19,2024-04-19,2024-04-22,2024-04-29,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
