routing_variant,path_bucket,rows,unadjusted_ready_rows,adjusted_ready_rows,blocked_rows,unadjusted_ready_share
conservative_hurdle_route,ordinary_stock,102,101,0,1,0.990196
dispersion_route,ordinary_stock,123,122,0,1,0.99187
hybrid_pullback_base_mega_override,ordinary_stock,123,123,0,0,1.0
market_bias_pool_trend_route,ordinary_stock,123,123,0,0,1.0
pool_breadth_route,ordinary_stock,123,123,0,0,1.0
conservative_hurdle_route,00631L_reference,21,21,0,0,1.0
