timestamp,step,status,detail
2026-07-03T14:49:13+08:00,probe_twse_twta_wu_month,retrieved,2019-10 accepted=8
2026-07-03T14:49:13+08:00,probe_twse_twta_wu_month,retrieved,2019-11 accepted=6
2026-07-03T14:49:13+08:00,probe_twse_twta_wu_month,retrieved,2019-12 accepted=8
2026-07-03T14:49:13+08:00,probe_twse_twta_wu_month,retrieved,2020-01 accepted=0
2026-07-03T14:49:14+08:00,probe_twse_twta_wu_month,retrieved,2020-02 accepted=6
2026-07-03T14:49:14+08:00,probe_twse_twta_wu_month,retrieved,2020-03 accepted=6
2026-07-03T14:49:15+08:00,probe_twse_twta_wu_month,retrieved,2020-04 accepted=0
2026-07-03T14:49:15+08:00,probe_twse_twta_wu_month,retrieved,2020-05 accepted=4
2026-07-03T14:49:15+08:00,probe_twse_twta_wu_month,retrieved,2020-06 accepted=4
2026-07-03T14:49:15+08:00,probe_twse_twta_wu_month,retrieved,2020-07 accepted=4
2026-07-03T14:49:16+08:00,probe_twse_twta_wu_month,retrieved,2020-08 accepted=12
2026-07-03T14:49:16+08:00,probe_twse_twta_wu_month,retrieved,2020-09 accepted=144
2026-07-03T14:49:16+08:00,probe_twse_twta_wu_month,retrieved,2020-10 accepted=4
2026-07-03T14:49:16+08:00,probe_twse_twta_wu_month,retrieved,2020-11 accepted=2
2026-07-03T14:49:17+08:00,probe_twse_twta_wu_month,retrieved,2020-12 accepted=4
2026-07-03T14:49:17+08:00,probe_twse_twta_wu_month,retrieved,2021-01 accepted=0
2026-07-03T14:49:17+08:00,probe_twse_twta_wu_month,retrieved,2021-02 accepted=2
2026-07-03T14:49:17+08:00,probe_twse_twta_wu_month,retrieved,2021-03 accepted=6
2026-07-03T14:49:17+08:00,probe_twse_twta_wu_month,retrieved,2021-04 accepted=4
2026-07-03T14:49:18+08:00,probe_twse_twta_wu_month,retrieved,2021-05 accepted=0
2026-07-03T14:49:18+08:00,probe_twse_twta_wu_month,retrieved,2021-06 accepted=4
2026-07-03T14:49:18+08:00,probe_twse_twta_wu_month,retrieved,2021-07 accepted=0
2026-07-03T14:49:18+08:00,probe_twse_twta_wu_month,retrieved,2021-08 accepted=0
2026-07-03T14:49:19+08:00,probe_twse_twta_wu_month,retrieved,2021-09 accepted=4
2026-07-03T14:49:19+08:00,probe_twse_twta_wu_month,retrieved,2021-10 accepted=10
2026-07-03T14:49:21+08:00,probe_twse_twta_wu_month,retrieved,2021-11 accepted=4
2026-07-03T14:49:22+08:00,probe_twse_twta_wu_month,retrieved,2021-12 accepted=2
2026-07-03T14:49:22+08:00,probe_twse_twta_wu_month,retrieved,2022-01 accepted=2
2026-07-03T14:49:22+08:00,probe_twse_twta_wu_month,retrieved,2022-02 accepted=4
2026-07-03T14:49:23+08:00,probe_twse_twta_wu_month,retrieved,2022-03 accepted=0
2026-07-03T14:49:23+08:00,probe_twse_twta_wu_month,retrieved,2022-04 accepted=2
2026-07-03T14:49:23+08:00,probe_twse_twta_wu_month,retrieved,2022-05 accepted=0
2026-07-03T14:49:23+08:00,probe_twse_twta_wu_month,retrieved,2022-06 accepted=0
2026-07-03T14:49:23+08:00,probe_twse_twta_wu_month,retrieved,2022-07 accepted=0
2026-07-03T14:49:23+08:00,probe_twse_twta_wu_month,retrieved,2022-08 accepted=4
2026-07-03T14:49:23+08:00,probe_twse_twta_wu_month,retrieved,2022-09 accepted=2
2026-07-03T14:49:24+08:00,probe_twse_twta_wu_month,retrieved,2022-10 accepted=0
2026-07-03T14:49:24+08:00,probe_twse_twta_wu_month,retrieved,2022-11 accepted=2
2026-07-03T14:49:24+08:00,probe_twse_twta_wu_month,retrieved,2022-12 accepted=0
2026-07-03T14:49:24+08:00,probe_twse_twta_wu_month,retrieved,2023-01 accepted=0
2026-07-03T14:49:24+08:00,probe_twse_twta_wu_month,retrieved,2023-02 accepted=2
2026-07-03T14:49:25+08:00,probe_twse_twta_wu_month,retrieved,2023-03 accepted=2
2026-07-03T14:49:25+08:00,probe_twse_twta_wu_month,retrieved,2023-04 accepted=0
2026-07-03T14:49:25+08:00,probe_twse_twta_wu_month,retrieved,2023-05 accepted=0
2026-07-03T14:49:25+08:00,probe_twse_twta_wu_month,retrieved,2023-06 accepted=0
2026-07-03T14:49:25+08:00,probe_twse_twta_wu_month,retrieved,2023-07 accepted=0
2026-07-03T14:49:25+08:00,probe_twse_twta_wu_month,retrieved,2023-08 accepted=0
2026-07-03T14:49:26+08:00,probe_twse_twta_wu_month,retrieved,2023-09 accepted=6
2026-07-03T14:49:27+08:00,probe_twse_twta_wu_month,retrieved,2023-10 accepted=2
2026-07-03T14:49:28+08:00,probe_twse_twta_wu_month,retrieved,2023-11 accepted=0
2026-07-03T14:49:29+08:00,probe_twse_twta_wu_month,retrieved,2023-12 accepted=0
2026-07-03T14:49:29+08:00,probe_twse_twta_wu_month,retrieved,2024-01 accepted=2
2026-07-03T14:49:30+08:00,probe_twse_twta_wu_month,retrieved,2024-02 accepted=0
