date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2026-05-27,記憶體,2408,南亞科,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,56.3,theme_leader,true,100.0,ok,fundamental checks passed,59.2,100.0,0,0,0,2,26.0,-4.1,true,false,false,false
2026-05-27,記憶體,2344,華邦電,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,47.9,excluded_overheated,true,100.0,ok,fundamental checks passed,87.7,100.0,0,0,0,1,26.4,4.6,true,false,false,true
2026-05-27,記憶體,2337,旺宏,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,56.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,48.0,100.0,0,0,0,3,15.5,3.4,false,true,false,false
2026-05-27,記憶體,3006,晶豪科,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,46.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,64.4,100.0,0,0,0,8,3.0,-1.2,false,false,false,false
2026-05-27,記憶體,3260,威剛,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,51.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,50.4,100.0,0,0,0,6,3.2,-0.6,false,false,false,false
2026-05-27,記憶體,8299,群聯,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,54.0,watch,true,100.0,ok,fundamental checks passed,48.0,100.0,0,0,0,5,9.8,-0.7,false,false,false,false
2026-05-27,記憶體,8271,宇瞻,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,38.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,52.3,67.2,0,0,0,9,0.5,0.0,false,false,false,false
2026-05-27,記憶體,8088,品安,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,33.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,52.0,53.8,0,0,0,10,0.4,0.1,false,false,false,false
2026-05-27,記憶體,6531,愛普*,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,51.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,48.0,100.0,0,0,0,7,3.0,-3.6,false,false,false,false
2026-05-27,記憶體,6770,力積電,1,85.4,22.5,19.2,4.1,255019.9,882139.7,100.0,64.0,48.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,70.6,100.0,0,0,0,4,12.2,2.1,false,true,false,true
2026-05-27,PCB/載板,3037,欣興,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,57.9,theme_leader,true,70.0,ok,fundamental checks passed,43.5,100.0,0,0,0,1,17.1,-2.8,true,false,false,false
2026-05-27,PCB/載板,8046,南電,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,56.2,watch,true,70.0,ok,fundamental checks passed,43.5,100.0,0,0,0,5,12.2,-0.6,false,false,false,false
2026-05-27,PCB/載板,3189,景碩,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,55.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,46.9,100.0,0,0,0,4,12.8,3.1,false,true,false,false
2026-05-27,PCB/載板,2368,金像電,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,53.6,watch,true,100.0,ok,fundamental checks passed,43.5,100.0,0,0,0,8,4.6,-0.3,false,false,false,false
2026-05-27,PCB/載板,2383,台光電,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,54.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,44.6,100.0,0,0,0,7,7.3,-0.7,false,false,false,false
2026-05-27,PCB/載板,6274,台燿,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,50.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,56.2,100.0,0,0,0,6,7.6,4.8,false,false,true,false
2026-05-27,PCB/載板,6213,聯茂,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,52.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,46.4,100.0,0,0,0,9,3.4,1.2,false,false,false,false
2026-05-27,PCB/載板,8358,金居,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,46.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,63.8,100.0,0,0,0,13,1.4,0.3,false,false,false,false
