ticker,market,year_month,required_gap_rows,raw_gap_rows,factor_gap_rows,need_official_selected_ticker_month_route,official_raw_route,need_trusted_adjusted_ticker_route,trusted_factor_route,classification_set,download_executed,future_data_violation_count,diagnostic_subproblem,represents_intended_all80_layer5_state_supply,performance_authorized,P3_2_outcome_read_authorized,Top3_authorized,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1102,TWSE,2023-07,2,2,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1102,TWSE,2023-09,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1102,TWSE,2023-11,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1102,TWSE,2025-07,4,4,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2022-07,8,8,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2022-08,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2022-10,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2023-03,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2023-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2023-08,9,9,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2023-09,20,20,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2023-10,20,20,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2023-11,22,22,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2023-12,21,21,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2024-01,22,22,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2024-02,13,13,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2024-03,21,21,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2024-04,20,20,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2024-05,5,5,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2024-06,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1210,TWSE,2024-08,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1215,TWSE,2024-05,9,9,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1215,TWSE,2024-06,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1215,TWSE,2024-08,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1301,TWSE,2022-09,8,8,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1301,TWSE,2022-10,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1301,TWSE,2023-03,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1301,TWSE,2023-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1301,TWSE,2023-11,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1301,TWSE,2024-08,5,5,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1303,TWSE,2022-10,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1303,TWSE,2023-03,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1303,TWSE,2023-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1303,TWSE,2023-11,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1303,TWSE,2024-08,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1303,TWSE,2025-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1307,TWSE,2023-10,8,8,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1307,TWSE,2023-11,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1307,TWSE,2024-06,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1326,TWSE,2022-09,8,8,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1326,TWSE,2022-10,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1326,TWSE,2023-03,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1326,TWSE,2023-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1326,TWSE,2023-11,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1339,TWSE,2022-09,3,3,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1339,TWSE,2022-10,7,7,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1339,TWSE,2023-03,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1339,TWSE,2023-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1339,TWSE,2023-07,3,3,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1339,TWSE,2023-10,5,5,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1402,TWSE,2022-09,3,3,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
