classification,gap_rows,unique_tickers,unique_ticker_months,requires_new_download,diagnostic_subproblem,represents_intended_all80_layer5_state_supply,performance_authorized,P3_2_outcome_read_authorized,Top3_authorized,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
factor_true_gap,1,1,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
official_zero_or_not_applicable_proven,1200,309,723,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
pre_listing_or_short_history_candidate_review,607,63,78,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
raw_true_gap,9009,476,2316,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
reconstructable_from_local_reuse,136491,606,9103,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
symbol_or_source_structural_factor_blocked,2061,4,107,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
