package,relative_path,candidate_size_mb,estimated_compressed_mb,reason,restore_source,approval_required,delete_allowed
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629,1.327756,0.331888,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,outputs/radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,34.539353,8.634824,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_market_cap_pit_20260703,outputs/radar_dynamic_pool1_market_cap_pit_20260703,9.24227,2.310555,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704,73.712731,66.271138,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704,outputs/radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704,1.096423,0.274096,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_pit_source_acquisition_20260703,outputs/radar_dynamic_pool1_pit_source_acquisition_20260703,0.045935,0.011479,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703,outputs/radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703,7.26649,1.982492,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,outputs/radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,49.695343,12.423827,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_sector_mainline_pit_source_package_20260703,outputs/radar_dynamic_pool1_sector_mainline_pit_source_package_20260703,3.520067,0.879983,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_tpex_static_reverse_archive_probe_20260703,outputs/radar_dynamic_pool1_tpex_static_reverse_archive_probe_20260703,0.964087,0.33216,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_dynamic_pool1_twse_market_cap_route_20260703,outputs/radar_dynamic_pool1_twse_market_cap_route_20260703,8.71433,2.17857,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_archived_html_crawler_201411_202312_20260629,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629,80.892474,20.236444,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
