package,relative_path,size_bytes,size_mb,sha256,duplicate_of,archive_candidate,estimated_compressed_bytes,estimated_compressed_mb,delete_allowed,compress_executed,move_executed,restore_source
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/cache_compatible_files_manifest.csv,1864,0.001778,b92be45824847bb9b398f2539e3d528d3c2628a153c2628295004fd2071dd59a,,True,466,0.000444,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/cache_compatible_files_manifest.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/completed.csv,1025,0.000978,0c1e04927a6cd0a29e3fb97e74781b9a8f5db662ff8cca280150ac3b213ef8b0,,True,256,0.000244,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/completed.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/corporate_action_mapping.csv,450,0.000429,865f9917d60044be217c66df8fb3b33f39f51f8d567744a6da16e0589e13935c,,True,112,0.000107,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/corporate_action_mapping.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/coverage_by_ticker.csv,1308,0.001247,880a3b5be069bf49b7ea2036b8822c0b7b83b4c3a6ba6fe919d0f157f87b2ceb,,True,327,0.000312,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/coverage_by_ticker.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/current_step.txt,11,1e-05,5e1f8562208322ba8dbd7567515383ac6ebf909de2eca4b674a5bfa781adcae4,,True,2,2e-06,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/current_step.txt
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/failed.csv,120,0.000114,93de3986e7976cf5a45a21a58a980d1f0f120108e4c29c39b3cab858d339aa39,,True,30,2.9e-05,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/failed.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/failed_tickers.csv,101,9.6e-05,f4feabe43a944333aa39d29aabcd20b5beea3512d2b0a274b537c80a51252f5e,,True,25,2.4e-05,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/failed_tickers.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/manifest.json,951,0.000907,bcd57a18af470b9ae38f34cc75d02f469633fdccdd46f6342f8ab92440149025,,True,237,0.000226,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/manifest.json
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/price_candidate_rows.csv,702246,0.669714,009090f69004551b6f200019a6d23c4cc3f3f8997f24d88ac5bf9c48e10e01b3,,True,175561,0.167428,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/price_candidate_rows.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/raw_source_archive_manifest.csv,89573,0.085423,4e3fca88d5662a257413b995ba5fbb7142ea19f943b22838a982fd788c7996c7,,True,22393,0.021356,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/raw_source_archive_manifest.csv
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/run_log.csv,438,0.000418,9eb3dc14d15ac86e0d184beb96843b8fa970c990bb9874779de8d2185ec40c6a,,True,109,0.000104,False,False,False,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/run_log.csv
