package,relative_path,size_mb,file_count,source_class,governance_disposition,raw_source_size_mb,large_shard_size_mb,cache_compatible_size_mb,largest_file,largest_file_size_mb,recommendation,delete_allowed,notes
radar_0050_pit_missing_price_coverage_4tickers_20260629,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629,1.351,215,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,0.459,0.0,0.121,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629/price_candidate_rows.csv,0.67,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""cache_compatible_candidate"": {""count"": 5, ""size_mb"": 0.121}, ""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.022}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 0.744}, ""raw_source_archive"": {""count"": 197, ""size_mb"": 0.459}, ""source_manifest_or_governance_ledger"": {""count"": 7, ""size_mb"": 0.005}}"
radar_2015_2021_sector_mainline_pit_contract_20260703,outputs/radar_2015_2021_sector_mainline_pit_contract_20260703,0.039,18,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,0.0,0.0,0.0,outputs/radar_2015_2021_sector_mainline_pit_contract_20260703/build_sector_mainline_pit_contract.py,0.023,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.023}, ""normalized_or_attempt_ledger"": {""count"": 8, ""size_mb"": 0.005}, ""source_manifest_or_governance_ledger"": {""count"": 9, ""size_mb"": 0.011}}"
radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,outputs/radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,34.57,43,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,13.702,0.0,0.0,outputs/radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703/accepted_liquidity_rows.csv,9.214,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.029}, ""normalized_or_attempt_ledger"": {""count"": 7, ""size_mb"": 20.818}, ""raw_source_archive"": {""count"": 24, ""size_mb"": 13.702}, ""source_manifest_or_governance_ledger"": {""count"": 11, ""size_mb"": 0.021}}"
radar_dynamic_pool1_market_cap_pit_20260703,outputs/radar_dynamic_pool1_market_cap_pit_20260703,9.267,34,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,9.058,0.0,0.0,outputs/radar_dynamic_pool1_market_cap_pit_20260703/raw_sources/tpex_dailyQuotes_2024-07-01.json,1.706,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.023}, ""large_local_shard"": {""count"": 1, ""size_mb"": 0.0}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 0.179}, ""raw_source_archive"": {""count"": 15, ""size_mb"": 9.058}, ""source_manifest_or_governance_ledger"": {""count"": 11, ""size_mb"": 0.007}}"
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704,73.739,69,diagnostic_only_evidence,diagnostic_keep_optional,73.605,0.0,0.0,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/8210_TW_2024_8210_20250529F04.pdf,7.932,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.025}, ""normalized_or_attempt_ledger"": {""count"": 29, ""size_mb"": 0.082}, ""raw_source_archive"": {""count"": 29, ""size_mb"": 73.605}, ""source_manifest_or_governance_ledger"": {""count"": 10, ""size_mb"": 0.027}}"
radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704,outputs/radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704,1.119,24,diagnostic_only_evidence,diagnostic_keep_optional,1.036,0.0,0.0,outputs/radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704/raw_sources/openapi_twse_com_tw_v1_opendata_t187ap46_L_19.json,0.556,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.022}, ""normalized_or_attempt_ledger"": {""count"": 7, ""size_mb"": 0.054}, ""raw_source_archive"": {""count"": 6, ""size_mb"": 1.036}, ""source_manifest_or_governance_ledger"": {""count"": 10, ""size_mb"": 0.008}}"
radar_dynamic_pool1_quarterly_fundamentals_pit_20260703,outputs/radar_dynamic_pool1_quarterly_fundamentals_pit_20260703,0.036,17,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,0.0,0.0,0.0,outputs/radar_dynamic_pool1_quarterly_fundamentals_pit_20260703/build_quarterly_fundamentals_package.py,0.019,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.019}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 0.006}, ""source_manifest_or_governance_ledger"": {""count"": 11, ""size_mb"": 0.011}}"
radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703,outputs/radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703,7.288,33,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,7.092,0.0,0.0,outputs/radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703/raw_sources/t163sb04_sii_113q04_response.html,1.553,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.02}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 0.168}, ""raw_source_archive"": {""count"": 18, ""size_mb"": 7.092}, ""source_manifest_or_governance_ledger"": {""count"": 9, ""size_mb"": 0.007}}"
radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,outputs/radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,49.723,41,diagnostic_only_evidence,diagnostic_keep_optional,0.053,48.824,0.0,outputs/radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703/shards/twse_sector_membership_2025.csv,4.519,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.027}, ""large_local_shard"": {""count"": 12, ""size_mb"": 48.824}, ""normalized_or_attempt_ledger"": {""count"": 6, ""size_mb"": 0.8}, ""raw_source_archive"": {""count"": 7, ""size_mb"": 0.053}, ""source_manifest_or_governance_ledger"": {""count"": 15, ""size_mb"": 0.019}}"
radar_dynamic_pool1_sector_mainline_pit_source_package_20260703,outputs/radar_dynamic_pool1_sector_mainline_pit_source_package_20260703,3.574,113,diagnostic_only_evidence,diagnostic_keep_optional,2.433,0.0,0.0,outputs/radar_dynamic_pool1_sector_mainline_pit_source_package_20260703/raw_sources/tpex_https_www_tpex_org_tw_www_zh_tw_afterTrading_dailyQuotes_date_2026_07_02_response_json.txt,1.441,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.052}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 1.058}, ""raw_source_archive"": {""count"": 96, ""size_mb"": 2.433}, ""source_manifest_or_governance_ledger"": {""count"": 10, ""size_mb"": 0.031}}"
