variant_id,period,decision_date,ticker,role,requested_execution_date,reason
S01_CD2,P1,2018-02-06,2882,sell,2018-02-07,missing_official_raw_execution_close
S01_CD2,P2,2023-07-12,6472,sell,2023-07-13,missing_official_raw_execution_close
S01_CD5,P1,2015-10-29,2882,sell,2015-10-30,missing_official_raw_execution_close
S01_CD7,P1,2016-03-15,2886,sell,2016-03-16,missing_official_raw_execution_close
S01_CD7,P2,2025-07-08,5425,sell,2025-07-09,missing_official_raw_execution_close
S01_CD10,P1,2016-02-03,3481,sell,2016-12-22,missing_official_raw_execution_close
S01_CD10,P2,2023-07-25,1519,sell,2023-07-26,missing_official_raw_execution_close
S02_CD2,P1,2015-09-25,2356,sell,2015-09-29,missing_official_raw_execution_close
S02_CD2,P2,2023-08-02,3260,sell,2023-08-04,missing_official_raw_execution_close
S02_CD3,P1,2016-03-14,8422,sell,2016-03-15,missing_official_raw_execution_close
S02_CD3,P2,2023-08-04,3260,sell,2023-08-07,missing_official_raw_execution_close
S02_CD5,P1,2016-01-18,1536,sell,2016-01-19,missing_official_raw_execution_close
S02_CD5,P2,2023-08-10,3260,sell,2023-08-11,missing_official_raw_execution_close
S02_CD7,P1,2016-11-07,2454,sell,2016-11-08,missing_official_raw_execution_close
S02_CD7,P1,2016-11-07,2105,buy,2016-11-08,missing_official_raw_execution_close
S02_CD7,P2,2023-07-27,5871,sell,2023-07-28,missing_official_raw_execution_close
S02_CD10,P1,2017-08-18,3231,sell,2017-08-21,missing_official_raw_execution_close
S02_CD10,P2,2023-10-17,6409,sell,2023-10-18,missing_official_raw_execution_close
S03_CD5,P1,2015-12-03,8341,sell,2015-12-04,missing_official_raw_execution_close
S03_CD7,P1,2016-11-01,2313,sell,2016-11-02,missing_official_raw_execution_close
S03_CD7,P1,2016-11-01,1227,buy,2016-11-02,missing_official_raw_execution_close
S03_CD7,P2,2023-09-11,3406,sell,2023-09-12,missing_official_raw_execution_close
S03_CD10,P1,2017-08-28,4971,sell,2017-08-29,missing_official_raw_execution_close
S04_CD2,P2,2024-04-01,2360,sell,2024-04-02,missing_official_raw_execution_close
S04_CD3,P1,2016-08-23,5871,sell,2016-08-24,missing_official_raw_execution_close
S04_CD3,P2,2024-08-09,1536,sell,2024-08-12,missing_official_raw_execution_close
S04_CD5,P1,2016-10-18,1504,buy,2016-10-19,missing_official_raw_execution_close
