variant_id,period,ticker,decision_date,requested_execution_date,market,prior_cache_hash,prior_cache_evidence_path,retry_http_status,retry_schema_ok,retry_response_rows,retry_exact_rows,retry_outcome,source_url,source_hash,raw_cache_path,silent_fill,future_data_violation_count
S01_CD2,P2,6472,2023-07-12,2023-07-13,TWSE,b32125d0522389d773814d2be85a9d7363b2c21185aab3d55708a2a8014a18a9,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\failed_original\6472_TWSE_2023-07.b32125d05223.invalid_response,200,False,0,0,source_route_failed,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20230701&stockNo=6472&response=json,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\6472_TWSE_2023-07.json,False,0
S01_CD10,P1,3481,2016-02-03,2016-12-22,TWSE,b19be16209ca5f4d90a27f694c3211fe33790a3642c8c7df9bf71ad66026c160,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\failed_original\3481_TWSE_2016-12.b19be16209ca.invalid_response,200,True,22,1,accepted_exact_row,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161201&stockNo=3481&response=json,1fff8913e0639eeec1e96fd248703f366b1f1b58947149fcf60c309fd5704b9a,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\3481_TWSE_2016-12.json,False,0
S02_CD2,P1,2356,2015-09-25,2015-09-29,TWSE,b19be16209ca5f4d90a27f694c3211fe33790a3642c8c7df9bf71ad66026c160,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\failed_original\2356_TWSE_2015-09.b19be16209ca.invalid_response,200,True,20,0,official_valid_no_target_row,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150901&stockNo=2356&response=json,5722b4ebddbc43a83a7ad4f6b7ea2ba102f8b956e2236753cff811b046969a46,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\2356_TWSE_2015-09.json,False,0
S02_CD3,P1,8422,2016-03-14,2016-03-15,TWSE,b19be16209ca5f4d90a27f694c3211fe33790a3642c8c7df9bf71ad66026c160,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\failed_original\8422_TWSE_2016-03.b19be16209ca.invalid_response,200,True,23,1,accepted_exact_row,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160301&stockNo=8422&response=json,0caaf866e14887a7c72abfc32b30d45684705e2707ad8c1e3d36c8a52a8fa667,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\8422_TWSE_2016-03.json,False,0
S02_CD7,P1,2105,2016-11-07,2016-11-08,TWSE,b19be16209ca5f4d90a27f694c3211fe33790a3642c8c7df9bf71ad66026c160,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\failed_original\2105_TWSE_2016-11.b19be16209ca.invalid_response,200,True,22,1,accepted_exact_row,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161101&stockNo=2105&response=json,eab98f99676b063486a1ef4bfa9a2fce973299836ad761119df33723a7591c2f,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\2105_TWSE_2016-11.json,False,0
S03_CD7,P1,2313,2016-11-01,2016-11-02,TWSE,b19be16209ca5f4d90a27f694c3211fe33790a3642c8c7df9bf71ad66026c160,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\failed_original\2313_TWSE_2016-11.b19be16209ca.invalid_response,200,True,22,1,accepted_exact_row,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20161101&stockNo=2313&response=json,a917eebb5cc0c0a98c891bc97bb2c6f856008b56b2fb44258da6817615b3ac9a,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_007_20260715\raw_audit_samples\2313_TWSE_2016-11.json,False,0
