timestamp,status,message
2026-07-03T19:08:27.4590630+08:00,running,skeleton_created_probing_official_market_cap_routes
2026-07-03T19:11:27.802351+08:00,completed,partial_tpex_total_market_cap_proxy_sample_rows=240_twse_blocked
