variant_id,period,decision_date,ticker,role,requested_execution_date,reason
S01_CD2,P1,2018-01-11,6415,sell,2018-01-12,missing_official_raw_execution_close
S01_CD2,P2,2025-11-24,6244,sell,2025-11-25,missing_official_raw_execution_close
S01_CD3,P2,2023-05-09,2471,sell,2023-05-10,missing_official_raw_execution_close
S01_CD5,P1,2015-06-08,2385,sell,2015-06-09,missing_official_raw_execution_close
S01_CD5,P2,2023-05-30,5269,sell,2023-05-31,missing_official_raw_execution_close
S01_CD7,P1,2015-09-04,2634,sell,2015-09-07,missing_official_raw_execution_close
S01_CD7,P2,2023-06-05,2330,sell,2023-06-06,missing_official_raw_execution_close
S01_CD10,P1,2015-07-22,3231,sell,2015-07-23,missing_official_raw_execution_close
S02_CD2,P1,2015-06-08,1722,sell,2015-06-09,missing_official_raw_execution_close
S02_CD2,P2,2023-06-20,2206,sell,2023-06-21,missing_official_raw_execution_close
S02_CD3,P1,2015-06-09,1722,sell,2015-06-10,missing_official_raw_execution_close
S02_CD5,P1,2015-06-11,1722,sell,2015-06-12,missing_official_raw_execution_close
S02_CD7,P1,2015-07-09,2912,sell,2015-07-10,missing_official_raw_execution_close
S02_CD7,P2,2023-04-10,2912,sell,2023-04-11,missing_official_raw_execution_close
S02_CD10,P1,2015-07-08,3044,sell,2015-07-09,missing_official_raw_execution_close
S02_CD10,P2,2023-05-31,2474,sell,2023-06-01,missing_official_raw_execution_close
S04_CD2,P1,2016-04-07,2355,sell,2016-04-08,missing_official_raw_execution_close
S04_CD2,P2,2023-06-26,5284,sell,2023-06-27,missing_official_raw_execution_close
S04_CD3,P1,2016-05-12,2355,sell,2016-05-13,missing_official_raw_execution_close
S04_CD3,P1,2016-05-12,2357,buy,2016-05-13,missing_official_raw_execution_close
S04_CD5,P2,2023-06-28,5284,sell,2023-06-29,missing_official_raw_execution_close
S04_CD7,P1,2017-03-27,2428,sell,2017-03-28,missing_official_raw_execution_close
S04_CD7,P2,2023-06-30,5284,sell,2023-07-03,missing_official_raw_execution_close
S04_CD10,P1,2017-12-15,2328,sell,2019-05-09,missing_official_raw_execution_close
S04_CD10,P2,2023-07-05,5284,sell,2023-07-06,missing_official_raw_execution_close
S05_CD2,P1,2015-07-09,8150,sell,2015-07-10,missing_official_raw_execution_close
S05_CD2,P2,2023-08-22,6469,sell,2023-08-23,missing_official_raw_execution_close
S05_CD3,P1,2016-04-08,2881,sell,2016-04-11,missing_official_raw_execution_close
S05_CD3,P1,2016-04-08,6415,buy,2016-04-11,missing_official_raw_execution_close
S05_CD5,P1,2016-04-12,2881,sell,2016-04-13,missing_official_raw_execution_close
S05_CD5,P1,2016-04-12,6415,buy,2016-04-13,missing_official_raw_execution_close
S05_CD5,P2,2023-07-11,1590,sell,2023-07-12,missing_official_raw_execution_close
S05_CD7,P1,2016-04-22,3017,sell,2016-04-25,missing_official_raw_execution_close
S05_CD7,P1,2016-04-22,2303,buy,2016-06-16,missing_official_raw_execution_close
S05_CD7,P2,2023-07-13,1590,sell,2023-07-14,missing_official_raw_execution_close
S05_CD10,P1,2016-04-01,5880,sell,2016-04-06,missing_official_raw_execution_close
S05_CD10,P1,2016-04-01,1527,buy,2016-04-06,missing_official_raw_execution_close
S05_CD10,P2,2023-07-18,1590,sell,2023-07-19,missing_official_raw_execution_close
S06_CD2,P2,2023-04-26,9958,sell,2023-04-27,missing_official_raw_execution_close
S06_CD3,P2,2023-04-27,9958,sell,2023-04-28,missing_official_raw_execution_close
S06_CD5,P2,2023-06-08,2330,sell,2023-06-09,missing_official_raw_execution_close
S06_CD7,P1,2015-06-26,9914,sell,2015-06-29,missing_official_raw_execution_close
S06_CD10,P2,2023-07-17,1605,sell,2023-07-18,missing_official_raw_execution_close
S07_CD2,P1,2016-06-27,2105,sell,2016-06-28,missing_official_raw_execution_close
S07_CD2,P1,2016-06-27,2311,buy,2016-07-01,missing_official_raw_execution_close
S07_CD2,P2,2023-08-07,6472,sell,2023-08-08,missing_official_raw_execution_close
S07_CD3,P1,2017-09-20,4971,sell,2017-09-21,missing_official_raw_execution_close
S07_CD5,P1,2016-04-12,2239,sell,2016-04-13,missing_official_raw_execution_close
S07_CD5,P1,2016-04-12,3044,buy,2016-04-13,missing_official_raw_execution_close
S07_CD7,P1,2016-04-14,2239,sell,2016-04-15,missing_official_raw_execution_close
S07_CD10,P1,2018-06-25,2031,sell,2018-06-26,missing_official_raw_execution_close
S08_CD2,P1,2016-04-07,2881,sell,2016-04-08,missing_official_raw_execution_close
S08_CD2,P1,2016-04-07,6415,buy,2016-04-08,missing_official_raw_execution_close
S08_CD2,P2,2023-07-26,5871,sell,2023-07-27,missing_official_raw_execution_close
S08_CD2,P2,2023-07-26,3207,buy,2023-07-27,missing_official_raw_execution_close
S08_CD3,P1,2016-04-08,3498,buy,2016-04-11,missing_official_raw_execution_close
S08_CD5,P2,2023-07-18,2201,sell,2023-07-19,missing_official_raw_execution_close
S08_CD7,P1,2016-04-22,2883,buy,2016-04-25,missing_official_raw_execution_close
S08_CD10,P1,2016-05-19,3227,sell,2016-05-20,missing_official_raw_execution_close
S08_CD10,P1,2016-05-19,1589,buy,2016-05-20,missing_official_raw_execution_close
S08_CD10,P2,2023-07-21,2201,sell,2023-07-24,missing_official_raw_execution_close
S09_CD2,P2,2023-08-08,5871,sell,2023-08-09,missing_official_raw_execution_close
S09_CD3,P1,2015-03-24,6121,sell,2015-03-25,missing_official_raw_execution_close
S09_CD7,P1,2015-09-23,6180,sell,2015-09-24,missing_official_raw_execution_close
S09_CD10,P1,2015-09-23,2881,sell,2015-09-24,missing_official_raw_execution_close
S09_CD10,P2,2023-07-20,6732,sell,2023-07-21,missing_official_raw_execution_close
S10_CD2,P2,2023-06-26,6488,sell,2023-06-27,missing_official_raw_execution_close
S10_CD3,P1,2018-09-20,2888,sell,2018-09-21,missing_official_raw_execution_close
S10_CD3,P2,2023-07-31,3443,sell,2023-08-01,missing_official_raw_execution_close
S10_CD5,P1,2015-06-29,3044,sell,2015-06-30,missing_official_raw_execution_close
S10_CD7,P1,2018-03-05,3019,sell,2018-03-06,missing_official_raw_execution_close
S10_CD7,P2,2023-09-19,5222,sell,2023-09-20,missing_official_raw_execution_close
S10_CD10,P1,2016-04-28,6285,sell,2016-04-29,missing_official_raw_execution_close
S10_CD10,P1,2016-04-28,3702,buy,2016-04-29,missing_official_raw_execution_close
S10_CD10,P2,2023-07-05,6488,sell,2023-07-06,missing_official_raw_execution_close
