variant_id,period,decision_date,ticker,role,requested_execution_date,market,trusted_raw_close,trusted_raw_source_url,trusted_raw_source_hash,year_month,download_authority
S01_CD3,P2,2023-05-09,2471,sell,2023-05-10,TWSE,65.4000015258789,https://query1.finance.yahoo.com/v8/finance/chart/2471.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,0f88da1295634f2104c853f1f06b569a1a53cd6086796bfb2918e02818c6054b,2023-05,frontier_exact_leg_only
S02_CD7,P1,2015-07-09,2912,sell,2015-07-10,TWSE,208.0,https://query1.finance.yahoo.com/v8/finance/chart/2912.TW?period1=1410393600&period2=1668816000&interval=1d&events=div%2Csplits,95951f19802313650a88cdacb732bb6d8bea86c9da02493fe6968621791635f0,2015-07,frontier_exact_leg_only
S04_CD2,P1,2016-04-07,2355,sell,2016-04-08,TWSE,60.20000076293945,https://query1.finance.yahoo.com/v8/finance/chart/2355.TW?period1=1415836800&period2=1512172800&interval=1d&events=div%2Csplits,abadce1c826636dad8e62cdb799b0c23ea57b6f2348a0d51ffb2943e25a0a53a,2016-04,frontier_exact_leg_only
S04_CD3,P1,2016-05-12,2355,sell,2016-05-13,TWSE,63.79999923706055,https://query1.finance.yahoo.com/v8/finance/chart/2355.TW?period1=1415836800&period2=1512172800&interval=1d&events=div%2Csplits,abadce1c826636dad8e62cdb799b0c23ea57b6f2348a0d51ffb2943e25a0a53a,2016-05,frontier_exact_leg_only
S04_CD3,P1,2016-05-12,2357,buy,2016-05-13,TWSE,263.0,https://query1.finance.yahoo.com/v8/finance/chart/2357.TW?period1=1410393600&period2=1670630400&interval=1d&events=div%2Csplits,024dccd69a98ef780315998fef5ae75f933fb8f7a49929ef0b8457fea0f7eb20,2016-05,frontier_exact_leg_only
S04_CD7,P1,2017-03-27,2428,sell,2017-03-28,TWSE,67.30000305175781,https://query1.finance.yahoo.com/v8/finance/chart/2428.TW?period1=1463011200&period2=1615593600&interval=1d&events=div%2Csplits,4c7d09ea17e3b653884f21913d44695dc8445290da6a81d40beded20571d47b5,2017-03,frontier_exact_leg_only
S04_CD10,P1,2017-12-15,2328,sell,2019-05-09,TWSE,,,,2019-05,frontier_exact_leg_only
S05_CD2,P1,2015-07-09,8150,sell,2015-07-10,TWSE,,,,2015-07,frontier_exact_leg_only
S05_CD2,P2,2023-08-22,6469,sell,2023-08-23,TPEx,,,,2023-08,frontier_exact_leg_only
S05_CD3,P1,2016-04-08,2881,sell,2016-04-11,TWSE,30.071508407592773,https://query1.finance.yahoo.com/v8/finance/chart/2881.TW?period1=1410393600&period2=1649462400&interval=1d&events=div%2Csplits,ba1cb30d3fe6611c92fbf81bad36c701d200c8eaa6ca4f6588d594b0c0fe77e0,2016-04,frontier_exact_leg_only
S05_CD3,P1,2016-04-08,6415,buy,2016-04-11,TWSE,106.125,https://query1.finance.yahoo.com/v8/finance/chart/6415.TW?period1=1423699200&period2=1656115200&interval=1d&events=div%2Csplits,6486ee7ae17be0d144140a34ad7e823f950c222dc0964e4352bffec9757d744a,2016-04,frontier_exact_leg_only
S05_CD5,P1,2016-04-12,2881,sell,2016-04-13,TWSE,30.6461238861084,https://query1.finance.yahoo.com/v8/finance/chart/2881.TW?period1=1410393600&period2=1649462400&interval=1d&events=div%2Csplits,ba1cb30d3fe6611c92fbf81bad36c701d200c8eaa6ca4f6588d594b0c0fe77e0,2016-04,frontier_exact_leg_only
S05_CD5,P1,2016-04-12,6415,buy,2016-04-13,TWSE,109.5,https://query1.finance.yahoo.com/v8/finance/chart/6415.TW?period1=1423699200&period2=1656115200&interval=1d&events=div%2Csplits,6486ee7ae17be0d144140a34ad7e823f950c222dc0964e4352bffec9757d744a,2016-04,frontier_exact_leg_only
S05_CD7,P1,2016-04-22,3017,sell,2016-04-25,TWSE,25.80077362060547,https://query1.finance.yahoo.com/v8/finance/chart/3017.TW?period1=1412208000&period2=1671840000&interval=1d&events=div%2Csplits,d78f785ec3c0654ff764a255562f51ac4bf57f6552a0c48a508cac34a96a58d8,2016-04,frontier_exact_leg_only
S05_CD7,P1,2016-04-22,2303,buy,2016-06-16,TWSE,,,,2016-06,frontier_exact_leg_only
S05_CD10,P1,2016-04-01,5880,sell,2016-04-06,TWSE,10.097155570983888,https://query1.finance.yahoo.com/v8/finance/chart/5880.TW?period1=1412208000&period2=1667606400&interval=1d&events=div%2Csplits,2254e53143b110828ab2129c4f0f952acee4af15af22a2c91be64175ee399bd0,2016-04,frontier_exact_leg_only
S05_CD10,P1,2016-04-01,1527,buy,2016-04-06,TWSE,70.5,https://query1.finance.yahoo.com/v8/finance/chart/1527.TW?period1=1419465600&period2=1618617600&interval=1d&events=div%2Csplits,229c5f1e09af4359dc5ec7537a191a2645f382e18ab8e8a8b1337dfc58d1137f,2016-04,frontier_exact_leg_only
S07_CD2,P1,2016-06-27,2105,sell,2016-06-28,TWSE,65.80000305175781,https://query1.finance.yahoo.com/v8/finance/chart/2105.TW?period1=1410393600&period2=1667606400&interval=1d&events=div%2Csplits,a9ae3f086ff578c598af611e972a8b2244269c237bc387bebb81bcd5c90dd52c,2016-06,frontier_exact_leg_only
S07_CD2,P2,2023-08-07,6472,sell,2023-08-08,TWSE,,,,2023-08,frontier_exact_leg_only
S07_CD5,P1,2016-04-12,2239,sell,2016-04-13,TWSE,,,,2016-04,frontier_exact_leg_only
S07_CD5,P1,2016-04-12,3044,buy,2016-04-13,TWSE,59.5,https://query1.finance.yahoo.com/v8/finance/chart/3044.TW?period1=1411603200&period2=1667606400&interval=1d&events=div%2Csplits,aed32a51bb92d6601c99bd50e183fec86a33cc6a1476bbd5dfc14d669be0bf95,2016-04,frontier_exact_leg_only
S07_CD7,P1,2016-04-14,2239,sell,2016-04-15,TWSE,,,,2016-04,frontier_exact_leg_only
S08_CD2,P1,2016-04-07,2881,sell,2016-04-08,TWSE,30.33966064453125,https://query1.finance.yahoo.com/v8/finance/chart/2881.TW?period1=1410393600&period2=1649462400&interval=1d&events=div%2Csplits,ba1cb30d3fe6611c92fbf81bad36c701d200c8eaa6ca4f6588d594b0c0fe77e0,2016-04,frontier_exact_leg_only
S08_CD2,P1,2016-04-07,6415,buy,2016-04-08,TWSE,105.0,https://query1.finance.yahoo.com/v8/finance/chart/6415.TW?period1=1423699200&period2=1656115200&interval=1d&events=div%2Csplits,6486ee7ae17be0d144140a34ad7e823f950c222dc0964e4352bffec9757d744a,2016-04,frontier_exact_leg_only
S08_CD3,P1,2016-04-08,3498,buy,2016-04-11,TPEx,,,,2016-04,frontier_exact_leg_only
S08_CD7,P1,2016-04-22,2883,buy,2016-04-25,TWSE,8.386137008666992,https://query1.finance.yahoo.com/v8/finance/chart/2883.TW?period1=1410393600&period2=1625875200&interval=1d&events=div%2Csplits,2145b67e9530dbb6cdb2374433669fa979ddccc90c1e1f5a01386ea56968c29b,2016-04,frontier_exact_leg_only
S08_CD10,P1,2016-05-19,1589,buy,2016-05-20,TWSE,203.25526428222656,https://query1.finance.yahoo.com/v8/finance/chart/1589.TW?period1=1412812800&period2=1604102400&interval=1d&events=div%2Csplits,8c8b576c5123e76eed9cfc7581d79de0eb297f0a25d437448498f576d06f7af3,2016-05,frontier_exact_leg_only
S10_CD7,P2,2023-09-19,5222,sell,2023-09-20,TWSE,,,,2023-09,frontier_exact_leg_only
S10_CD10,P1,2016-04-28,6285,sell,2016-04-29,TWSE,76.44355010986328,https://query1.finance.yahoo.com/v8/finance/chart/6285.TW?period1=1410393600&period2=1671235200&interval=1d&events=div%2Csplits,ba1388f795b07d7544b85a5b79780ee38ea8b6eed19cd47161149c0d2b4ebbf5,2016-04,frontier_exact_leg_only
S10_CD10,P1,2016-04-28,3702,buy,2016-04-29,TWSE,37.5,https://query1.finance.yahoo.com/v8/finance/chart/3702.TW?period1=1413417600&period2=1657324800&interval=1d&events=div%2Csplits,ec2c0d01f8551532a8448bb20fa7b46b876126623218898a6ff6aac0267f1f3e,2016-04,frontier_exact_leg_only
