family,ticker,route_scope,source_url,source_hash,cache_path,cache_reused,requested_rows,accepted_rows,blocked_rows,status
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230725&selectType=ALLBUT0999&response=json,523671c72373469a417b53540090753549eeda60a887b72e79dbc2d5eb98a45d,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230726&selectType=ALLBUT0999&response=json,01424155eb77a4d30099f3200ff4d35feb10985bfd64c7e3aff83cac7837b4b2,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230727&selectType=ALLBUT0999&response=json,efe2c380583d1744e4f04a6d9ce83776d292c03ac91a02839a94f2fe44628321,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230728&selectType=ALLBUT0999&response=json,3c9b3920d886b77fc32ab2bfc325b3112b7b9cb533a248a2e30c8ea984d4d9df,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230731&selectType=ALLBUT0999&response=json,c32fad0bc10a999d261a5a194ea2b77aff8dba4df02f552c9c2f1175ff20bd2e,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230801&selectType=ALLBUT0999&response=json,22d1df2c3d229af7418fa94ea62e96dff9dcb3c3d56e42f4c97e232d296eff01,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230802&selectType=ALLBUT0999&response=json,9b35b87e54c39ce03e3d0019e58566730c2b97f4e8f83dabdff27e9a2bae89f8,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230804&selectType=ALLBUT0999&response=json,3f7ee2e98c4d4bbba1b9ae012ecbcfbcadf4156bda1ecb96d67a13cf1b2ed0c0,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230807&selectType=ALLBUT0999&response=json,612b95e3a9e624f027bd4033c9532cac4fc6b322a8caff868982a394ecfe0ace,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230808&selectType=ALLBUT0999&response=json,79870e0d21e66bef79b7c95478bc2b8599f9346e9d60393a10607308666cd110,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230809&selectType=ALLBUT0999&response=json,9be13f0efc25b259e05f6807071d9d527a227c09583ae78df6c50d5f6f3adc08,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230810&selectType=ALLBUT0999&response=json,ece4d62c917b9c8da9d40bae87caffc327157cecb73af66816b33e8c13ea0fc0,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230912&selectType=ALLBUT0999&response=json,937ce13b68bfe8543a8232ffa44ef5eaa246a4968e3b2c67c8cdca82146a8282,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230913&selectType=ALLBUT0999&response=json,1bc89dcb180e11e43c5c76c6183a10cbe7ecfde0d91b858b4dc76b31136a7ea2,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230914&selectType=ALLBUT0999&response=json,1f7ac0ea6950ce0e27898e8030f9dd0fa1d11acc43f14a2b83469e26c9319574,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230915&selectType=ALLBUT0999&response=json,8d70244f1eb88b86d1912fcdd1635e1eaf20649f92f48ea7dbfc6ceb0beeec86,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230918&selectType=ALLBUT0999&response=json,b8852b04068cc76899cc21be798881495b350ce160601ca0d08227561792b36f,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230919&selectType=ALLBUT0999&response=json,8b7bb5f218bb6faefcc4ba7226be138d87bdd7569f0d9f3923d13311ab82730d,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230920&selectType=ALLBUT0999&response=json,937bf49538787008181c2a7113880ee72fffc49374dc802ecfda47f0334efdb4,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230921&selectType=ALLBUT0999&response=json,d9c6952578856f2f6f85b9f468a8c9bf82613059c7ceb93ed7e0c6ba5e342dd4,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230922&selectType=ALLBUT0999&response=json,942384f9e3e3a43236551e2665ddf25ca123dc686e8dc2a4cc5653c17d1c215a,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230925&selectType=ALLBUT0999&response=json,efcb7f98c0a32323bb8b231a3ea832d954c0570aeea18b775f5058155c6e90dc,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230926&selectType=ALLBUT0999&response=json,c066ebc275b695c3bb6af72d21a4dd7541b48d3d7868b9b094d8f1983f0b747f,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230927&selectType=ALLBUT0999&response=json,cde075836289b6425fac4df791760553c82943e4d5e4d8bec820195b27c3b88c,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20230928&selectType=ALLBUT0999&response=json,dde9988843cbd18745b139b96d460e55cd7d82bed4bb4a962d7cf88307322c49,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231002&selectType=ALLBUT0999&response=json,99fe1db9b8b6693167634203bb3d0dc6fcf338ed86f1d76c7939f414868d887c,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231003&selectType=ALLBUT0999&response=json,e10f576fe8f1dee365137b58dac6543a2d2887dbd42980ed983954f537f57eb3,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231004&selectType=ALLBUT0999&response=json,08953969b3ae88c21037c900c213c9eb1f56f8312f8825babf46e4d25f156847,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231005&selectType=ALLBUT0999&response=json,50dbaab9711bbf6fe8c0c5691cf469a46b78a0ddd0fab8cf163f48ea44a69bef,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231006&selectType=ALLBUT0999&response=json,f18d6578816af56cf5d3879326fa1665214e20795325e9ef4a324d0b61eadf01,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231011&selectType=ALLBUT0999&response=json,00f320dd0d0d0ceeb610f5f970cb266bed5712740793e1e5d6386659098412cc,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231012&selectType=ALLBUT0999&response=json,807a9db8ef59d332f5729b26245a227d3b4d6b9795f0d710d5534766a9f973d5,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231117&selectType=ALLBUT0999&response=json,968d99718d2fc73d9e1379c23e2fe14dc71ab28d0e4a2a795a665a3be00c475a,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231120&selectType=ALLBUT0999&response=json,a84e9bf5a718e579c781d4c0f22adcd4feed3d7be286346b89db4fe4370a7457,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231121&selectType=ALLBUT0999&response=json,c5e8edefd5b9c424d9bd5004f57346464a44ef4ecfd271058b40d14730422b9a,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231122&selectType=ALLBUT0999&response=json,935c3b32a934e6edd0baa879f7fe50d180f9dda21b45cde2071448851a62ef2e,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231123&selectType=ALLBUT0999&response=json,efc8e9dee7347c8ac7c1ec548999b89194a14ebffdcff33df469a7a20906deac,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231124&selectType=ALLBUT0999&response=json,8e339f9950adc86755e4f82ca05f8b311672290adb0f04077a0290c11518c6dc,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231127&selectType=ALLBUT0999&response=json,235eb337f72a042ddd624a82474481a03bfd7bb720c45d3eac1e463006cec249,existing_compact,True,1,1,0,reused
