ticker,segment,date,scope,required_start,required_end,TDCC_P3_1
2327,1,2025-04-18,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-21,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-22,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-23,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-24,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-25,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-28,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-29,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-04-30,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-02,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-05,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-06,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-07,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-08,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-09,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-12,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-13,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-14,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-15,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-16,warmup,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-19,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-20,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-21,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-22,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-23,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-26,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-27,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-28,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,1,2025-05-29,decision,2025-05-19,2025-05-29,NA_not_required_not_zero
2327,2,2025-05-16,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-19,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-20,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-21,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-22,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-23,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-26,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-27,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-28,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-05-29,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-02,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-03,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-04,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-05,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-06,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-09,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-10,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-11,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-12,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-13,warmup,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-16,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-17,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-18,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-19,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-20,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-23,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-24,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-25,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-26,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2327,2,2025-06-27,decision,2025-06-16,2025-06-27,NA_not_required_not_zero
2610,1,2024-06-24,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-06-25,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-06-26,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-06-27,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-06-28,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-01,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-02,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-03,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-04,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-05,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-08,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-09,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-10,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-11,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-12,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-15,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-16,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-17,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
2610,1,2024-07-18,warmup,2024-07-22,2024-07-26,NA_not_required_not_zero
