date,market,blocked_reason,row_count
2015-01-05,TWSE,non_common_stock_security_code,52
2015-01-05,TWSE,zero_or_missing_trade_fields,3
2015-01-05,TPEx,non_common_stock_security_code,3289
2015-01-05,TPEx,zero_or_missing_trade_fields,17
2015-01-06,TWSE,non_common_stock_security_code,52
2015-01-06,TWSE,zero_or_missing_trade_fields,4
2015-01-06,TPEx,non_common_stock_security_code,3278
2015-01-06,TPEx,zero_or_missing_trade_fields,12
2015-01-07,TWSE,non_common_stock_security_code,52
2015-01-07,TWSE,zero_or_missing_trade_fields,2
2015-01-07,TPEx,non_common_stock_security_code,3275
2015-01-07,TPEx,zero_or_missing_trade_fields,15
2015-01-08,TWSE,non_common_stock_security_code,52
2015-01-08,TWSE,zero_or_missing_trade_fields,4
2015-01-08,TPEx,non_common_stock_security_code,3337
2015-01-08,TPEx,zero_or_missing_trade_fields,16
2015-01-09,TWSE,non_common_stock_security_code,52
2015-01-09,TWSE,zero_or_missing_trade_fields,5
2015-01-09,TPEx,non_common_stock_security_code,3350
2015-01-09,TPEx,zero_or_missing_trade_fields,11
2015-01-12,TWSE,non_common_stock_security_code,52
2015-01-12,TWSE,zero_or_missing_trade_fields,4
2015-01-12,TPEx,non_common_stock_security_code,3357
2015-01-12,TPEx,zero_or_missing_trade_fields,11
2015-01-13,TWSE,non_common_stock_security_code,52
2015-01-13,TWSE,zero_or_missing_trade_fields,2
2015-01-13,TPEx,non_common_stock_security_code,3363
2015-01-13,TPEx,zero_or_missing_trade_fields,10
2015-01-14,TWSE,non_common_stock_security_code,52
2015-01-14,TWSE,zero_or_missing_trade_fields,2
2015-01-14,TPEx,non_common_stock_security_code,3376
2015-01-14,TPEx,zero_or_missing_trade_fields,18
2015-01-15,TWSE,non_common_stock_security_code,52
2015-01-15,TWSE,zero_or_missing_trade_fields,1
2015-01-15,TPEx,non_common_stock_security_code,3402
2015-01-15,TPEx,zero_or_missing_trade_fields,17
2015-01-16,TWSE,non_common_stock_security_code,52
2015-01-16,TWSE,zero_or_missing_trade_fields,3
2015-01-16,TPEx,non_common_stock_security_code,3406
2015-01-16,TPEx,zero_or_missing_trade_fields,19
2015-01-19,TWSE,non_common_stock_security_code,52
2015-01-19,TWSE,zero_or_missing_trade_fields,4
2015-01-19,TPEx,non_common_stock_security_code,3404
2015-01-19,TPEx,zero_or_missing_trade_fields,15
2015-01-20,TWSE,non_common_stock_security_code,52
2015-01-20,TPEx,non_common_stock_security_code,3423
2015-01-20,TPEx,zero_or_missing_trade_fields,20
2015-01-21,TWSE,non_common_stock_security_code,52
2015-01-21,TWSE,zero_or_missing_trade_fields,3
2015-01-21,TPEx,non_common_stock_security_code,3432
2015-01-21,TPEx,zero_or_missing_trade_fields,14
2015-01-22,TWSE,non_common_stock_security_code,52
2015-01-22,TWSE,zero_or_missing_trade_fields,2
2015-01-22,TPEx,non_common_stock_security_code,3395
2015-01-22,TPEx,zero_or_missing_trade_fields,16
2015-01-23,TWSE,non_common_stock_security_code,52
2015-01-23,TWSE,zero_or_missing_trade_fields,3
2015-01-23,TPEx,non_common_stock_security_code,3414
2015-01-23,TPEx,zero_or_missing_trade_fields,17
2015-01-26,TWSE,non_common_stock_security_code,52
2015-01-26,TWSE,zero_or_missing_trade_fields,3
2015-01-26,TPEx,non_common_stock_security_code,3429
2015-01-26,TPEx,zero_or_missing_trade_fields,22
2015-01-27,TWSE,non_common_stock_security_code,52
2015-01-27,TWSE,zero_or_missing_trade_fields,5
2015-01-27,TPEx,non_common_stock_security_code,3420
2015-01-27,TPEx,zero_or_missing_trade_fields,18
2015-01-28,TWSE,non_common_stock_security_code,52
2015-01-28,TWSE,zero_or_missing_trade_fields,8
2015-01-28,TPEx,non_common_stock_security_code,3395
2015-01-28,TPEx,zero_or_missing_trade_fields,14
2015-01-29,TWSE,non_common_stock_security_code,52
2015-01-29,TWSE,zero_or_missing_trade_fields,3
2015-01-29,TPEx,non_common_stock_security_code,3388
2015-01-29,TPEx,zero_or_missing_trade_fields,12
2015-01-30,TWSE,non_common_stock_security_code,52
2015-01-30,TWSE,zero_or_missing_trade_fields,8
2015-01-30,TPEx,non_common_stock_security_code,3387
2015-01-30,TPEx,zero_or_missing_trade_fields,14
2015-02-02,TWSE,non_common_stock_security_code,52
2015-02-02,TWSE,zero_or_missing_trade_fields,7
2015-02-02,TPEx,non_common_stock_security_code,3383
2015-02-02,TPEx,zero_or_missing_trade_fields,21
2015-02-03,TWSE,non_common_stock_security_code,52
2015-02-03,TWSE,zero_or_missing_trade_fields,6
2015-02-03,TPEx,non_common_stock_security_code,3396
2015-02-03,TPEx,zero_or_missing_trade_fields,14
2015-02-04,TWSE,non_common_stock_security_code,52
2015-02-04,TWSE,zero_or_missing_trade_fields,4
2015-02-04,TPEx,non_common_stock_security_code,3408
2015-02-04,TPEx,zero_or_missing_trade_fields,13
2015-02-05,TWSE,non_common_stock_security_code,52
2015-02-05,TWSE,zero_or_missing_trade_fields,5
2015-02-05,TPEx,non_common_stock_security_code,3394
2015-02-05,TPEx,zero_or_missing_trade_fields,14
2015-02-06,TWSE,non_common_stock_security_code,52
2015-02-06,TWSE,zero_or_missing_trade_fields,6
2015-02-06,TPEx,non_common_stock_security_code,3398
2015-02-06,TPEx,zero_or_missing_trade_fields,17
2015-02-09,TWSE,non_common_stock_security_code,52
2015-02-09,TWSE,zero_or_missing_trade_fields,4
2015-02-09,TPEx,non_common_stock_security_code,3404
2015-02-09,TPEx,zero_or_missing_trade_fields,18
2015-02-10,TWSE,non_common_stock_security_code,52
2015-02-10,TWSE,zero_or_missing_trade_fields,3
2015-02-10,TPEx,non_common_stock_security_code,3416
2015-02-10,TPEx,zero_or_missing_trade_fields,15
2015-02-11,TWSE,non_common_stock_security_code,52
2015-02-11,TWSE,zero_or_missing_trade_fields,6
2015-02-11,TPEx,non_common_stock_security_code,3422
2015-02-11,TPEx,zero_or_missing_trade_fields,12
2015-02-12,TWSE,non_common_stock_security_code,52
2015-02-12,TWSE,zero_or_missing_trade_fields,9
2015-02-12,TPEx,non_common_stock_security_code,3431
2015-02-12,TPEx,zero_or_missing_trade_fields,18
2015-02-13,TWSE,non_common_stock_security_code,52
2015-02-13,TWSE,zero_or_missing_trade_fields,3
2015-02-13,TPEx,non_common_stock_security_code,3305
2015-02-13,TPEx,zero_or_missing_trade_fields,15
2015-02-24,TPEx,non_common_stock_security_code,3327
2015-02-24,TPEx,zero_or_missing_trade_fields,14
2015-02-25,TWSE,non_common_stock_security_code,52
2015-02-25,TWSE,zero_or_missing_trade_fields,4
2015-02-25,TPEx,non_common_stock_security_code,3354
2015-02-25,TPEx,zero_or_missing_trade_fields,12
2015-02-26,TWSE,non_common_stock_security_code,52
2015-02-26,TWSE,zero_or_missing_trade_fields,3
2015-02-26,TPEx,non_common_stock_security_code,3259
2015-02-26,TPEx,zero_or_missing_trade_fields,17
2015-03-02,TWSE,non_common_stock_security_code,52
2015-03-02,TWSE,zero_or_missing_trade_fields,4
2015-03-02,TPEx,non_common_stock_security_code,3234
2015-03-02,TPEx,zero_or_missing_trade_fields,18
2015-03-03,TWSE,non_common_stock_security_code,52
2015-03-03,TWSE,zero_or_missing_trade_fields,1
2015-03-03,TPEx,non_common_stock_security_code,3230
