year,market,expected_weekday_attempts,attempted,rows_found_attempts,no_rows_attempts,failed_attempts,missing_attempts,accepted_liquidity_rows,coverage_status
2015,TWSE,261,261,243,18,0,0,209846,complete
2015,TPEx,261,261,244,17,0,0,163936,complete
2016,TWSE,261,261,240,21,0,0,211054,complete
2016,TPEx,261,261,241,20,0,0,167705,complete
2017,TWSE,260,260,242,18,0,0,217564,complete
2017,TPEx,260,260,243,17,0,0,174373,complete
2018,TWSE,261,261,244,17,0,0,223281,complete
2018,TPEx,261,261,245,16,0,0,179255,complete
2019,TWSE,261,261,242,19,0,0,225452,complete
2019,TPEx,261,261,242,19,0,0,180817,complete
2020,TWSE,262,262,245,17,0,0,231195,complete
2020,TPEx,262,262,245,17,0,0,185243,complete
2021,TWSE,261,261,243,18,0,0,231435,complete
2021,TPEx,261,261,244,17,0,0,188380,complete
2022,TWSE,260,260,247,13,0,0,238214,complete
2022,TPEx,260,260,246,14,0,0,190793,complete
2023,TWSE,260,260,239,21,0,0,234313,complete
2023,TPEx,260,260,239,21,0,0,190083,complete
2024,TWSE,262,262,241,21,0,0,244598,complete
2024,TPEx,262,262,242,20,0,0,196715,complete
2025,TWSE,261,261,243,18,0,0,253948,complete
2025,TPEx,261,261,243,18,0,0,202666,complete
2026,TWSE,131,131,118,13,0,0,126445,complete
2026,TPEx,131,131,118,13,0,0,102473,complete
