symbol,name,metric_name,metric_value,period,announcement_date,available_date,source_type,source_url,ingested_at
1536,和大,monthly_revenue,503175000,2023-09,2023-10-10,2023-10-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_9_0.html,2026-06-07T11:11:12+00:00
1536,和大,monthly_revenue,518613000,2023-10,2023-11-10,2023-11-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_10_0.html,2026-06-07T11:11:12+00:00
1536,和大,monthly_revenue,539545000,2023-11,2023-12-11,2023-12-11,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_11_0.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,1591905000,2021-10,2021-11-10,2021-11-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_110_10_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,1925213000,2021-11,2021-12-10,2021-12-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_110_11_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2250066000,2021-12,2022-01-10,2022-01-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_110_12_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,1950788000,2022-01,2022-02-10,2022-02-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_1_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,1718300000,2022-02,2022-03-10,2022-03-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_2_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2839524000,2022-03,2022-04-11,2022-04-11,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_3_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2264771000,2022-04,2022-05-10,2022-05-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_4_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2650385000,2022-05,2022-06-10,2022-06-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_5_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2307603000,2022-06,2022-07-11,2022-07-11,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_6_1.html,2026-06-07T11:11:12+00:00
