symbol,date,exchange,missing_reason,source_url,checked_at
1815,2021-12-04,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-05,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-11,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-12,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-18,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-19,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-25,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-26,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2021-12-31,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2022-01-01,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2022-01-02,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2022-01-08,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2022-01-09,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2022-01-15,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
1815,2022-01-16,TPEx,market_closed_or_no_official_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1815&date=2021%2F12%2F01&response=json,2026-06-07T10:21:25+00:00
