variant_id,period,decision_date,ticker,role,requested_execution_date,market,name,open,high,low,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_path,exact_key_ready,fill_mode,future_data_violation_count
S06_CD5,P1,2015-10-29,2880,sell,2015-10-30,TWSE,華南金,,,,15.65,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20151030&type=ALLBUT0999&response=json,5f26869b01564dd97fc9bd2a5170fba2cb0142f51340c472933026ea5a3fd02d,2026-07-10T12:43:33+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD5,P2,2023-10-17,3013,sell,2023-10-18,TWSE,晟銘電,,,,41.6,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20231018&type=ALLBUT0999&response=json,ee84beca30d39e628dfa448f63764556d795b6cd43b4ad7e7e7539c46383d808,2026-07-11T11:25:40+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\price\TWSE\2023-10-18.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD7,P1,2015-09-29,1338,sell,2015-09-30,TWSE,廣華-KY,,,,95.4,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20150930&type=ALLBUT0999&response=json,3a4fc6d66e073ede3504836a02f7fb0743c6bc6baa67c0d9c30a9a0b252e885a,2026-07-10T12:43:08+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2015.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD7,P2,2023-07-24,2105,sell,2023-07-25,TWSE,正新,,,,38.5,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230725&type=ALLBUT0999&response=json,c64065120ced4640269e05418a44c3377286678cbe8109bb75cd2a8b88783144,2026-07-11T09:08:44+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-07-25.csv.gz,True,local_official_raw_cache_reuse,0
S06_CD10,P2,2023-07-27,2105,sell,2023-07-28,TWSE,正新,,,,38.7,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230728&type=ALLBUT0999&response=json,5fdd84c9582ce2e7fc31fb80645c6f3beff415c4c4f81884eab7da31d147b738,2026-07-11T09:08:46+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-07-28.csv.gz,True,local_official_raw_cache_reuse,0
S07_CD3,P1,2019-10-22,6415,sell,2019-10-23,TWSE,矽力*-KY,,,,772.0,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20191023&type=ALLBUT0999&response=json,4b3facc518938cf8c255235627370298f6b374bde293288cf028d727c1c264ac,2026-07-10T13:04:16+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2019.csv.gz,True,local_official_raw_cache_reuse,0
S07_CD3,P2,2024-03-26,3008,sell,2024-03-27,TWSE,大立光,,,,2435.0,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated; official rows are unadjusted OHLCV,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240327&type=ALLBUT0999&response=json,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,True,local_official_raw_cache_reuse,0
S07_CD5,P2,2024-01-05,2368,sell,2024-01-08,TWSE,金像電,,,,204.5,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated; official rows are unadjusted OHLCV,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240108&type=ALLBUT0999&response=json,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,True,local_official_raw_cache_reuse,0
S07_CD10,P1,2019-07-03,1476,sell,2019-07-04,TWSE,儒鴻,,,,410.0,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20190704&type=ALLBUT0999&response=json,cb819e7bd91aee9ee7fa5a456595afe85bbfaeca48540cf1f8c16ed219306762,2026-07-10T13:02:29+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2019.csv.gz,True,local_official_raw_cache_reuse,0
S07_CD10,P2,2024-08-12,1301,sell,2024-08-13,TWSE,台塑,,,,52.8,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated; official rows are unadjusted OHLCV,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240813&type=ALLBUT0999&response=json,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,True,local_official_raw_cache_reuse,0
S08_CD2,P2,2024-04-08,1216,sell,2024-04-09,TWSE,統一,,,,76.5,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated; official rows are unadjusted OHLCV,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240409&type=ALLBUT0999&response=json,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,True,local_official_raw_cache_reuse,0
