variant_id,period,decision_date,ticker,role,requested_execution_date,reason
S01_CD2,P1,2018-03-16,2231,sell,2018-03-19,missing_official_raw_execution_close
S01_CD2,P2,2023-08-04,1904,buy,2023-08-07,missing_official_raw_execution_close
S01_CD5,P1,2015-11-16,4971,sell,2015-11-17,missing_official_raw_execution_close
S01_CD7,P1,2016-03-25,2239,buy,2016-04-07,missing_official_raw_execution_close
S01_CD7,P2,2023-08-10,5425,sell,2023-08-11,missing_official_raw_execution_close
S01_CD10,P1,2016-12-30,3481,sell,2017-01-03,missing_official_raw_execution_close
S01_CD10,P1,2016-12-30,2330,buy,2017-01-03,missing_official_raw_execution_close
S01_CD10,P2,2023-08-14,4906,sell,2023-08-15,missing_official_raw_execution_close
S02_CD2,P1,2015-09-29,2356,sell,2015-09-30,missing_official_raw_execution_close
S02_CD2,P2,2023-09-18,2303,sell,2023-09-19,missing_official_raw_execution_close
S02_CD3,P1,2016-04-07,2239,sell,2016-04-08,missing_official_raw_execution_close
S02_CD5,P1,2017-08-21,4971,sell,2017-08-22,missing_official_raw_execution_close
S02_CD5,P2,2023-09-19,2303,sell,2023-09-20,missing_official_raw_execution_close
S02_CD7,P1,2016-11-17,2105,sell,2016-11-18,missing_official_raw_execution_close
S02_CD7,P1,2016-11-17,2883,buy,2016-11-18,missing_official_raw_execution_close
S02_CD7,P2,2023-08-09,2618,sell,2023-08-10,missing_official_raw_execution_close
S02_CD10,P1,2017-09-07,8086,sell,2017-09-08,missing_official_raw_execution_close
S02_CD10,P2,2024-01-05,1522,sell,2024-01-08,missing_official_raw_execution_close
S03_CD5,P1,2016-01-27,1301,sell,2016-01-28,missing_official_raw_execution_close
S03_CD7,P1,2016-11-11,1227,sell,2016-11-14,missing_official_raw_execution_close
S03_CD7,P2,2023-09-21,2303,sell,2023-09-22,missing_official_raw_execution_close
S03_CD10,P1,2017-10-02,2439,sell,2017-10-03,missing_official_raw_execution_close
S03_CD10,P2,2024-01-02,1522,sell,2024-01-03,missing_official_raw_execution_close
