file,bytes,sha256
adapter_checkpoint.json,1045,708fbcbc131e1758f637274780f9f4665c20df2c580f4ef1ebc65abceb97f5d5
adapter_policy_blocker_ledger.csv,101,a580117cbe3f6917d2500b72bbc8028640af19a2b608d560c21b34f81d964e7f
authority_scope_guard_audit.csv,242,831749c6c862cc1bfa9f290e301e132e52322e4fcba1e8b314525334913a618c
current_step.txt,33,55d163de55ee0acc17318fd429c24141821846321a9195035c26891dfa4ad21d
frontier_authority_resolved.csv,7204,5b294c6c2308995d11040e722424626a9e5ea91f13f1587d4231790ed9bc3cc5
frontier_bounded_route_plan.csv,9464,9f01982d8da6b9327423168e46c96682060223a99dbeef6a8dff50b0ec91626d
frontier_future_data_audit.csv,277,5bc230447234fddf1623ce117125b35f74f4bf29aa2e9228ef686aab60898212
frontier_historical_market_inference_audit.csv,200,5c8f8ebbcaa51879981cb086bc7b26429484ce395cb130564e784e66cc850cb3
frontier_market_route_fallback_audit.csv,215,beed0438a1869ca9ae4f025fbc37dd8f733e638b299a48563d9bb0d99940bd27
frontier_missing_execution_date_resolution_audit.csv,275,4c13c4cbf9d907abd3c8e174530ba220628c28151ba23d878c9ec3c2305d9352
frontier_official_no_trade_ledger.csv,120,f351f2fba9f1bbaad25360feecb53327526c245f9c5f430e46b57c4a18196c9f
frontier_official_raw_accepted_patch.csv,50910,0bf37ae32c1999d63d885a374505f0840a413020bf9691d255f5470505fd1180
frontier_official_raw_bounded_fill_patch.csv,23994,3f5312f3a8f99ef5b40946779aef7240253476087428fd8e9ac2f72ca8cadbbc
frontier_official_raw_local_reuse_patch.csv,27153,6c3fecf94af482aa306814cbda78e00ed8fb1159f53d4ea15381b8c7203ae736
frontier_remaining_blocked.csv,105,9c44cd23f50b9b8f2a2effe135ff3631425a1d83108022aa87bd403010c1eb86
frontier_same_market_failed_only_retry_audit.csv,278,5d1e1866a20c46bc012de0154d4dd4956a9a9ba61f77635dbe23e15a27d83969
frontier_source_manifest.csv,20603,488567431c6ece74677ef2412aa3aff46d23534f3a74db8f605eaa3507eaf426
incumbent_continuity_classification_summary.csv,593,8634b24f5fc546643c25d7929ab9e5ea751e7cc8862d4470c0b0da95789e69f4
incumbent_continuity_local_classification.csv.gz,246700,e6219e1eef1efff72a6b9e9039ca815f1c54ce3b4808ba7666ac5b80c81c4449
incumbent_local_registry_exact_key_reuse.csv.gz,140254,3ec834fce8291cb7285df32522e188ac84e625643e0a63fe62f9c8eecd1bd08b
incumbent_new_unclassified_resolution_summary.csv,540,9f2e556f5447317daa39571d0ed646316c4a2c5fcef9baf72eb2ac5b54ab32d0
progress.json,545,e9dd109125f638edba7bef2d0655ca383717fe07752cc170cb081b9ef440b90d
run_iteration_008.py,3499,e977c9ec7a1b3b617c12a3defe8b4865a2e5eaa5631caff75cf750920a67058c
runner_dependency_manifest.csv,1685,60f48af199d07ec8469e24685040636be262aaf4470d2e87e900beb637498b1a
