variant_id,period,decision_date,ticker,role,requested_execution_date,market,trusted_raw_close,trusted_raw_source_url,trusted_raw_source_hash,year_month,download_authority
S01_CD2,P2,2023-08-04,1904,buy,2023-08-07,TWSE,33.45000076293945,https://query1.finance.yahoo.com/v8/finance/chart/1904.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,450f04a7db5b8eac106a911e25e5b066de9a2a7d9d1f336fb11a7b9c63ee6a29,2023-08,frontier_exact_leg_only
S01_CD7,P1,2016-03-25,2239,buy,2016-04-07,TWSE,,,,2016-04,frontier_exact_leg_only
S01_CD7,P2,2023-08-10,5425,sell,2023-08-11,TPEx,,,,2023-08,frontier_exact_leg_only
S01_CD10,P1,2016-12-30,3481,sell,2017-01-03,TWSE,,,,2017-01,frontier_exact_leg_only
S02_CD3,P1,2016-04-07,2239,sell,2016-04-08,TWSE,,,,2016-04,frontier_exact_leg_only
S02_CD5,P1,2017-08-21,4971,sell,2017-08-22,TPEx,,,,2017-08,frontier_exact_leg_only
S02_CD7,P1,2016-11-17,2105,sell,2016-11-18,TWSE,58.900001525878906,https://query1.finance.yahoo.com/v8/finance/chart/2105.TW?period1=1410393600&period2=1667606400&interval=1d&events=div%2Csplits,a9ae3f086ff578c598af611e972a8b2244269c237bc387bebb81bcd5c90dd52c,2016-11,frontier_exact_leg_only
S02_CD7,P1,2016-11-17,2883,buy,2016-11-18,TWSE,7.485146999359131,https://query1.finance.yahoo.com/v8/finance/chart/2883.TW?period1=1410393600&period2=1625875200&interval=1d&events=div%2Csplits,2145b67e9530dbb6cdb2374433669fa979ddccc90c1e1f5a01386ea56968c29b,2016-11,frontier_exact_leg_only
S03_CD7,P1,2016-11-11,1227,sell,2016-11-14,TWSE,72.69230651855469,https://query1.finance.yahoo.com/v8/finance/chart/1227.TW?period1=1419465600&period2=1616198400&interval=1d&events=div%2Csplits,bd7e11d6e31f4ca5204e58882739c7fe2b52884e0a8641e2cf6d0de2ba48a3e4,2016-11,frontier_exact_leg_only
S04_CD2,P1,2022-08-12,3036,sell,2022-08-15,TWSE,,,,2022-08,frontier_exact_leg_only
S04_CD3,P1,2016-10-04,3596,buy,2016-10-05,TWSE,64.66979217529297,https://query1.finance.yahoo.com/v8/finance/chart/3596.TW?period1=1443052800&period2=1659744000&interval=1d&events=div%2Csplits,d184965cb82c8dae2a397be8df7651db1579105a3d4f91775dc7aefab1b69128,2016-10,frontier_exact_leg_only
S04_CD3,P2,2024-08-15,5347,sell,2024-08-16,TPEx,,,,2024-08,frontier_exact_leg_only
S04_CD5,P1,2016-11-03,1504,sell,2016-11-04,TWSE,26.5,https://query1.finance.yahoo.com/v8/finance/chart/1504.TW?period1=1412812800&period2=1668816000&interval=1d&events=div%2Csplits,c8fef0e96fb91c001e276223716609f4d578c8820edd22603938bfc38cf63fff,2016-11,frontier_exact_leg_only
S04_CD5,P1,2016-11-03,2886,buy,2016-11-04,TWSE,20.51432228088379,https://query1.finance.yahoo.com/v8/finance/chart/2886.TW?period1=1410393600&period2=1662681600&interval=1d&events=div%2Csplits,c441a7f7ea0ed5540c3a9d1a5423418470997bcba037c9ff2fff02c11a477cb2,2016-11,frontier_exact_leg_only
S04_CD7,P1,2017-06-12,1536,sell,2017-06-13,TWSE,140.40792846679688,https://query1.finance.yahoo.com/v8/finance/chart/1536.TW?period1=1412812800&period2=1666396800&interval=1d&events=div%2Csplits,f966fc65a1b9f0dcb6c8895fb212144bf8a12ce95828f46a9da563ecb6a4c1a0,2017-06,frontier_exact_leg_only
S04_CD7,P1,2017-06-12,6239,buy,2017-06-13,TWSE,91.6999969482422,https://query1.finance.yahoo.com/v8/finance/chart/6239.TW?period1=1411603200&period2=1664582400&interval=1d&events=div%2Csplits,43390884ce483494cd00a336c4e1251e951715066023207d4eee70eaa9825a6f,2017-06,frontier_exact_leg_only
S05_CD2,P1,2016-10-28,2449,sell,2016-10-31,TWSE,27.75,https://query1.finance.yahoo.com/v8/finance/chart/2449.TW?period1=1410393600&period2=1665187200&interval=1d&events=div%2Csplits,cdbc53359c1be32a43cb8fe50dba0eb247c0cd38621b5d44deed61ae5ef06e4e,2016-10,frontier_exact_leg_only
S05_CD2,P1,2016-10-28,2105,buy,2016-10-31,TWSE,64.30000305175781,https://query1.finance.yahoo.com/v8/finance/chart/2105.TW?period1=1410393600&period2=1667606400&interval=1d&events=div%2Csplits,a9ae3f086ff578c598af611e972a8b2244269c237bc387bebb81bcd5c90dd52c,2016-10,frontier_exact_leg_only
