ticker,name,market,event_type,effective_date,pre_close,reference_price,right_value,cash_value,total_right_interest_value,right_interest_type,cash_amount,stock_ratio_per_1000,market_available_at,market_available_at_status,source_url,source_route,retrieved_at_utc,detail_cache_key,source_quality,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
3217,優群,TPEx,cash_dividend,2026-07-10,173.50,163.50,0,10,10,除息,10,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:3217:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
3303,岱稜,TPEx,cash_dividend,2026-07-10,59.20,56.20,0,3,3,除息,3,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:3303:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
3467,台灣精材,TPEx,cash_dividend,2026-07-10,58.80,58.30,0,0.5,0.5,除息,0.5,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:3467:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
3489,森寶,TPEx,cash_dividend,2026-07-10,24.20,21.20,0,3,3,除息,3,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:3489:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
3564,其陽,TPEx,cash_dividend,2026-07-10,54.10,53.83,0,0.27,0.27,除息,0.27,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:3564:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
4711,永純,TPEx,cash_dividend,2026-07-10,17.35,16.85,0,0.5,0.5,除息,0.5,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:4711:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
6762,達亞,TPEx,cash_and_stock_dividend,2026-07-10,176.50,167.62,8.380956,0.5,8.880956,除權息,0.5,50.00002559,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:6762:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
7747,昕奇雲端,TPEx,cash_and_stock_dividend,2026-07-10,129,114.55,11.454545,3,14.454545,除權息,3,100,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:7747:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
7811,民盛,TPEx,cash_dividend,2026-07-10,80.50,74.83,0,5.669956,5.669956,除息,5.66995644,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:7811:2026-07-10,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
3227,原相,TPEx,cash_dividend,2026-07-13,221.50,211.49,0,10.007005,10.007005,除息,10.00700533,0,,blocked_page_table_has_no_announcement_timestamp,https://www.tpex.org.tw/zh-tw/announce/market/ex/cal.html,browser_equivalent_current_calculation_table,2026-07-10T11:28:39+00:00,event_detail:TPEx:3227:2026-07-13,official_tpex_current_market_calendar_browser_equivalent,0,False,False,False,False,False,False,False,True,False
