ticker,name,market,event_type,event_date,source_date,source_url,source_type,formal_ready,raw_source_id,evidence_fields,notes
7402,邑錡,TPEx,listing,2015-12-29,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
4762,F-三汰,TPEx,listing,2015-12-28,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
2740,天蔥,TPEx,listing,2015-12-24,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
6462,神盾,TPEx,listing,2015-12-23,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
4556,旭然,TPEx,listing,2015-12-22,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
4116,明基醫,TPEx,listing,2015-12-16,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
4803,F-VHQ,TPEx,listing,2015-12-16,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
4804,F-大略,TPEx,listing,2015-12-04,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
6514,F-芮特,TPEx,listing,2015-12-02,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
4147,中裕,TPEx,listing,2015-11-23,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
6465,威潤,TPEx,listing,2015-11-20,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
6485,點序,TPEx,listing,2015-11-17,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
6470,宇智,TPEx,listing,2015-11-03,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,latest_2015.json,"[""索引"", ""股票代號"", ""公司名稱"", ""上櫃日期"", ""每股面額"", ""公司資訊連結"", ""近期上櫃資訊連結""]",TPEx company/latest route returned historical year listing rows via date parameter.
