ticker,name,market,report_period,t164sb05_status,t164sb03_status,official_asof_match_status,operating_cash_flow,investing_cash_flow,capex_proxy,inventory,receivables_trade,current_assets,current_liabilities,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,code=200 rows=57,code=200 rows=65,blocked_unmatched_or_ambiguous,11292,-66091,-5319,146495,338871,1220776,610593,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q4,code=200 rows=70,code=200 rows=64,accepted,219924,-26038,-22808,153449,320249,1182791,607739,False,False,False,False,False,False,True,False
1777,生泰,TPEx,115Q1,code=200 rows=42,code=200 rows=52,accepted,44417,-14446,-9682,360810,142805,1618432,474354,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q4,code=200 rows=53,code=200 rows=54,accepted,559492,-58305,-47681,340461,103148,1531253,304490,False,False,False,False,False,False,True,False
2073,雄順,TPEx,115Q1,code=200 rows=44,code=200 rows=53,accepted,17632,-48399,-4399,3043,44888,196747,193461,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q4,code=200 rows=50,code=200 rows=51,accepted,67672,-50582,-50994,2891,50729,157663,147492,False,False,False,False,False,False,True,False
2745,五福,TPEx,115Q1,code=200 rows=45,code=200 rows=51,accepted,-14277,325073,0,,258602,2720730,1477375,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q4,code=200 rows=47,code=200 rows=49,accepted,469085,88169,-10703,,170253,2448049,1643172,False,False,False,False,False,False,True,False
3078,僑威,TPEx,115Q1,code=200 rows=44,code=200 rows=48,accepted,160676,372765,-40306,1344560,2181343,8567875,3392223,False,False,False,False,False,False,True,False
3078,僑威,TPEx,114Q4,code=200 rows=58,code=200 rows=49,accepted,1882527,-915362,-113211,1098325,2251639,8065129,2307276,False,False,False,False,False,False,True,False
3158,嘉實,TPEx,115Q1,code=200 rows=48,code=200 rows=57,accepted,58761,-54113,-5998,,83483,928994,332057,False,False,False,False,False,False,True,False
3158,嘉實,TPEx,114Q4,code=200 rows=51,code=200 rows=56,accepted,276084,-287032,-51765,,68476,895064,317069,False,False,False,False,False,False,True,False
3224,三顧,TPEx,115Q1,code=200 rows=56,code=200 rows=62,accepted,-11682,-207871,-200958,85461,380672,2015463,587462,False,False,False,False,False,False,True,False
