ticker,market,report_period,announcement_rows_seen,prefilter_pass_rows,detail_fetch_count,premeeting_notice_excluded,wrong_period_subject_excluded,accepted_candidate_count,chosen_match_status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,TPEx,115Q1,3,1,1,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
1240,TPEx,114Q4,14,6,6,1,0,1,accepted,False,False,False,False,False,False,True,False
1777,TPEx,115Q1,5,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
1777,TPEx,114Q4,4,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
2073,TPEx,115Q1,2,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2073,TPEx,114Q4,4,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
2745,TPEx,115Q1,3,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2745,TPEx,114Q4,7,5,5,1,0,2,accepted,False,False,False,False,False,False,True,False
3078,TPEx,115Q1,2,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
3078,TPEx,114Q4,5,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
3158,TPEx,115Q1,4,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
3158,TPEx,114Q4,6,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
3224,TPEx,115Q1,9,5,5,1,1,1,accepted,False,False,False,False,False,False,True,False
3224,TPEx,114Q4,8,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
3287,TPEx,115Q1,7,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
3287,TPEx,114Q4,5,4,4,1,0,2,accepted,False,False,False,False,False,False,True,False
3349,TPEx,115Q1,7,3,3,0,0,1,accepted,False,False,False,False,False,False,True,False
3349,TPEx,114Q4,13,6,6,0,0,1,accepted,False,False,False,False,False,False,True,False
3455,TPEx,115Q1,7,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
3455,TPEx,114Q4,5,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
3521,TPEx,115Q1,13,2,2,0,0,2,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
3521,TPEx,114Q4,16,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
3567,TPEx,115Q1,2,1,1,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
3567,TPEx,114Q4,5,3,3,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
3632,TPEx,115Q1,7,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
3632,TPEx,114Q4,9,6,6,1,0,1,accepted,False,False,False,False,False,False,True,False
4102,TPEx,115Q1,8,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
4102,TPEx,114Q4,10,8,8,1,0,1,accepted,False,False,False,False,False,False,True,False
4139,TPEx,115Q1,6,4,4,1,1,1,accepted,False,False,False,False,False,False,True,False
4139,TPEx,114Q4,13,6,6,1,0,1,accepted,False,False,False,False,False,False,True,False
4192,TPEx,115Q1,4,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
4192,TPEx,114Q4,14,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
4502,TPEx,115Q1,9,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
4502,TPEx,114Q4,8,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
4550,TPEx,115Q1,4,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
4550,TPEx,114Q4,4,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
4726,TPEx,115Q1,9,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
4726,TPEx,114Q4,8,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
4905,TPEx,115Q1,7,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
4905,TPEx,114Q4,5,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
4974,TPEx,115Q1,4,0,0,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
4974,TPEx,114Q4,7,2,2,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
5213,TPEx,115Q1,28,6,6,0,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
5213,TPEx,114Q4,17,4,4,0,0,1,accepted,False,False,False,False,False,False,True,False
5302,TPEx,115Q1,4,1,1,1,1,1,accepted,False,False,False,False,False,False,True,False
5302,TPEx,114Q4,6,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
5364,TPEx,115Q1,9,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
5364,TPEx,114Q4,14,11,11,1,0,1,accepted,False,False,False,False,False,False,True,False
5460,TPEx,115Q1,2,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
5460,TPEx,114Q4,4,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
5514,TPEx,115Q1,5,0,0,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
5514,TPEx,114Q4,6,2,2,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
5878,TPEx,115Q1,7,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
5878,TPEx,114Q4,8,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
6114,TPEx,115Q1,4,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
6114,TPEx,114Q4,19,7,7,3,0,2,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
6150,TPEx,115Q1,4,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
6150,TPEx,114Q4,9,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
6185,TPEx,115Q1,6,3,3,2,0,1,accepted,False,False,False,False,False,False,True,False
6185,TPEx,114Q4,9,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
6220,TPEx,115Q1,5,3,3,0,0,2,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
6220,TPEx,114Q4,8,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
6248,TPEx,115Q1,5,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
6248,TPEx,114Q4,7,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
6417,TPEx,115Q1,3,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
6417,TPEx,114Q4,4,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
6492,TPEx,115Q1,5,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
6492,TPEx,114Q4,9,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
6546,TPEx,115Q1,17,5,5,1,1,1,accepted,False,False,False,False,False,False,True,False
6546,TPEx,114Q4,12,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
6597,TPEx,115Q1,11,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
6597,TPEx,114Q4,5,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
6661,TPEx,115Q1,4,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
6661,TPEx,114Q4,8,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
6725,TPEx,115Q1,8,1,1,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
6725,TPEx,114Q4,13,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
6803,TPEx,115Q1,23,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
6803,TPEx,114Q4,14,8,8,1,0,1,accepted,False,False,False,False,False,False,True,False
6875,TPEx,115Q1,3,0,0,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
6875,TPEx,114Q4,8,2,2,1,0,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
6968,TPEx,115Q1,4,1,1,1,1,1,accepted,False,False,False,False,False,False,True,False
6968,TPEx,114Q4,11,7,7,1,0,2,accepted,False,False,False,False,False,False,True,False
7714,TPEx,115Q1,4,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
7714,TPEx,114Q4,9,7,7,1,0,1,accepted,False,False,False,False,False,False,True,False
7777,TPEx,115Q1,3,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
7777,TPEx,114Q4,8,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
8042,TPEx,115Q1,11,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
8042,TPEx,114Q4,14,6,6,2,0,1,accepted,False,False,False,False,False,False,True,False
8080,TPEx,115Q1,5,2,2,0,1,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
8080,TPEx,114Q4,10,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
8121,TPEx,115Q1,10,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
8121,TPEx,114Q4,7,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
8349,TPEx,115Q1,4,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
8349,TPEx,114Q4,11,9,9,1,0,1,accepted,False,False,False,False,False,False,True,False
8435,TPEx,115Q1,2,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
8435,TPEx,114Q4,10,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
8924,TPEx,115Q1,7,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
8924,TPEx,114Q4,9,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
9962,TPEx,115Q1,3,2,2,0,0,1,accepted,False,False,False,False,False,False,True,False
9962,TPEx,114Q4,6,5,5,0,0,1,accepted,False,False,False,False,False,False,True,False
