ticker,name,market,report_period,source_universe_quality,historical_pit_universe_ready,runner_scope,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
4974,亞泰,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5302,太欣,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5302,太欣,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5364,力麗店,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5364,力麗店,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5460,同協,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5460,同協,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5514,三豐,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5514,三豐,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5878,台名,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
5878,台名,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6114,久威,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6114,久威,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6150,撼訊,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6150,撼訊,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6185,幃翔,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6185,幃翔,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6220,岳豐,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6220,岳豐,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6248,沛波,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6248,沛波,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6417,韋僑,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6417,韋僑,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6492,生華科,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6492,生華科,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6546,正基,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6546,正基,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6597,立誠,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6597,立誠,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6661,威健生技,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6661,威健生技,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6725,矽科宏晟,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6725,矽科宏晟,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6803,崑鼎,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6803,崑鼎,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6968,萬達寵物,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
6968,萬達寵物,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
7714,創泓科技,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
7714,創泓科技,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
7777,能率亞洲,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
7777,能率亞洲,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8042,金山電,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8042,金山電,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8080,泰霖,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8080,泰霖,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8121,越峰,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8121,越峰,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8349,恒耀國際,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8349,恒耀國際,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8435,鉅邁,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8435,鉅邁,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8924,大田,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
8924,大田,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
9962,有益,TPEx,115Q1,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
9962,有益,TPEx,114Q4,current_or_special_case_snapshot_not_historical_pit,False,phase1_tpex_50x2_bounded_proof,False,False,False,False,False,False,True,False
