shard_path,year_month,market,rows,bytes,sha256,git_tracked
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2017-07.csv,2017-07,TPEx,15113,5907386,22e834ac81e2d46d4ff399ac99c75561ff5265043529a6ca410a738cc5b72f16,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2017-08.csv,2017-08,TPEx,16497,6448027,f34421bc9564ab19f7350fe60082be9945ad9dcef67e34319fb6e32dd93d43f4,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2017-09.csv,2017-09,TPEx,15070,5890765,667797ba0f9585c81e5322c6fece0b94edb2dec3f5c66b23b4a2e471a0b4db97,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2017-10.csv,2017-10,TPEx,13634,5329868,bdf5227656d0e019ec556e7c515ca067abd3124c0567feb8572a8e26e5785d58,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2017-11.csv,2017-11,TPEx,15853,6197345,78c6c60f1b3ade7072bea3f4458744a00e3a7c3e45a13723ddb06241fe67e641,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2017-12.csv,2017-12,TPEx,15103,5904138,45d9f2a3ced8300cdf35a209567258e846721683b95d12b45019130542e758a0,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-01.csv,2018-01,TPEx,16009,6258798,c81312cc5c7e0576d0a0c9cb0855a6265d7f6824fee40c3bd2c4f7bf26e5d46d,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-02.csv,2018-02,TPEx,9493,3711250,dd99b5d7c6d5b156eb78f9eb69542ea3d61472a1f52a1f98619fbe19ef2e4be3,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-03.csv,2018-03,TPEx,16109,6298305,27cb57d3ea412b5b8f4f004c7df00d2a4c8d931bd156e6d20b51cfc58faf8dad,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-04.csv,2018-04,TPEx,13287,5195144,afc55cac1d39cf0f04e8d17a9c2e8500c5909347ae2d0032cc408fe1c669af80,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-05.csv,2018-05,TPEx,16222,6342547,bd46eb868dcf600473cb63635f051a696e907d32c02eaed3a80b9b864565ed16,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-06.csv,2018-06,TPEx,14753,5768414,ceffe8ee6b9a5a8c8cbc17787bd69aa510a198c7863864356a742018f826cf70,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-07.csv,2018-07,TPEx,16082,6287835,15ff7d2350b52716002017b409d5138544ea23890fe37f21f93f1f4e186d4f70,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-08.csv,2018-08,TPEx,16860,6591748,8ff1c028547767d592109546d6f61939020fbc866caf1f48dfee444e5269a738,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-09.csv,2018-09,TPEx,13916,5440426,34a2eb9f376adf434b7e6f60e456acece8b1b167bbf07a92ecaad30d042f6830,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-10.csv,2018-10,TPEx,16056,6275720,9ce8599901c727bf8b9a26936b092491209bac6bc591346cf8bada8b3f64df66,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-11.csv,2018-11,TPEx,15999,6253599,8a72eb857457f28b181fe9c40d42a5c9ec94bcde8f0eb0ca30e1f85e970f91b3,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2018-12.csv,2018-12,TPEx,14610,5711095,55428e26b2a6db18ad0300381f1a7027be81a28db6243ec1fb96a1971fd177df,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-01.csv,2019-01,TPEx,15430,6031650,2a79fbeebacfe9d5fb3cf740e24b0cc9ab846e217b9a575e37efccc8a18dd03a,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-02.csv,2019-02,TPEx,9715,3797980,fde33e876a069ff085a80b0df698f495aa1ffb1552d892128ca7b6e5c2a4f390,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-03.csv,2019-03,TPEx,14967,5849795,0bf40e0985f66a117c4e9c2f405d7971a1ee19dfe62f310d30911d97fe814238,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-04.csv,2019-04,TPEx,15045,5880589,2df4ba74360479de071fc720f381e43fc6f74aae6db400806ceb1cef19036542,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-05.csv,2019-05,TPEx,16392,6408625,f24d3bf03d00e6b37e4a8219e6a2bafb2d2ff83976a8955e90dab0987bca93f3,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-06.csv,2019-06,TPEx,14213,5556557,77246ef9e30cd93d792bc51a4cbcec4c84e3016c357bfedb6142f427418bb979,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-07.csv,2019-07,TPEx,17305,6765856,ff5e1b6ae1ee3895fa65ee0d9e182cedd643f29e3c989ea11a3d16b7df3cc0ab,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-08.csv,2019-08,TPEx,15665,6124715,2ef95411e10b2e8775ea7956d3f6e257d6462eb29d71a0774e6a546c6924fd1a,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-09.csv,2019-09,TPEx,14171,5541054,f1f370248d3eb469e51f0f6d43862bf331028e8ac7654eb1e791b8bfb0cb77c4,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-10.csv,2019-10,TPEx,15706,6141281,20ea8fb70585a9e0dc60eccec9fef1d119e00b4538d9fccac0ec56ed1d84106f,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-11.csv,2019-11,TPEx,15802,6178901,3e5c17432d3eea99430b5c69f0abedbd6b4ee15a77896075ba6ad5d14667fead,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2019-12.csv,2019-12,TPEx,16545,6469413,918a517d7ac06fb1fad7b3d0ee0776d798679ac28c9b4a0896eeaa939f794a7f,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-01.csv,2020-01,TPEx,11265,4405231,fb7aa3809f2db917d220724728449f3f1caebb2de25eed445f6067fa1afcb5c6,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-02.csv,2020-02,TPEx,14191,5549006,8349ac122df838ca8e81445389ab0765f9394e4328bce7c1adda345a955223c4,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-03.csv,2020-03,TPEx,16587,6483579,5518673b4a5c37431dee028e8f2bcc4257f3d5dd3a0baff45a32ab6978fe65c5,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-04.csv,2020-04,TPEx,15052,5882114,2cd5ea4e4935c578e114a44b660fd458fbf0c2a0c9778cd851dbd8673c5362a1,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-05.csv,2020-05,TPEx,15038,5879524,8d3981ff1760a60e8a62be3846b0a3e6590dfb6522fc96463cb403e3920fb10e,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-06.csv,2020-06,TPEx,15172,5932629,7cd8eb080ec78908797cafaba63018922b278ad9f0847049cdaabe372b29e091,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-07.csv,2020-07,TPEx,17548,6862535,b4d7066ecf5e685aafad0a3e54fc9ca53511c319cbe1d27e67ee50da5330ac5d,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-08.csv,2020-08,TPEx,15929,6229309,3da84e76e49a852198312495dbba5a1b5003ac64d0b20427f6f4492ed2248740,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-09.csv,2020-09,TPEx,16609,6495573,541d435ef304602000682089e0fffa62fe850d11983b981faedac640b5219b03,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-10.csv,2020-10,TPEx,14348,5611421,246824472b946c0fdf015def108d155bfc82cb452e5abc9a9497325927b0bc8d,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-11.csv,2020-11,TPEx,15949,6238069,46901644502ddf5d591f5b64d6d62aab321e578573b0e885ab33e97814ca18c7,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2020-12.csv,2020-12,TPEx,17555,6867218,e578a312ab9463fab95c6468576f2ea6962c4d15264562429af3367693350b6e,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-01.csv,2021-01,TPEx,15339,6000668,7baaa0f9eb857e3ecffe20252a17ede1a296994f550773a0a2aaac14c2e027f3,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-02.csv,2021-02,TPEx,10047,3930869,2fc08f174a56aa45546f9d07de6ffcd7e02d498a39d7e13bdf403c8d77962293,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-03.csv,2021-03,TPEx,17125,6700926,a6ee615d402039ded49720442499eb85789b5bb9616452dfed0ef22a03e937ae,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-04.csv,2021-04,TPEx,14797,5790790,a077d13a3083d9bda59032d9892c2b1a7c45a0b95549182156694b80f63f6ef4,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-05.csv,2021-05,TPEx,16267,6365006,7bbaf7465d89941e5bdf86ba805310f005e7b7ef8de3dab9181281008933cb6a,false_large_local_shard
