ticker,name,market,row_count,missing_trading_date_count,first_missing_date,last_missing_date,blocked_reason
1101,台泥,TWSE,583,3,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1216,統一,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1301,台塑,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1303,南亞,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1308,亞聚,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1314,中石化,TWSE,583,3,2024-05-02,2026-04-08,missing_unadjusted_trading_dates_or_no_rows
1444,力麗,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1452,宏益,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1457,宜進,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1464,得力,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1503,士電,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1504,東元,TWSE,583,3,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1513,中興電,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1514,亞力,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1515,力山,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1519,華城,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1522,堤維西,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1526,日馳,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1527,鑽全,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1536,和大,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1560,中砂,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1569,濱川,TPEx,585,1,2026-02-20,2026-02-20,missing_unadjusted_trading_dates_or_no_rows
1589,永冠-KY,TWSE,541,45,2024-05-02,2026-06-05,missing_unadjusted_trading_dates_or_no_rows
1590,亞德客-KY,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1597,直得,TWSE,582,4,2024-05-02,2026-02-20,missing_unadjusted_trading_dates_or_no_rows
1599,宏佳騰,TPEx,585,1,2026-02-20,2026-02-20,missing_unadjusted_trading_dates_or_no_rows
1605,華新,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1608,華榮,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1609,大亞,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1707,葡萄王,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1711,永光,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1720,生達,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1727,中華化,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1732,毛寶,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1737,臺鹽,TWSE,584,2,2024-05-02,2026-02-06,missing_unadjusted_trading_dates_or_no_rows
1760,寶齡富錦,TWSE,582,4,2024-05-02,2026-02-20,missing_unadjusted_trading_dates_or_no_rows
