ticker,name,market,event_type,event_date,source_date,source_url,source_id,source_type,formal_ready,blocked_reason,raw_event_date,notes
704795,世紀*群益59購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
704801,世紀*元大58購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
704801,世紀*元大58購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
704825,世紀*國票59購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
704825,世紀*國票59購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
704855,世紀*凱基58購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
704855,世紀*凱基58購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
704870,世紀*元大58購03,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
704870,世紀*元大58購03,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
705000,世紀*國泰59購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
