ticker,market,report_period,t05st01_query_payload,matched,candidate_count,announcement_date,announcement_time,detail_payload,detail_period,detail_note,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,"{""companyId"": ""1101"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/13,19:18:38,"{""serialNumber"": ""1"", ""companyId"": ""1101"", ""marketKind"": ""sii"", ""enterDate"": ""1150513""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,"{""companyId"": ""1101"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/11,19:21:45,"{""serialNumber"": ""2"", ""companyId"": ""1101"", ""marketKind"": ""sii"", ""enterDate"": ""1150311""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,"{""companyId"": ""1216"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/07,16:40:30,"{""serialNumber"": ""1"", ""companyId"": ""1216"", ""marketKind"": ""sii"", ""enterDate"": ""1150507""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,"{""companyId"": ""1216"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/05,17:12:10,"{""serialNumber"": ""1"", ""companyId"": ""1216"", ""marketKind"": ""sii"", ""enterDate"": ""1150305""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,"{""companyId"": ""1301"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/13,15:37:52,"{""serialNumber"": ""1"", ""companyId"": ""1301"", ""marketKind"": ""sii"", ""enterDate"": ""1150513""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,"{""companyId"": ""1301"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/06,17:05:08,"{""serialNumber"": ""2"", ""companyId"": ""1301"", ""marketKind"": ""sii"", ""enterDate"": ""1150306""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,"{""companyId"": ""2330"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/12,18:33:04,"{""serialNumber"": ""3"", ""companyId"": ""2330"", ""marketKind"": ""sii"", ""enterDate"": ""1150512""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,"{""companyId"": ""2330"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/02/10,18:16:19,"{""serialNumber"": ""3"", ""companyId"": ""2330"", ""marketKind"": ""sii"", ""enterDate"": ""1150210""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,"{""companyId"": ""2308"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/04/29,17:36:13,"{""serialNumber"": ""1"", ""companyId"": ""2308"", ""marketKind"": ""sii"", ""enterDate"": ""1150428""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,"{""companyId"": ""2308"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/02/25,18:50:01,"{""serialNumber"": ""5"", ""companyId"": ""2308"", ""marketKind"": ""sii"", ""enterDate"": ""1150220""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
