ticker,market,report_period,market_available_at_source,market_available_at,quarter_end_date_used,query_response_datetime_used,after_close_next_trading_day_policy_preserved,needs_core_trading_calendar_join,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/13 19:18:38,False,False,True,True,0,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/11 19:21:45,False,False,True,True,0,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/07 16:40:30,False,False,True,True,0,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/05 17:12:10,False,False,True,True,0,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/13 15:37:52,False,False,True,True,0,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/06 17:05:08,False,False,True,True,0,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/12 18:33:04,False,False,True,True,0,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/02/10 18:16:19,False,False,True,True,0,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/04/29 17:36:13,False,False,True,True,0,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/02/25 18:50:01,False,False,True,True,0,False,False,False,False,False,False,True,False
2317,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/14 14:15:12,False,False,True,True,0,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/16 14:15:14,False,False,True,True,0,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/04/30 17:58:34,False,False,True,True,0,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/02/26 17:08:56,False,False,True,True,0,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/21 17:54:45,False,False,True,True,0,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/12 16:40:19,False,False,True,True,0,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/14 17:43:48,False,False,True,True,0,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/11 16:26:16,False,False,True,True,0,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,unmatched,,False,False,True,True,0,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,unmatched,,False,False,True,True,0,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/12 16:36:40,False,False,True,True,0,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/09 16:52:02,False,False,True,True,0,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,unmatched,,False,False,True,True,0,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,unmatched,,False,False,True,True,0,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/05 15:11:12,False,False,True,True,0,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/03 16:05:19,False,False,True,True,0,False,False,False,False,False,False,True,False
