ticker,market,report_period,t164_payload,t164sb05_status,t164sb03_status,cashflow_fields_available,balance_sheet_fields_available,current_ratio_available,operating_cash_flow,investing_cash_flow,capex_proxy,inventory,receivables_trade,current_assets,current_liabilities,official_announcement_timestamp_matched,market_available_at,announcement_subject,after_close_next_trading_day_policy,detail_note,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,"{""companyId"": ""1101"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=75,code=200 rows=70,True,True,True,3358179,4029757,-8613010,20812552,23524066,184722314,82516661,True,115/05/13 19:18:38,公告本公司董事會通過115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,"{""companyId"": ""1101"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=91,code=200 rows=69,True,True,True,33191582,-13562136,-25939976,19023915,23113996,178163742,85947537,True,115/03/11 19:21:45,公告本公司董事會通過114年第4季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,"{""companyId"": ""1216"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=88,code=200 rows=77,True,True,True,12205671,-11053120,-8079303,58206374,19755075,241807588,273723981,True,115/05/07 16:40:30,公告本公司董事會通過115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,"{""companyId"": ""1216"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=90,code=200 rows=77,True,True,True,75383767,-44997097,-29031117,62285424,19211872,237174040,271227631,True,115/03/05 17:12:10,公告本公司董事會通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,"{""companyId"": ""1301"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=62,code=200 rows=61,True,True,True,1178822,-3867473,-4445555,19807664,8661491,175217601,95826345,True,115/05/13 15:37:52,公告本公司115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,"{""companyId"": ""1301"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=77,code=200 rows=64,True,True,True,6619088,-6096434,-14548253,17297286,8911320,155423904,75827629,True,115/03/06 17:05:08,公告本公司114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,"{""companyId"": ""2330"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=74,code=200 rows=69,True,True,True,698976265,-356853756,-350762799,311453459,357742772,4265512176,1714253448,True,115/05/12 18:33:04,"本公司民國115年度第一季合併財務報告業經
董事會決議通過",required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,"{""companyId"": ""2330"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=81,code=200 rows=68,True,True,True,2274975625,-1144393407,-1272410529,288109485,279051553,3817130817,1458019289,True,115/02/10 18:16:19,"本公司民國114年度合併財務報告業經
董事會決議通過",required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,"{""companyId"": ""2308"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=76,code=200 rows=74,True,True,True,19931192,-12318347,-11091192,119107625,126864149,431011083,220629087,True,115/04/29 17:36:13,公告本公司115年第1季合併財務報告業經董事會通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,"{""companyId"": ""2308"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=80,code=200 rows=73,True,True,True,98474281,-53214206,-45722154,101478308,119225016,395780787,209664989,True,115/02/25 18:50:01,公告本公司114年度合併財務報告業經提報董事會通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2317,TWSE,115Q1,"{""companyId"": ""2317"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=83,code=200 rows=77,True,True,True,3217154,-29019834,-35774345,1209878099,1149891836,4052387707,2792211149,True,115/05/14 14:15:12,公告本公司董事會通過115年第一季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,"{""companyId"": ""2317"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=89,code=200 rows=77,True,True,True,226852474,-304689272,-173763139,1095574319,1151546008,3961827499,2710848518,True,115/03/16 14:15:14,公告本公司董事會通過114年第四季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,"{""companyId"": ""2454"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=71,code=200 rows=65,True,True,True,-17656664,-4090712,-4260191,85470342,79121488,378185472,309807293,True,115/04/30 17:58:34,公告本公司115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,"{""companyId"": ""2454"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=81,code=200 rows=65,True,True,True,162792872,-37753968,-15059115,67234559,62056117,397456191,303349808,True,115/02/26 17:08:56,公告本公司114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,"{""companyId"": ""2881"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=83,code=200 rows=59,True,False,False,-32098859,-4418895,,,,,,True,115/05/21 17:54:45,公告本公司董事會決議通過115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,"{""companyId"": ""2881"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=88,code=200 rows=58,True,False,False,14407546,-23173577,,,,,,True,115/03/12 16:40:19,公告本公司董事會決議通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,"{""companyId"": ""2882"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=80,code=200 rows=58,True,False,False,-30157900,-6642587,,,,,,True,115/05/14 17:43:48,公告本公司董事會通過115年度第1季決算財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,"{""companyId"": ""2882"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=97,code=200 rows=57,True,False,False,188257172,-47209127,,,,,,True,115/03/11 16:26:16,公告本公司董事會通過114年度決算財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,"{""companyId"": ""3008"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=54,code=200 rows=59,True,True,True,9316789,-2411596,-2340581,7639639,9299660,159095122,39536493,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,"{""companyId"": ""3008"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=59,code=200 rows=59,True,True,True,26080226,-9235725,-12339968,6713192,10439603,154285459,29748503,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,"{""companyId"": ""3711"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=75,code=200 rows=64,True,True,True,36387434,-45744766,-45959066,76043030,126007412,337698528,294501914,True,115/05/12 16:36:40,公告本公司115年第1季合併財務報告經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,"{""companyId"": ""3711"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=78,code=200 rows=64,True,True,True,142249287,-165644259,-164642502,69382990,125042214,313795092,244348583,True,115/03/09 16:52:02,公告本公司114年度合併財務報告經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,"{""companyId"": ""6669"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=63,code=200 rows=58,True,True,True,-16154195,-5043453,-3871756,229166239,88126215,395619318,257883938,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,"{""companyId"": ""6669"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=66,code=200 rows=56,True,True,True,-624481,-13766152,-11568205,136257029,75725957,306976861,179653598,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,"{""companyId"": ""6488"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=61,code=200 rows=57,True,True,True,673302,12197464,-3460304,11000429,10079070,76922308,62223760,True,115/05/05 15:11:12,公告本公司董事會通過115年第一季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,"{""companyId"": ""6488"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=70,code=200 rows=60,True,True,True,12744715,-34049115,-33497272,10398696,10062969,86629456,54108725,True,115/03/03 16:05:19,本公司董事會通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
8299,TPEx,115Q1,"{""companyId"": ""8299"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=67,code=200 rows=61,True,True,True,-13848665,-888835,-425790,72199107,20880005,120178393,61319256,True,115/05/08 16:31:18,公告董事會決議通過民國115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,"{""companyId"": ""8299"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=70,code=200 rows=62,True,True,True,1597542,-1908272,-1396629,35608709,11788601,68479676,25295348,True,115/03/06 16:33:33,公告董事會決議通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,upload_deadline_text_present,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,"{""companyId"": ""5347"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=69,code=200 rows=64,True,True,True,11432126,-24947417,-25180284,7504662,6830599,71173748,47890183,True,115/05/05 06:38:46,公告本公司董事會通過115年第一季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,"{""companyId"": ""5347"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=74,code=200 rows=63,True,True,True,25439228,-59710578,-63264869,6936952,6368898,66897206,51604245,True,115/02/03 06:48:19,公告本公司董事會通過114年第四季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
