ticker,name,market,path_rows,path_ready_rows,path_blocked_rows
1319,東陽,TWSE,3,3,0
1339,昭輝,TWSE,9,9,0
1513,中興電,TWSE,3,3,0
1514,亞力,TWSE,21,21,0
1519,華城,TWSE,15,15,0
1522,堤維西,TWSE,18,18,0
1707,葡萄王,TWSE,3,3,0
1720,生達,TWSE,18,18,0
2059,川湖,TWSE,6,6,0
2206,三陽工業,TWSE,18,18,0
2207,和泰車,TWSE,21,21,0
2327,國巨*,TWSE,12,12,0
2329,華泰,TWSE,30,30,0
2330,台積電,TWSE,3,3,0
2332,友訊,TWSE,3,3,0
2353,宏碁,TWSE,9,9,0
2363,矽統,TWSE,18,18,0
2364,倫飛,TWSE,18,18,0
2377,微星,TWSE,3,3,0
2383,台光電,TWSE,12,12,0
2388,威盛,TWSE,24,24,0
2436,偉詮電,TWSE,3,3,0
2453,凌群,TWSE,48,48,0
2454,聯發科,TWSE,3,2,1
2482,連宇,TWSE,18,18,0
2630,亞航,TWSE,6,6,0
2727,王品,TWSE,9,9,0
2736,富野,TPEx,18,18,0
2748,雲品,TWSE,15,15,0
2816,旺旺保,TWSE,21,21,0
2913,農林,TWSE,12,12,0
3008,大立光,TWSE,9,9,0
3013,晟銘電,TWSE,18,18,0
3017,奇鋐,TWSE,9,9,0
3027,盛達,TWSE,3,3,0
3036,文曄,TWSE,6,6,0
3043,科風,TWSE,6,6,0
3046,建碁,TWSE,9,9,0
3078,僑威,TPEx,9,9,0
3093,港建*,TPEx,12,12,0
3131,弘塑,TPEx,12,12,0
3152,璟德,TPEx,9,9,0
3293,鈊象,TPEx,9,8,1
3324,雙鴻,TPEx,6,6,0
3356,奇偶,TWSE,21,21,0
3362,先進光,TPEx,9,9,0
3447,展達,TWSE,9,9,0
3483,力致,TPEx,18,18,0
3515,華擎,TWSE,18,15,3
3548,兆利,TPEx,39,39,0
3583,辛耘,TWSE,21,21,0
3594,磐儀,TPEx,24,24,0
3596,智易,TWSE,3,3,0
3661,世芯-KY,TWSE,30,30,0
3680,家登,TPEx,3,3,0
3693,營邦,TPEx,18,18,0
3704,合勤控,TWSE,9,9,0
3715,定穎投控,TWSE,27,27,0
4162,智擎,TPEx,18,18,0
4533,協易機,TPEx,6,6,0
4763,材料*-KY,TWSE,60,60,0
4908,前鼎,TPEx,18,18,0
4953,緯軟,TPEx,9,9,0
4961,天鈺,TWSE,3,3,0
5009,榮剛,TPEx,6,6,0
5274,信驊,TPEx,9,9,0
5321,美而快,TPEx,24,24,0
5353,台林,TPEx,15,15,0
5439,高技,TPEx,12,12,0
6111,大宇資,TPEx,12,12,0
6117,迎廣,TWSE,24,24,0
6122,擎邦,TPEx,6,6,0
6125,廣運,TPEx,12,12,0
6139,亞翔,TWSE,48,48,0
6150,撼訊,TPEx,12,12,0
6160,欣技,TPEx,6,6,0
6197,佳必琪,TWSE,9,9,0
6235,華孚,TWSE,6,6,0
6239,力成,TWSE,3,2,1
6266,泰詠,TPEx,9,9,0
6285,啟碁,TWSE,3,2,1
6451,訊芯-KY,TWSE,12,12,0
6472,保瑞,TPEx,33,33,0
6515,穎崴,TWSE,6,6,0
6523,達爾膚,TPEx,9,9,0
6531,愛普*,TWSE,3,3,0
6593,台灣銘板,TPEx,42,42,0
6643,M31,TPEx,21,21,0
6664,群翊,TPEx,9,9,0
6741,91APP*-KY,TPEx,6,6,0
6753,龍德造船,TWSE,12,12,0
6763,綠界科技,TPEx,3,3,0
6799,來頡,TWSE,18,16,2
6806,森崴能源,TWSE,3,3,0
6829,千附精密,TPEx,9,9,0
8081,致新,TWSE,9,9,0
8210,勤誠,TWSE,9,9,0
8227,巨有科技,TPEx,36,36,0
9910,豐泰,TWSE,3,3,0
9958,世紀鋼,TWSE,9,9,0
