date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy,source_url,source_route
2023-08-18,1319,東陽,TWSE,62.5,64.7,61.0,61.4,16551811,1036381243,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=1319&response=json,TWSE_STOCK_DAY
2023-08-21,1319,東陽,TWSE,61.3,62.8,61.3,61.9,5089755,316160431,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=1319&response=json,TWSE_STOCK_DAY
2023-08-25,1319,東陽,TWSE,60.6,62.8,60.6,62.1,4324817,268693887,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=1319&response=json,TWSE_STOCK_DAY
2023-08-28,1319,東陽,TWSE,62.7,62.7,61.2,61.2,3595265,221826229,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=1319&response=json,TWSE_STOCK_DAY
2023-10-13,1339,昭輝,TWSE,62.5,65.4,62.0,62.7,2607959,166064215,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1339&response=json,TWSE_STOCK_DAY
2023-10-16,1339,昭輝,TWSE,63.1,64.2,60.8,61.1,907974,56169181,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1339&response=json,TWSE_STOCK_DAY
2023-10-20,1339,昭輝,TWSE,63.3,63.3,61.5,62.5,582372,36259065,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1339&response=json,TWSE_STOCK_DAY
2023-10-23,1339,昭輝,TWSE,62.0,63.5,61.3,62.7,638700,40034855,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1339&response=json,TWSE_STOCK_DAY
2023-01-06,1513,中興電,TWSE,71.7,72.7,70.5,72.7,26295561,1883598396,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1513&response=json,TWSE_STOCK_DAY
2023-01-09,1513,中興電,TWSE,72.6,73.5,71.1,73.2,23935644,1736966240,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1513&response=json,TWSE_STOCK_DAY
2023-01-13,1513,中興電,TWSE,71.2,71.8,70.2,70.6,9508943,673472404,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1513&response=json,TWSE_STOCK_DAY
