publication_date,ticker,market,holding_bucket,holder_count,shares,share_pct,source_quality,market_available_at,available_at_policy,source_url,source_hash,retrieval_time_utc
2025-08-15,6190,TPEx,1-999,23931,661721,0.36,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"1,000-5,000",15947,31030060,17.14,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"5,001-10,000",1918,15784371,8.72,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"10,001-15,000",457,5872121,3.24,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"15,001-20,000",344,6461204,3.57,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"20,001-30,000",249,6383915,3.52,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"30,001-40,000",110,3952536,2.18,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"40,001-50,000",80,3762407,2.07,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"50,001-100,000",130,9302711,5.14,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"100,001-200,000",57,7659956,4.23,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"200,001-400,000",40,11084610,6.12,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"400,001-600,000",18,8831822,4.88,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"600,001-800,000",12,8262687,4.56,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"800,001-1,000,000",3,2715810,1.50,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2025-08-15,6190,TPEx,"1,000,001以上",23,59211739,32.71,official_tdcc_retained_history,2025-08-15,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00
2026-04-17,5443,TPEx,1-999,39198,2081076,1.26,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"1,000-5,000",23894,42200511,25.61,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"5,001-10,000",1904,14959755,9.08,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"10,001-15,000",467,6034928,3.66,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"15,001-20,000",292,5376906,3.26,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"20,001-30,000",194,5034918,3.05,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"30,001-40,000",115,4160498,2.52,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"40,001-50,000",55,2556262,1.55,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"50,001-100,000",70,5205432,3.15,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"100,001-200,000",35,5049224,3.06,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"200,001-400,000",24,7024020,4.26,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"400,001-600,000",7,3690189,2.23,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"600,001-800,000",4,2869490,1.74,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
2026-04-17,5443,TPEx,"800,001-1,000,000",2,1789000,1.08,official_tdcc_retained_history,2026-04-17,official publication date only; exact time blocked; no prior-week backfill,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00
